06/01/25 04:14:29 0000 s 02532ver01 44.752953 8.812408 xx 01
06/01/25 04:21:34 0000 s 02532ver01 44.752988 8.811930 xx 01
06/01/25 04:37:23 0001 1                  44.694395 8.839955 xx 01 3233303234304a3031303735            
06/01/25 04:41:48 0002 1                  44.690027 8.823900 xx 01 31383132304a303138333134            
06/01/25 04:41:57 0003 1                  44.690037 8.823898 xx 01 31383132304a303138333133            
06/01/25 04:43:42 0004 1                  44.690618 8.823975 xx 01 3232303234304a3030383335            
06/01/25 04:50:27 0005 1                  44.688565 8.805657 xx 01 31383132304a303138343639            
06/01/25 04:50:49 0006 1                  44.688533 8.805603 xx 01 e2801190a5030063fa909812            
06/01/25 04:51:19 0007 1                  44.688488 8.805575 xx 01 31383132304a303138323931            
06/01/25 04:53:47 0008 1                  44.688355 8.805075 xx 01 31383132304a303138343830            
06/01/25 04:57:00 0009 1                  44.688813 8.802282 xx 01 31383132304a303138333738            
06/01/25 05:15:50 0010 1                  44.620600 8.844958 xx 01 31383234304a303030303436            
06/01/25 05:19:16 0011 1                  44.618910 8.846790 xx 01 3232303234304a3030373938            
06/01/25 05:19:50 0012 1                  44.618930 8.846868 xx 01 3234303234304a3030373430            
06/01/25 05:26:36 0013 1                  44.616882 8.842732 xx 01 31383234304a303030303933            
06/01/25 05:27:41 0014 1                  44.616915 8.842722 xx 01 3232303234304a3030373931            
06/01/25 05:27:56 0015 1                  44.616912 8.842723 xx 01 3232303234304a3030373839            
06/01/25 05:31:02 0016 1                  44.618460 8.842155 xx 01 31383032334d303033363338            
06/01/25 05:31:15 0017 1                  44.618482 8.842198 xx 01 31383234304a303030303635            
06/01/25 05:34:03 0018 1                  44.620407 8.842463 xx 01 3232303234304a3030373930            
06/01/25 05:37:11 0019 1                  44.621478 8.842468 xx 01 3234303234304a3030373433            
06/01/25 05:37:49 0020 1                  44.621507 8.842533 xx 01 3234303234304a3030363030            
06/01/25 05:38:19 0021 1                  44.621493 8.842532 xx 01 3234303234304a3030373434            
06/01/25 06:29:05 0022 1                  44.676057 8.772067 xx 01 3231303132304a3037353735            
06/01/25 07:50:17 0023 1                  44.740352 8.791788 xx 01 3234303234304a3030353835            
06/01/25 07:53:43 0024 1                  44.736728 8.797440 xx 01 3234303234304a3030363032            
06/01/25 08:10:54 0025 1                  44.732987 8.733980 xx 01 3234303234304a3030353831            
06/01/25 08:21:15 0026 1                  44.730392 8.689612 xx 01 31383234304a303030303132            
06/01/25 08:21:33 0027 1                  44.730388 8.689615 xx 01 31383234304a303030303130            
06/01/25 08:24:44 0028 1                  44.728067 8.689797 xx 01 3234303234304a3030353730            
06/01/25 08:24:56 0029 1                  44.728048 8.689805 xx 01 3234303234304a3030353639            
06/01/25 08:30:24 0030 1                  44.713602 8.687123 xx 01 3233303234304a3031303236            
06/01/25 09:03:44 0031 1                  44.771547 8.735678 xx 01 3234303234304a3030363334            
06/01/25 09:03:58 0032 1                  44.771550 8.735687 xx 01 3234303234304a3030353732            
06/01/25 09:04:38 0033 1                  44.771498 8.735688 xx 01 3234303234304a3030363335            
06/01/25 09:30:45 0034 1                  44.754448 8.815622 xx 01 e2801190a5030063fa909812            
06/01/25 09:41:36 0000 s 02532ver01 44.753172 8.813012 xx 01
