15/01/25 05:09:08 0000 s 01427ver01 44.753435 8.812273 pp 01
15/01/25 05:09:17 0000 s 01427ver01 44.753270 8.812352 pp 01
15/01/25 06:02:53 0001 1                  44.730005 8.716012 pp 01 31383132304A303236353133            
15/01/25 06:06:42 0002 1                  44.726167 8.714483 pp 01 313931323050303037383939            
15/01/25 06:08:27 0003 1                  44.724170 8.718410 pp 01 31383132304A303236353039            
15/01/25 06:10:24 0004 1                  44.723095 8.719623 pp 01 31383132304A303236353131            
15/01/25 06:17:12 0005 1                  44.709523 8.735872 pp 01 31383132304A303139343337            
15/01/25 06:19:29 0006 1                  44.710162 8.734777 pp 01 31383132304A303139343534            
15/01/25 06:19:49 0007 1                  44.710162 8.734773 pp 01 313931323050303033373331            
15/01/25 06:21:06 0008 1                  44.710513 8.735193 pp 01 31383132304A303139343336            
15/01/25 06:26:13 0009 1                  44.705718 8.719360 pp 01 31383132304A303139373736            
15/01/25 06:27:34 0010 1                  44.706690 8.717673 pp 01 31383132304A303230393231            
15/01/25 06:29:15 0011 1                  44.707188 8.716618 pp 01 313931313030503030333334            
15/01/25 06:35:59 0012 1                  44.717327 8.704060 pp 01 313A3132304A303230303834            
15/01/25 06:35:59 0013 1                  44.717327 8.704060 pp 01 31383132304A303230303834            
15/01/25 06:38:02 0014 1                  44.720478 8.703857 pp 01 313932343045303030363937            
15/01/25 06:42:38 0015 1                  44.723588 8.701667 pp 01 31383132304A303230373232            
15/01/25 06:44:15 0016 1                  44.725160 8.699420 pp 01 31383132304A303139343537            
15/01/25 06:44:42 0017 1                  44.725140 8.699443 pp 01 31383132304A303138373731            
15/01/25 06:45:30 0018 1                  44.725107 8.699493 pp 01 31383132304A303138373730            
15/01/25 06:45:30 0019 1                  44.725107 8.699493 pp 01 31383132304A303230303338            
15/01/25 06:55:48 0020 1                  44.744045 8.710488 pp 01 313931323050303033373536            
15/01/25 06:56:51 0021 1                  44.744722 8.709632 pp 01 31383132304A303230343630            
15/01/25 06:58:07 0022 1                  44.744890 8.709332 pp 01 31383132304A303235373134            
15/01/25 07:02:03 0023 1                  44.749322 8.712147 pp 01 31383132304A303233323439            
15/01/25 07:02:29 0024 1                  44.749328 8.712153 pp 01 31383132304A303230323535            
15/01/25 07:02:51 0025 1                  44.749320 8.712130 pp 01 31383132304A303233323530            
15/01/25 07:11:16 0026 1                  44.745830 8.704477 pp 01 31383132304A303139333736            
15/01/25 07:31:32 0027 1                  44.746262 8.702970 pp 01 31383132304A303139333735            
15/01/25 07:34:09 0028 1                  44.748848 8.701998 pp 01 31383132304A303230383738            
15/01/25 07:52:13 0029 1                  44.759283 8.683003 pp 01 3232313130304A3030333232            
15/01/25 07:53:08 0030 1                  44.759258 8.682995 pp 01 313931313030503030323833            
15/01/25 07:56:26 0031 1                  44.748418 8.682155 pp 01 E20000165901023417106740            
15/01/25 07:56:42 0032 1                  44.748368 8.682105 pp 01 31383132304A303138373435            
15/01/25 08:00:34 0033 1                  44.732652 8.686110 pp 01 313932343050303030323633            
15/01/25 08:01:56 0034 1                  44.732657 8.686075 pp 01 313932343045303030363936            
15/01/25 08:03:48 0035 1                  44.733165 8.686057 pp 01 313932343045303030373031            
15/01/25 08:03:49 0036 1                  44.733165 8.686057 pp 01 31383132304A303139333733            
15/01/25 08:07:06 0037 1                  44.730293 8.685732 pp 01 31383132304A303139333937            
15/01/25 08:08:14 0038 1                  44.729887 8.685355 pp 01 31383132304A303230313431            
15/01/25 08:10:08 0039 1                  44.726353 8.683725 pp 01 31383132304A303237313237            
15/01/25 08:17:16 0040 1                  44.722792 8.685153 pp 01 424D4E495332303030323636            
15/01/25 08:18:24 0041 1                  44.722793 8.685200 pp 01 3035EBE7D001BA000000003E            
15/01/25 08:18:26 0042 1                  44.722792 8.685198 pp 01 3039606303C8518222BF618E            
15/01/25 08:19:16 0043 1                  44.722798 8.685178 pp 01 30395DFA82DD900000225BA5            
15/01/25 08:26:56 0044 1                  44.725363 8.684825 pp 01 31383132304A303231303735            
15/01/25 08:27:33 0045 1                  44.725383 8.684813 pp 01 3231313130304A3030363430            
15/01/25 08:35:19 0046 1                  44.711528 8.694532 pp 01 3231313130304A3031333634            
15/01/25 08:36:28 0047 1                  44.711503 8.694565 pp 01 323031313030503030353334            
15/01/25 08:38:50 0048 1                  44.711508 8.694572 pp 01 323031313030503030333233            
15/01/25 08:42:29 0049 1                  44.711642 8.690723 pp 01 3231313130304A3031333538            
15/01/25 08:45:17 0050 1                  44.713592 8.687267 pp 01 3231313130304A3031333631            
15/01/25 08:48:57 0051 1                  44.724073 8.683598 pp 01 313931313030503030323832            
15/01/25 08:51:09 0052 1                  44.723862 8.683567 pp 01 393931303030363832383930            
15/01/25 08:51:23 0053 1                  44.723867 8.683567 pp 01 393931303030353536353939            
15/01/25 08:51:57 0054 1                  44.723857 8.683535 pp 01 393931303030363832383839            
15/01/25 08:51:57 0055 1                  44.723857 8.683535 pp 01 393931303030373039313637            
15/01/25 08:51:58 0056 1                  44.723857 8.683535 pp 01 393931303030363633343539            
15/01/25 08:51:58 0057 1                  44.723857 8.683535 pp 01 313931313030503030333736            
15/01/25 08:51:59 0058 1                  44.723857 8.683535 pp 01 393931303030363635303430            
15/01/25 08:57:42 0059 1                  44.729840 8.688762 pp 01 313931313030503030333830            
15/01/25 08:59:35 0060 1                  44.729928 8.688713 pp 01 313931313030503030323939            
15/01/25 09:03:19 0061 1                  44.730993 8.688248 pp 01 31383132304A303139303631            
15/01/25 09:03:51 0062 1                  44.731075 8.688260 pp 01 313931313030503030333633            
15/01/25 09:07:04 0063 1                  44.729875 8.690410 pp 01 303ACB03429C2C99D8B8F132            
15/01/25 09:07:05 0064 1                  44.729875 8.690410 pp 01 303ACB034360435C8EDE2931            
15/01/25 09:10:41 0065 1                  44.728665 8.690963 pp 01 313931313030503030333535            
15/01/25 09:14:59 0066 1                  44.728385 8.689477 pp 01 315606054712628080870000            
15/01/25 09:17:08 0067 1                  44.726788 8.683955 pp 01 31383132304A303230383230            
15/01/25 09:21:59 0068 1                  44.731082 8.673398 pp 01 31383132304A303139343530            
15/01/25 09:23:11 0069 1                  44.731138 8.672767 pp 01 313931323050303030373437            
15/01/25 09:23:21 0070 1                  44.731137 8.672765 pp 01 313931323050303030373438            
15/01/25 09:26:14 0071 1                  44.725105 8.662457 pp 01 31383132304A303138383939            
15/01/25 09:28:38 0072 1                  44.727053 8.659840 pp 01 313931313030503030333439            
15/01/25 09:30:04 0073 1                  44.727043 8.659822 pp 01 313931313030503030333437            
