16/01/25 05:02:08 0000 s 02533ver01 44.753213 8.812012 vv 01
16/01/25 08:59:15 0000 s 02533ver01 44.753190 8.812883 vv 01
16/01/25 09:13:06 0001 1                  44.759170 8.802327 vv 01 323032343056303030343430            
16/01/25 09:20:23 0002 1                  44.768693 8.796435 vv 01 3231303234304a3033363331            
16/01/25 09:22:15 0003 1                  44.769178 8.796678 vv 01 323030323545303031393733            
16/01/25 09:22:17 0004 1                  44.769178 8.796678 vv 01 313832343045303031383030            
16/01/25 09:23:25 0005 1                  44.769552 8.796555 vv 01 3035ebb3205443c80004056e            
16/01/25 09:23:27 0006 1                  44.769555 8.796558 vv 01 3231303032334d3032383539            
16/01/25 09:23:28 0007 1                  44.769558 8.796562 vv 01 3231303032334d3032383538            
16/01/25 09:23:31 0008 1                  44.769562 8.796563 vv 01 31383234304a303032373531            
16/01/25 09:23:36 0009 1                  44.769563 8.796557 vv 01 3231303032334d3034303237            
16/01/25 09:23:52 0010 1                  44.769562 8.796540 vv 01 30396120c07877400005060a            
16/01/25 09:25:58 0011 1                  44.769563 8.794563 vv 01 3231303132304a3032303039            
16/01/25 09:26:02 0012 1                  44.769567 8.794563 vv 01 3231303234384a3031363632            
16/01/25 09:26:05 0013 1                  44.769570 8.794562 vv 01 3231303234304a3031363632            
16/01/25 09:28:31 0014 1                  44.769578 8.794092 vv 01 3231303234304a3031393630            
16/01/25 09:28:33 0015 1                  44.769577 8.794088 vv 01 31383234304a303032383137            
16/01/25 09:52:09 0016 1                  44.769162 8.793330 vv 01 3231303234304a3033303431            
16/01/25 09:52:32 0017 1                  44.769190 8.793332 vv 01 3231303234304a3031353734            
16/01/25 09:54:23 0018 1                  44.769380 8.793132 vv 01 3231303234304a3031363036            
16/01/25 09:54:25 0019 1                  44.769380 8.793132 vv 01 3231303234304a3031363034            
16/01/25 09:55:25 0020 1                  44.769403 8.793052 vv 01 303400eda43e974000005113            
16/01/25 09:55:54 0021 1                  44.769563 8.791853 vv 01 3231303234304a3031383536            
16/01/25 09:56:02 0022 1                  44.769567 8.791845 vv 01 3231303234304a3031353636            
