20/01/25 04:55:21 0000 s 00562ver01 44.753193 8.812143 ss 01
20/01/25 05:29:43 0001 1                  0 0 ss 01 323032323036323330303034            
20/01/25 05:30:00 0002 1                  0 0 ss 01 3230303033304d3031303434            
20/01/25 05:30:10 0003 1                  0 0 ss 01 3234303033304d3030393938            
20/01/25 05:30:18 0004 1                  0 0 ss 01 3230303033304d3030383931            
20/01/25 05:30:20 0005 1                  0 0 ss 01 323030323545303035393837            
20/01/25 05:30:45 0006 1                  0 0 ss 01 31383033304d303031323139            
20/01/25 05:31:50 0007 1                  0 0 ss 01 313931323053303133313634            
20/01/25 05:31:54 0008 1                  0 0 ss 01 3230303033304d3030393032            
20/01/25 05:38:01 0009 1                  0 0 ss 01 313931323053303036313332            
20/01/25 05:38:08 0010 1                  0 0 ss 01 3231303033304d3031373636            
20/01/25 05:40:24 0011 1                  0 0 ss 01 3231303033304d3031333934            
20/01/25 05:40:38 0012 1                  0 0 ss 01 3234303033304d3030383532            
20/01/25 05:43:34 0013 1                  0 0 ss 01 3234303033304d3030353630            
20/01/25 05:44:32 0014 1                  0 0 ss 01 3231303033304d3031343933            
20/01/25 05:46:39 0015 1                  0 0 ss 01 3231303033304d3030363336            
20/01/25 05:46:51 0016 1                  0 0 ss 01 3231303033304d3033363430            
20/01/25 05:56:35 0017 1                  0 0 ss 01 3231303132304a3033373035            
20/01/25 05:56:37 0018 1                  0 0 ss 01 3234303033304d3030373534            
20/01/25 05:56:49 0019 1                  0 0 ss 01 3231303033304d3031333036            
20/01/25 05:56:52 0020 1                  0 0 ss 01 3231303033304d3031343332            
20/01/25 05:57:05 0021 1                  0 0 ss 01 3231303132304a3039353034            
20/01/25 05:57:37 0022 1                  0 0 ss 01 3231303033304d3031313430            
20/01/25 06:03:28 0023 1                  0 0 ss 01 323030323545303039343530            
20/01/25 06:03:29 0024 1                  0 0 ss 01 31383033304d303035303438            
20/01/25 06:03:32 0025 1                  0 0 ss 01 31383033304d303035313730            
20/01/25 06:03:44 0026 1                  0 0 ss 01 3231303033304d3033363034            
20/01/25 06:04:01 0027 1                  0 0 ss 01 3234303033304d3031383436            
20/01/25 06:04:12 0028 1                  0 0 ss 01 31383033304d303035303532            
20/01/25 06:04:24 0029 1                  0 0 ss 01 3231303033304d3034343032            
20/01/25 06:04:27 0030 1                  0 0 ss 01 31383033304d303035313639            
20/01/25 06:05:37 0031 1                  0 0 ss 01 3231303033304d3033363434            
20/01/25 06:11:36 0032 1                  0 0 ss 01 3231303132304a3035343638            
20/01/25 06:12:02 0033 1                  0 0 ss 01 243278652909910002010000            
20/01/25 06:17:24 0034 1                  0 0 ss 01 3233303033304d3030343431            
20/01/25 06:17:28 0035 1                  0 0 ss 01 3234303033304d3030333534            
20/01/25 06:17:32 0036 1                  0 0 ss 01 3231303033304d3030393930            
20/01/25 06:21:24 0037 1                  0 0 ss 01 3231303132304a3034363037            
20/01/25 06:23:14 0038 1                  0 0 ss 01 3234303234304a3030333334            
20/01/25 06:26:13 0039 1                  0 0 ss 01 3231303132304a3035393430            
20/01/25 06:28:35 0040 1                  44.759521 8.790850 ss 01 323031323055303030333037            
20/01/25 06:31:10 0041 1                  44.760302 8.790393 ss 01 3230303033304d3034353539            
20/01/25 06:33:29 0042 1                  44.760057 8.789749 ss 01 3231313130304a3030393935            
20/01/25 06:36:33 0043 1                  44.760758 8.788898 ss 01 3234303033304d3030373732            
20/01/25 06:38:24 0044 1                  44.760938 8.788980 ss 01 3231303033304d3033323635            
20/01/25 06:41:58 0045 1                  44.761403 8.788359 ss 01 3230303033304d3034343931            
20/01/25 06:42:58 0046 1                  44.761294 8.787906 ss 01 3230303033304d3038383439            
20/01/25 06:43:19 0047 1                  44.761294 8.787906 ss 01 3230303033304d3033383138            
20/01/25 06:46:36 0048 1                  44.761097 8.787548 ss 01 3231303132304a3030363238            
20/01/25 06:48:13 0049 1                  44.761449 8.786832 ss 01 3230303033304d3035303036            
20/01/25 06:48:20 0050 1                  44.761449 8.786832 ss 01 3230303033304d3034363239            
20/01/25 06:49:33 0051 1                  44.761449 8.786832 ss 01 313932343053303030343531            
20/01/25 06:49:53 0052 1                  44.761449 8.786832 ss 01 313932343053303030343532            
20/01/25 06:50:50 0053 1                  44.761449 8.786832 ss 01 3231303033304d3033323633            
20/01/25 06:51:58 0054 1                  44.761449 8.786832 ss 01 3230303033304d3036373534            
20/01/25 06:53:20 0055 1                  44.761449 8.786832 ss 01 3230303033304d3033373636            
20/01/25 06:54:14 0056 1                  44.761449 8.786832 ss 01 3234303033304d3030383438            
20/01/25 06:54:14 0057 1                  44.761449 8.786832 ss 01 3230303033304d3034333639            
20/01/25 06:54:30 0058 1                  44.761449 8.786832 ss 01 3230303033304d3034353538            
20/01/25 06:56:49 0059 1                  44.761449 8.786832 ss 01 3234303033304d3030393131            
20/01/25 06:57:01 0060 1                  44.761449 8.786832 ss 01 3232303132304a3030333439            
20/01/25 06:57:16 0061 1                  44.761449 8.786832 ss 01 3234303033304d3030353838            
20/01/25 06:59:39 0062 1                  44.761449 8.786832 ss 01 3231303132304a3030343335            
20/01/25 07:03:18 0063 1                  44.761449 8.786832 ss 01 3234303033304d3030393730            
20/01/25 07:04:22 0064 1                  44.761449 8.786832 ss 01 3230303033304d3034303237            
20/01/25 07:04:32 0065 1                  44.761449 8.786832 ss 01 3230303033304d3033383835            
20/01/25 07:05:55 0066 1                  44.761449 8.786832 ss 01 3230303033304d3033383335            
