20/01/25 05:01:44 0001 8                  44.753493 8.812058 pp 01 
20/01/25 05:01:44 0001 7                  44.753493 8.812058 pp 01 
20/01/25 05:01:44 0000 s 02535ver01 44.753493 8.812058 pp 01
20/01/25 05:01:45 0002 8                  44.753493 8.812058 pp 01 
20/01/25 05:01:48 0003 8                  44.753493 8.812058 pp 01 
20/01/25 05:02:17 0004 8                  0 0 pp 01 
20/01/25 05:05:06 0002 7                  44.753282 8.813138 pp 01 
20/01/25 06:29:50 0001 1                  44.601978 8.883682 pp 01 313931313030503030303233            
20/01/25 06:30:44 0002 1                  44.601990 8.883750 pp 01 313931313030503030303234            
20/01/25 06:33:46 0003 1                  44.601133 8.883198 pp 01 31383132304A303230383633            
20/01/25 06:37:36 0004 1                  44.601028 8.881985 pp 01 31383132304A303230373035            
20/01/25 06:47:35 0000 s 02535ver01 0 0 pp 01
20/01/25 06:47:35 0000 s 02535ver01 0 0 pp 01
20/01/25 06:53:08 0000 s 02535ver01 0 0 pp 01
20/01/25 06:56:19 0005 1                  44.616883 8.842662 pp 01 30396061C0319DC000008817            
20/01/25 07:04:16 0006 1                  44.622350 8.844660 pp 01 3231313130304A3032363037            
20/01/25 07:05:35 0007 1                  44.622997 8.845207 pp 01 313931313030503030303738            
20/01/25 07:21:21 0008 1                  44.613417 8.846308 pp 01 31383132304A303139373233            
20/01/25 07:27:09 0009 1                  44.615275 8.844985 pp 01 303AC8E9C0085FDC941D079E            
20/01/25 07:27:13 0010 1                  44.615277 8.844990 pp 01 3039612D41A03409502F90F4            
20/01/25 07:45:57 0011 1                  44.580032 8.873522 pp 01 31383132304A303231333238            
20/01/25 08:13:11 0012 1                  44.655472 8.835745 pp 01 313931313030503030313030            
20/01/25 08:15:57 0013 1                  44.657375 8.834630 pp 01 313931313030503030303534            
20/01/25 08:18:00 0014 1                  44.657850 8.831815 pp 01 31383132304A303238323037            
20/01/25 08:24:06 0015 1                  44.659882 8.831782 pp 01 31383132304A303230373630            
20/01/25 08:25:14 0016 1                  44.660085 8.832012 pp 01 313931313030503030303338            
20/01/25 08:25:16 0017 1                  44.660087 8.832010 pp 01 3034F822283CE242EE000EE2            
20/01/25 08:27:00 0018 1                  44.660313 8.831498 pp 01 313932343045303030363530            
20/01/25 08:28:27 0019 1                  44.660807 8.831902 pp 01 31383132304A303231303136            
20/01/25 08:29:41 0020 1                  44.662033 8.830182 pp 01 31383132304A303138353435            
20/01/25 08:30:10 0021 1                  44.662023 8.830175 pp 01 31383132304A303138393738            
20/01/25 08:30:12 0022 1                  44.662023 8.830170 pp 01 31383132304A303231333734            
20/01/25 08:31:47 0023 1                  44.662313 8.829803 pp 01 31383132304A303139303032            
20/01/25 08:31:47 0024 1                  44.662313 8.829803 pp 01 31383132304A303139303033            
20/01/25 08:33:36 0025 1                  44.662383 8.829427 pp 01 31383132304A303139393536            
20/01/25 08:33:38 0026 1                  44.662385 8.829425 pp 01 31383132304A303138393837            
20/01/25 08:34:53 0027 1                  44.662508 8.829220 pp 01 31383132304A303139353038            
20/01/25 08:35:53 0028 1                  44.662707 8.828473 pp 01 31383132304A303231333738            
20/01/25 08:36:52 0029 1                  44.662693 8.827880 pp 01 31383132304A303139353033            
20/01/25 08:38:43 0030 1                  44.663685 8.826152 pp 01 313931323050303133313732            
20/01/25 08:39:52 0031 1                  44.664340 8.825445 pp 01 31383033304D303036323934            
20/01/25 08:40:45 0032 1                  44.664397 8.825390 pp 01 313931323050303131303332            
20/01/25 08:40:45 0033 1                  44.664397 8.825390 pp 01 313931323050303039303338            
20/01/25 08:41:01 0034 1                  44.664405 8.825387 pp 01 3034F822283CE242EE000EE2            
20/01/25 08:48:36 0035 1                  44.667260 8.822462 pp 01 3233303132304A3030353531            
20/01/25 08:50:43 0036 1                  44.675475 8.817075 pp 01 313931323050303036313630            
20/01/25 08:52:32 0037 1                  44.678512 8.814270 pp 01 3034F848E05E9B82EE000E15            
20/01/25 09:26:27 0038 1                  44.691145 8.825410 pp 01 3034F822283CE242EE000EE2            
20/01/25 09:27:40 0039 1                  44.691190 8.825400 pp 01 3034F7065C135A42540BE4DA            
20/01/25 09:27:44 0040 1                  44.691202 8.825397 pp 01 303ACB0342E029DC8BB70462            
20/01/25 09:27:48 0041 1                  44.691198 8.825397 pp 01 3035EB8ADC356E080005A544            
20/01/25 09:27:52 0042 1                  44.691195 8.825397 pp 01 3035EB8ADC356E080005D11F            
20/01/25 09:39:33 0043 1                  44.691178 8.825402 pp 01 3035EB8ADC356E080005A544            
20/01/25 09:40:36 0044 1                  44.691177 8.825397 pp 01 30395DFA82E2C30000125512            
20/01/25 09:40:44 0045 1                  44.691182 8.825405 pp 01 30396061C03AF90000096490            
20/01/25 09:40:50 0046 1                  44.691177 8.825408 pp 01 303ACB03434C8B99D8B63DB8            
20/01/25 09:41:04 0047 1                  44.691168 8.825410 pp 01 30396061C3BCA480001095DD            
20/01/25 09:42:55 0048 1                  44.691148 8.825410 pp 01 303ACB0342D41BDC8B9732F5            
20/01/25 10:08:31 0000 s 02535ver01 44.691142 8.825395 pp 01
20/01/25 11:23:24 0000 s 02535ver01 44.753062 8.812982 pp 01
20/01/25 18:03:55 0000 s 02535ver01 44.753122 8.812938 pp 01
