25/01/25 05:15:23 0000 s 01494ver01 44.882198 8.859848 00 00
25/01/25 05:51:57 0001 1                  44.844023 8.853070 00 00 3234303132304A3032363931            
25/01/25 05:54:49 0002 1                  44.829528 8.853938 00 00 3231303132304A3039303835            
25/01/25 05:56:01 0003 1                  44.828785 8.854097 00 00 3231303132304A3034333930            
25/01/25 05:56:43 0004 1                  44.828493 8.853493 00 00 181122407300029550163146            
25/01/25 05:56:43 0005 1                  44.828493 8.853493 00 00 181122408400097650162480            
25/01/25 05:58:11 0006 1                  44.827395 8.851402 00 00 3231303132304A3039363133            
25/01/25 06:09:12 0007 1                  44.830042 8.851233 00 00 3231303132304A3039383036            
25/01/25 06:10:38 0008 1                  44.830087 8.851817 00 00 3231303132304A3038363633            
25/01/25 06:12:34 0009 1                  44.829028 8.853490 00 00 3233303132304A3030313036            
25/01/25 06:22:28 0010 1                  44.827987 8.854258 00 00 3231303132304A3038343332            
25/01/25 06:22:32 0011 1                  44.827992 8.854262 00 00 3231303132304A3130313836            
25/01/25 06:26:00 0012 1                  44.836228 8.853820 00 00 3231303234304A3032363839            
25/01/25 06:34:25 0013 1                  44.876063 8.864953 00 00 3231303132304A3039353038            
25/01/25 06:36:06 0014 1                  44.876087 8.865333 00 00 3231303132304A3039353039            
25/01/25 06:39:20 0015 1                  44.871577 8.870403 00 00 3231303132304A3039343536            
25/01/25 06:39:23 0016 1                  44.871577 8.870403 00 00 3231303132304A3039343536            
25/01/25 06:48:38 0017 1                  44.862720 8.873745 00 00 3231303132304A3130333734            
25/01/25 06:49:07 0018 1                  44.862703 8.873690 00 00 3231303132304A3130333735            
25/01/25 06:49:36 0019 1                  44.862692 8.873663 00 00 3234303132304A3030363031            
25/01/25 06:54:35 0020 1                  44.857870 8.876822 00 00 3231303132304A3038373938            
25/01/25 06:54:36 0021 1                  44.857868 8.876818 00 00 3231303234304A3032363933            
25/01/25 07:02:03 0022 1                  44.862853 8.873900 00 00 3231303132304A3039353234            
25/01/25 07:04:24 0023 1                  44.862752 8.876258 00 00 3234303132304A3032353432            
25/01/25 07:05:50 0024 1                  44.862332 8.876855 00 00 3231303132304A3130303738            
25/01/25 07:05:53 0025 1                  44.862327 8.876848 00 00 3231303132304A3130303738            
25/01/25 07:09:26 0026 1                  44.859973 8.879963 00 00 3231313130304A3030383936            
25/01/25 07:17:17 0027 1                  44.861492 8.879942 00 00 3234303132304A3032363034            
25/01/25 07:17:19 0028 1                  44.861492 8.879942 00 00 3231303132304A3130313834            
25/01/25 07:17:19 0029 1                  44.861492 8.879942 00 00 30340C044C4EE0174876EE45            
25/01/25 07:22:49 0030 1                  44.861395 8.886112 00 00 3231303132304A3038393235            
25/01/25 07:23:58 0031 1                  44.861533 8.886157 00 00 3231303132304A3130303934            
25/01/25 07:23:58 0032 1                  44.861533 8.886157 00 00 303ACB03432B195C8B9152E0            
25/01/25 07:29:19 0033 1                  44.862643 8.881852 00 00 3231303132304A3038363438            
25/01/25 07:29:19 0034 1                  44.862643 8.881852 00 00 3231303132304A3038363430            
25/01/25 07:30:36 0035 1                  44.862903 8.880947 00 00 0002000008469A9F9F5B7DD6            
25/01/25 07:30:36 0036 1                  44.862903 8.880947 00 00 10380E9E000D63CA87A8080F            
25/01/25 07:30:37 0037 1                  44.862903 8.880947 00 00 3231303132304A3038383333            
25/01/25 07:32:57 0038 1                  44.862858 8.880135 00 00 313931323043303038393231            
25/01/25 07:34:13 0039 1                  44.862748 8.879488 00 00 3231303132304A3038383332            
25/01/25 08:28:13 0000 s 01494ver01 44.849177 8.887147 00 00
25/01/25 08:43:00 0040 1                  44.884037 8.886290 00 00 3231303132304A3039363730            
25/01/25 08:44:39 0041 1                  44.883392 8.892537 00 00 3231303033304D3033353337            
25/01/25 08:50:40 0042 1                  44.883557 8.893423 00 00 3231303132304A3039383033            
25/01/25 08:51:39 0043 1                  44.883577 8.892985 00 00 3233303132304A3030373839            
25/01/25 08:55:41 0044 1                  44.881380 8.883170 00 00 3231303132304A3039393237            
25/01/25 08:59:23 0045 1                  44.877085 8.884390 00 00 3231313130304A3030393232            
25/01/25 09:03:51 0046 1                  44.879222 8.889625 00 00 3231303132304A3039383636            
25/01/25 09:07:42 0047 1                  44.882973 8.889993 00 00 3231303132304A3039393238            
25/01/25 09:09:48 0048 1                  44.880335 8.889008 00 00 3231303132304A3039343131            
25/01/25 09:11:05 0049 1                  44.880132 8.888778 00 00 3231303132304A3039353631            
25/01/25 09:13:06 0050 1                  44.879800 8.887983 00 00 2024000315824D09E2806995            
25/01/25 09:13:26 0051 1                  44.879762 8.887957 00 00 3034F7D5142DD0C000003890            
25/01/25 09:13:27 0052 1                  44.879762 8.887955 00 00 3231303132304A3039353939            
25/01/25 09:13:28 0053 1                  44.879762 8.887955 00 00 805378524324900000000000            
25/01/25 09:13:29 0054 1                  44.879763 8.887953 00 00 30395DFA82E44440002F4F2B            
25/01/25 09:13:29 0055 1                  44.879763 8.887953 00 00 805378526692700000000000            
25/01/25 09:13:30 0056 1                  44.879763 8.887953 00 00 30395DFA82C0400000137F07            
25/01/25 09:14:21 0057 1                  44.879718 8.887777 00 00 3231303033304D3031353936            
25/01/25 09:14:49 0058 1                  44.879690 8.887760 00 00 313931323043303038373737            
25/01/25 09:16:19 0059 1                  44.879488 8.887202 00 00 3231303132304A3038363634            
25/01/25 09:22:22 0060 1                  44.878190 8.889630 00 00 3231303132304A3038363432            
25/01/25 09:25:52 0061 1                  44.871987 8.888092 00 00 3230313130304A3030373330            
25/01/25 09:45:04 0062 1                  44.920068 8.853305 00 00 805378524324900000000000            
25/01/25 10:11:34 0000 s 01494ver01 44.882522 8.860335 00 00
