27/01/25 10:04:49 0000 s 01491ver01 44.882253 8.859888 00 00
27/01/25 10:04:55 0000 s 01491ver01 44.882253 8.859888 00 00
27/01/25 10:05:08 0000 s 01491ver01 44.882418 8.859787 00 00
27/01/25 10:15:09 0001 1                  44.884828 8.857538 00 00 3231303032334D3030313834            
27/01/25 10:15:09 0002 1                  44.884828 8.857538 00 00 3232303032334D3030393437            
27/01/25 10:30:53 0003 1                  44.988350 8.822308 00 00 313931323050303032373531            
27/01/25 10:31:56 0004 1                  44.988793 8.822562 00 00 313831323045303234343831            
27/01/25 10:32:49 0005 1                  44.988953 8.822558 00 00 3138B1323045303234353634            
27/01/25 10:34:54 0006 1                  44.990480 8.823397 00 00 313831323045303234353631            
27/01/25 10:37:38 0007 1                  44.995017 8.823122 00 00 313831323045303234343738            
27/01/25 10:37:38 0008 1                  44.995017 8.823122 00 00 313831323045303234343830            
27/01/25 10:40:12 0009 1                  44.995032 8.826628 00 00 313831323045303231303832            
27/01/25 10:40:14 0010 1                  44.995033 8.826628 00 00 313831323045303231303531            
27/01/25 10:43:38 0011 1                  44.998267 8.826483 00 00 313831323045303234353538            
27/01/25 10:47:15 0012 1                  45.003317 8.830313 00 00 31383032334D303039393439            
27/01/25 10:49:48 0013 1                  44.999633 8.831778 00 00 3234303132304A3032323837            
27/01/25 10:51:01 0014 1                  44.999847 8.832465 00 00 313831323045303139383536            
27/01/25 10:52:14 0015 1                  44.999983 8.833082 00 00 313931323050303039353037            
27/01/25 10:54:03 0016 1                  45.000462 8.835195 00 00 313831323045303231303538            
27/01/25 10:54:03 0017 1                  45.000462 8.835195 00 00 313831323045303236333436            
27/01/25 10:56:23 0018 1                  45.000788 8.836132 00 00 313831323045303231363030            
27/01/25 10:57:26 0019 1                  45.000662 8.835687 00 00 313831323045303232333134            
27/01/25 11:01:14 0020 1                  45.005215 8.842155 00 00 313831323045303234353330            
27/01/25 11:03:37 0021 1                  45.000280 8.843668 00 00 313931323050303039353036            
27/01/25 11:05:55 0022 1                  44.996473 8.840550 00 00 313831323045303230353934            
27/01/25 11:07:04 0023 1                  44.996437 8.839228 00 00 313831323045303138373337            
27/01/25 11:09:21 0024 1                  44.994172 8.838562 00 00 313831323045303231303535            
27/01/25 11:12:23 0025 1                  44.996433 8.837048 00 00 313831323045303231303833            
27/01/25 11:15:58 0026 1                  44.992212 8.823928 00 00 313831323045303231303134            
27/01/25 11:17:07 0027 1                  44.991795 8.823353 00 00 313831323045303230313436            
27/01/25 11:18:28 0028 1                  44.991305 8.822647 00 00 313831323045303139383533            
27/01/25 11:19:34 0029 1                  44.990872 8.822037 00 00 313831323045303139383439            
27/01/25 11:21:20 0030 1                  44.990290 8.821107 00 00 313831323045303139363338            
27/01/25 11:21:20 0031 1                  44.990290 8.821107 00 00 313831323045303139353234            
27/01/25 11:22:39 0032 1                  44.989305 8.820870 00 00 313831323045303234393033            
27/01/25 11:23:53 0033 1                  44.988217 8.820765 00 00 313831323045303230313633            
27/01/25 11:23:53 0034 1                  44.988217 8.820765 00 00 3026580BE769810000000F67            
27/01/25 11:24:50 0035 1                  44.987383 8.820477 00 00 313831323045303230313735            
27/01/25 11:26:31 0036 1                  44.986565 8.820310 00 00 313831323045303230313431            
27/01/25 11:27:36 0037 1                  44.986240 8.820117 00 00 313831323045303233323237            
27/01/25 11:31:34 0038 1                  44.985880 8.818887 00 00 313831323045303234343632            
27/01/25 11:32:40 0039 1                  44.985785 8.818435 00 00 313831323045303139363633            
27/01/25 11:34:32 0040 1                  44.985173 8.818290 00 00 313832343045303034313531            
27/01/25 11:35:14 0041 1                  44.985177 8.818300 00 00 3233313130304A3030323239            
27/01/25 11:36:25 0042 1                  44.985358 8.816882 00 00 313831323045303139363134            
27/01/25 11:37:28 0043 1                  44.985333 8.816553 00 00 313831323045303138353238            
27/01/25 11:37:30 0044 1                  44.985335 8.816553 00 00 313831323045303139343434            
27/01/25 11:38:53 0045 1                  44.985238 8.816153 00 00 313831323045303139363131            
27/01/25 11:38:53 0046 1                  44.985238 8.816153 00 00 313831323045303139363538            
27/01/25 11:40:22 0047 1                  44.985117 8.814578 00 00 313831323045303139343333            
27/01/25 11:42:15 0048 1                  44.984973 8.813955 00 00 313831323045303230343233            
27/01/25 11:42:17 0049 1                  44.984972 8.813957 00 00 313831323045303232373037            
27/01/25 11:44:06 0050 1                  44.984830 8.813533 00 00 313831313030533031303838            
27/01/25 11:45:13 0051 1                  44.984842 8.813520 00 00 313831323045303230313130            
27/01/25 11:45:13 0052 1                  44.984842 8.813520 00 00 313831323045303230343232            
27/01/25 11:47:22 0053 1                  44.984788 8.812798 00 00 313931323050303031313438            
27/01/25 11:48:41 0054 1                  44.985098 8.812547 00 00 313831323045303139323336            
27/01/25 11:49:12 0055 1                  44.985108 8.812560 00 00 313931323050303035363930            
27/01/25 11:49:12 0056 1                  44.985108 8.812560 00 00 313931323050303133343236            
27/01/25 11:50:55 0057 1                  44.985463 8.812187 00 00 313931323050303033343535            
27/01/25 11:50:55 0058 1                  44.985463 8.812187 00 00 313931323050303033363036            
27/01/25 11:52:20 0059 1                  44.985768 8.811875 00 00 313831323045303139373234            
27/01/25 11:52:20 0060 1                  44.985768 8.811875 00 00 3233303132304A3030373530            
27/01/25 11:53:06 0061 1                  44.985772 8.811915 00 00 313931323050303034313830            
27/01/25 11:53:06 0062 1                  44.985772 8.811915 00 00 313831323045303139393033            
27/01/25 11:54:39 0063 1                  44.986027 8.811640 00 00 313831323045303139373230            
27/01/25 11:56:04 0064 1                  44.986600 8.811875 00 00 534D5004E700010137303034            
27/01/25 11:56:55 0065 1                  44.986953 8.812642 00 00 313831323045303139333434            
27/01/25 11:58:14 0066 1                  44.986878 8.812462 00 00 313831323045303139393638            
27/01/25 11:58:16 0067 1                  44.986880 8.812460 00 00 313831323045303139363137            
27/01/25 12:00:23 0068 1                  44.986735 8.811183 00 00 313831323045303233383538            
27/01/25 12:00:27 0069 1                  44.986735 8.811180 00 00 313831323045303139393330            
27/01/25 12:01:54 0070 1                  44.986382 8.810915 00 00 313831323045303139393730            
27/01/25 12:03:15 0071 1                  44.986253 8.810835 00 00 313831323045303230333131            
27/01/25 12:03:15 0072 1                  44.986253 8.810835 00 00 313831323045303139343139            
27/01/25 12:04:44 0073 1                  44.986108 8.810720 00 00 313831323045303230323835            
27/01/25 12:04:44 0074 1                  44.986108 8.810720 00 00 313831323045303230323834            
27/01/25 12:06:13 0075 1                  44.985707 8.810498 00 00 313831323045303230323830            
27/01/25 12:06:17 0076 1                  44.985702 8.810495 00 00 313831323045303230323738            
27/01/25 12:07:40 0077 1                  44.985302 8.810188 00 00 313831323045303230323837            
27/01/25 12:07:40 0078 1                  44.985302 8.810188 00 00 313831323045303230323039            
27/01/25 12:10:08 0079 1                  44.985298 8.809038 00 00 313831323045303139343736            
27/01/25 12:11:17 0080 1                  44.985720 8.808725 00 00 313831323045303230303036            
27/01/25 12:12:36 0081 1                  44.986068 8.808697 00 00 313831323045303139393939            
27/01/25 12:12:36 0082 1                  44.986068 8.808697 00 00 313831323045303230313736            
27/01/25 12:13:30 0083 1                  44.986073 8.808688 00 00 313931323050303039383736            
27/01/25 12:13:32 0084 1                  44.986072 8.808687 00 00 313831323045303230313734            
27/01/25 12:13:34 0085 1                  44.986073 8.808687 00 00 313931323050303039383736            
27/01/25 12:14:31 0086 1                  44.986083 8.808680 00 00 313831323045303230333332            
27/01/25 12:14:31 0087 1                  44.986083 8.808680 00 00 313831323045303139383932            
27/01/25 12:15:09 0088 1                  44.986088 8.808697 00 00 313831323045303139383931            
27/01/25 12:17:13 0089 1                  44.986422 8.808905 00 00 313831323045303139383837            
27/01/25 12:17:15 0090 1                  44.986422 8.808903 00 00 313831323045303139383838            
27/01/25 12:18:07 0091 1                  44.986435 8.808875 00 00 313831323045303230393035            
27/01/25 12:18:07 0092 1                  44.986435 8.808875 00 00 313831323045303232373036            
27/01/25 12:20:01 0093 1                  44.986512 8.808582 00 00 313831323045303139393937            
27/01/25 12:20:01 0094 1                  44.986512 8.808582 00 00 313831323045303139393933            
27/01/25 12:21:38 0095 1                  44.986617 8.808620 00 00 313A31323045303139373139            
27/01/25 12:23:05 0096 1                  44.986860 8.808532 00 00 313831323045303139383839            
