30/01/25 04:47:59 0000 s 02535ver01 44.753475 8.812293 pp 01
30/01/25 04:48:04 0001 7                  44.753475 8.812293 pp 01 
30/01/25 04:48:56 0002 7                  44.753525 8.812325 pp 01 
30/01/25 05:21:33 0001 1                  44.756482 8.797572 pp 01 313931323050303033313138            
30/01/25 05:21:33 0002 1                  44.756482 8.797572 pp 01 313931323050303033383431            
30/01/25 05:23:02 0003 1                  44.756468 8.797563 pp 01 313931323050303033313139            
30/01/25 05:25:38 0004 1                  44.756677 8.797123 pp 01 313931323050303033313230            
30/01/25 05:28:38 0005 1                  44.758748 8.794165 pp 01 313932343050303030343039            
30/01/25 05:30:15 0006 1                  44.758610 8.793903 pp 01 31383033304D303033373831            
30/01/25 05:31:38 0007 1                  44.758570 8.793973 pp 01 323031313030503030313535            
30/01/25 05:32:34 0008 1                  44.758607 8.793965 pp 01 3034DFCA842400C0000000E9            
30/01/25 05:34:17 0009 1                  44.758860 8.793577 pp 01 313931323050303034363637            
30/01/25 05:34:44 0010 1                  44.758812 8.793528 pp 01 313931323050303032353339            
30/01/25 05:34:44 0011 1                  44.758812 8.793528 pp 01 313932343050303030333136            
30/01/25 05:36:35 0012 1                  44.758898 8.793298 pp 01 313931323050303033383435            
30/01/25 05:38:00 0013 1                  44.759042 8.793152 pp 01 31383033304D303033363430            
30/01/25 05:38:44 0014 1                  44.759048 8.793113 pp 01 313931323050303033383430            
30/01/25 05:38:46 0015 1                  44.759050 8.793112 pp 01 313932343050303030343536            
30/01/25 05:42:47 0016 1                  44.759090 8.792362 pp 01 323031313030503030323936            
30/01/25 05:43:29 0017 1                  44.759100 8.792285 pp 01 323031313030503030333030            
30/01/25 05:45:31 0018 1                  44.758582 8.792253 pp 01 3035EBB3202A4AC800042364            
30/01/25 05:47:30 0019 1                  44.759378 8.791455 pp 01 31383033304D303033353836            
30/01/25 05:49:13 0020 1                  44.759252 8.791833 pp 01 313931323050303030383535            
30/01/25 05:49:13 0021 1                  44.759252 8.791833 pp 01 313932343050303030353332            
30/01/25 05:53:08 0022 1                  44.759143 8.792127 pp 01 313932343050303030333439            
30/01/25 05:54:12 0023 1                  44.759167 8.792185 pp 01 313931323050303039313632            
30/01/25 05:54:16 0024 1                  44.759162 8.792188 pp 01 313931323050303031383135            
30/01/25 05:56:22 0025 1                  44.759683 8.792057 pp 01 313931323050303036393632            
30/01/25 05:56:24 0026 1                  44.759688 8.792060 pp 01 313931323050303037333739            
30/01/25 05:57:22 0027 1                  44.759698 8.792055 pp 01 303ACB0342949E99D8B631E5            
30/01/25 05:59:32 0028 1                  44.759855 8.791880 pp 01 313931323050303033343733            
30/01/25 05:59:36 0029 1                  44.759860 8.791898 pp 01 313932343050303030353430            
30/01/25 06:00:43 0030 1                  44.759833 8.791897 pp 01 313931323050303032383532            
30/01/25 06:00:43 0031 1                  44.759833 8.791897 pp 01 313932343050303030333532            
30/01/25 06:05:32 0032 1                  44.758053 8.794285 pp 01 313932343050303030333533            
30/01/25 06:07:17 0033 1                  44.757758 8.794842 pp 01 323031313030503030323131            
30/01/25 06:08:26 0034 1                  44.757808 8.794838 pp 01 323031313030503030323937            
30/01/25 06:09:34 0035 1                  44.757777 8.794812 pp 01 323031313030503030323935            
30/01/25 06:11:52 0036 1                  44.757458 8.795135 pp 01 3234303234304A3030333838            
30/01/25 06:13:05 0037 1                  44.757512 8.795218 pp 01 323031313030503030323034            
30/01/25 06:15:18 0038 1                  44.757142 8.795985 pp 01 313931323050303032353336            
30/01/25 06:16:29 0039 1                  44.757080 8.796003 pp 01 313931323050303035323335            
30/01/25 06:18:28 0040 1                  44.755887 8.797975 pp 01 313931323050303032343634            
30/01/25 06:19:05 0041 1                  44.755912 8.797997 pp 01 313D31323050303032343633            
30/01/25 06:19:11 0042 1                  44.755908 8.798010 pp 01 313931323050303032393536            
30/01/25 06:27:50 0043 1                  44.762378 8.794637 pp 01 31383033304D303036333533            
30/01/25 06:27:58 0044 1                  44.762403 8.794632 pp 01 31383033304D303036323337            
30/01/25 06:28:23 0045 1                  44.762533 8.794592 pp 01 31383033304D303036333531            
30/01/25 06:28:29 0046 1                  44.762560 8.794587 pp 01 31383033304D303035393436            
30/01/25 06:29:11 0047 1                  44.762565 8.794610 pp 01 313931323050303031353338            
30/01/25 06:29:11 0048 1                  44.762565 8.794610 pp 01 313931323050303032333834            
30/01/25 06:32:39 0049 1                  44.762105 8.791867 pp 01 3231313130304A3032333631            
30/01/25 06:33:36 0050 1                  44.762080 8.791730 pp 01 3231313130304A3030323532            
30/01/25 06:36:34 0051 1                  44.761885 8.793097 pp 01 3231313130304A3031333532            
30/01/25 06:38:33 0052 1                  44.761657 8.792693 pp 01 313932343050303030353832            
30/01/25 06:40:27 0053 1                  44.761107 8.792690 pp 01 313931323050303031373532            
30/01/25 06:42:24 0054 1                  44.760537 8.792643 pp 01 323031313030503030343039            
30/01/25 06:43:20 0055 1                  44.760490 8.792647 pp 01 313931323050303133383635            
30/01/25 06:45:16 0056 1                  44.760037 8.793280 pp 01 31383033304D303035393838            
30/01/25 06:45:50 0057 1                  44.760023 8.793253 pp 01 313931323050303132343831            
30/01/25 06:47:29 0058 1                  44.759873 8.793627 pp 01 313931323050303036313039            
30/01/25 06:47:31 0059 1                  44.759873 8.793630 pp 01 313931323050303132303039            
30/01/25 06:47:31 0060 1                  44.759873 8.793630 pp 01 313931323050303132303039            
30/01/25 06:49:12 0061 1                  44.759827 8.793698 pp 01 313931323050303132303130            
30/01/25 06:49:14 0062 1                  44.759828 8.793700 pp 01 313931323050303037343535            
30/01/25 06:51:24 0063 1                  44.759853 8.793992 pp 01 313931323050303132393535            
30/01/25 06:51:30 0064 1                  44.759855 8.794010 pp 01 3233303132304A3030363336            
30/01/25 06:55:34 0065 1                  44.759785 8.794260 pp 01 313931323050303036303535            
30/01/25 06:57:44 0066 1                  44.759708 8.794792 pp 01 313931323050303036383135            
30/01/25 06:58:30 0067 1                  44.759677 8.794858 pp 01 313931323050303036383137            
30/01/25 06:58:30 0068 1                  44.759677 8.794858 pp 01 313931323050303036383134            
30/01/25 07:01:14 0069 1                  44.759628 8.794953 pp 01 313931323050303036383139            
30/01/25 07:01:14 0070 1                  44.759628 8.794953 pp 01 313931323050303032343233            
30/01/25 07:02:25 0071 1                  44.759627 8.794932 pp 01 313931323050303032343235            
30/01/25 07:02:25 0072 1                  44.759627 8.794932 pp 01 313931323050303032343232            
30/01/25 07:04:10 0073 1                  44.759610 8.795590 pp 01 313931323050303130363739            
30/01/25 07:05:02 0074 1                  44.759602 8.795595 pp 01 323031313030503030333936            
30/01/25 07:08:00 0075 1                  44.759413 8.795883 pp 01 31383132304A303231373034            
30/01/25 07:08:02 0076 1                  44.759413 8.795883 pp 01 313931323050303033373932            
30/01/25 07:09:09 0077 1                  44.759360 8.795882 pp 01 313931323050303037323233            
30/01/25 07:09:09 0078 1                  44.759360 8.795882 pp 01 313931323050303032343231            
30/01/25 07:12:03 0079 1                  44.759207 8.796467 pp 01 313931323050303036303235            
30/01/25 07:12:03 0080 1                  44.759207 8.796467 pp 01 313931323050303036303235            
30/01/25 07:14:35 0081 1                  44.758563 8.797392 pp 01 313931323050303039303132            
30/01/25 07:15:46 0082 1                  44.758562 8.797357 pp 01 3234303132304A3030333739            
30/01/25 07:15:50 0083 1                  44.758557 8.797355 pp 01 313971323050303036373235            
30/01/25 07:16:34 0084 1                  44.758553 8.797368 pp 01 3234303132304A3030323532            
30/01/25 07:16:36 0085 1                  44.758552 8.797368 pp 01 3034F848C03DA442EE000035            
30/01/25 07:16:38 0086 1                  44.758552 8.797370 pp 01 3234303132304A3032323338            
30/01/25 07:18:19 0087 1                  44.758107 8.798092 pp 01 313931323050303031363736            
30/01/25 07:22:00 0088 1                  44.757612 8.798682 pp 01 313931323050303033353335            
30/01/25 07:22:18 0089 1                  44.757623 8.798690 pp 01 313931323050303033353336            
30/01/25 07:22:26 0090 1                  44.757627 8.798698 pp 01 313931323050303033353334            
30/01/25 07:26:14 0091 1                  44.757372 8.799055 pp 01 313931363050303036323738            
30/01/25 07:26:14 0092 1                  44.757372 8.799055 pp 01 313931323050303030393430            
30/01/25 07:27:01 0093 1                  44.757377 8.799047 pp 01 313931323050303032383738            
30/01/25 07:27:03 0094 1                  44.757378 8.799050 pp 01 313931323050303031343739            
30/01/25 07:27:49 0095 1                  44.757383 8.799032 pp 01 313931323050303032333435            
30/01/25 07:29:00 0096 1                  44.757375 8.798973 pp 01 323031313030503030343330            
30/01/25 07:30:17 0097 1                  44.757423 8.798948 pp 01 313931323050303037303339            
30/01/25 07:32:32 0098 1                  44.756817 8.800020 pp 01 313931323050303031343830            
30/01/25 07:32:32 0099 1                  44.756817 8.800020 pp 01 313931323050303130353031            
30/01/25 07:33:43 0100 1                  44.756817 8.800028 pp 01 313931323050303037343531            
30/01/25 07:33:43 0101 1                  44.756817 8.800028 pp 01 3231303234304A3031333735            
30/01/25 07:36:03 0102 1                  44.756588 8.800502 pp 01 313931323050303032383435            
30/01/25 07:36:09 0103 1                  44.756583 8.800487 pp 01 313931323050303032383434            
30/01/25 07:36:49 0104 1                  44.756518 8.800493 pp 01 313931323050303032383732            
30/01/25 07:38:57 0105 1                  44.756252 8.801162 pp 01 313931323050303031333034            
30/01/25 07:40:32 0106 1                  44.756032 8.801533 pp 01 313931323050303032313739            
30/01/25 07:42:47 0107 1                  44.755852 8.801818 pp 01 313931323050303037323236            
30/01/25 07:42:47 0108 1                  44.755852 8.801818 pp 01 313931323050303130373336            
30/01/25 07:46:50 0109 1                  44.755797 8.803263 pp 01 313931323050303030343130            
30/01/25 07:46:50 0110 1                  44.755797 8.803263 pp 01 313931323050303037303337            
30/01/25 07:48:31 0111 1                  44.755553 8.803158 pp 01 313931323050303033363738            
30/01/25 07:48:53 0112 1                  44.755547 8.803168 pp 01 313931323050303032323437            
30/01/25 07:49:09 0113 1                  44.755528 8.803168 pp 01 313931323050303032323436            
30/01/25 07:51:43 0114 1                  44.754392 8.804123 pp 01 313931323050303037303432            
30/01/25 07:56:30 0115 1                  44.756180 8.801367 pp 01 313932343050303030323C37            
30/01/25 07:56:30 0116 1                  44.756180 8.801367 pp 01 313932343050303030323837            
30/01/25 07:56:31 0117 1                  44.756180 8.801367 pp 01 3231303234304A3034363438            
30/01/25 07:57:59 0118 1                  44.756492 8.801642 pp 01 313932343050303030323838            
30/01/25 07:59:24 0119 1                  44.756877 8.801897 pp 01 313931323050303031383234            
30/01/25 08:02:06 0120 1                  44.757112 8.802127 pp 01 313931323050303031393235            
30/01/25 08:04:13 0121 1                  44.757162 8.802382 pp 01 313931323050303030313130            
30/01/25 08:04:15 0122 1                  44.757162 8.802378 pp 01 313931323050303030393034            
30/01/25 08:05:24 0123 1                  44.757188 8.802335 pp 01 313931323050303030313732            
30/01/25 08:05:24 0124 1                  44.757188 8.802335 pp 01 313931323050303032393631            
30/01/25 08:06:29 0125 1                  44.757183 8.802397 pp 01 313931323050303030313733            
30/01/25 08:08:14 0126 1                  44.756982 8.802840 pp 01 313931323050303032303434            
30/01/25 08:10:39 0127 1                  44.757695 8.802277 pp 01 313931323050303030313735            
30/01/25 08:13:37 0128 1                  44.757755 8.801537 pp 01 313931323050303130303232            
30/01/25 08:14:32 0129 1                  44.757725 8.801532 pp 01 313931323050303032313135            
30/01/25 08:14:32 0130 1                  44.757725 8.801532 pp 01 313931323050303130303134            
30/01/25 08:15:24 0131 1                  44.757718 8.801543 pp 01 313931323050303030363938            
30/01/25 08:16:16 0132 1                  44.757752 8.801582 pp 01 323031313030503030333539            
30/01/25 08:18:10 0133 1                  44.757973 8.801342 pp 01 313931323050303031383331            
30/01/25 08:18:12 0134 1                  44.757970 8.801340 pp 01 313931323050303030373234            
30/01/25 08:19:04 0135 1                  44.757970 8.801325 pp 01 313931323050303030373233            
30/01/25 08:20:15 0136 1                  44.757937 8.801292 pp 01 3231313130304A3030313639            
30/01/25 08:47:10 0000 s 02535ver01 44.762782 8.802132 pp 01
30/01/25 08:52:01 0137 1                  44.765645 8.803113 pp 01 323031313030503030343836            
30/01/25 08:53:04 0138 1                  44.765583 8.803095 pp 01 323031313030503030343834            
30/01/25 08:53:46 0139 1                  44.765560 8.803090 pp 01 323031313030503030343835            
30/01/25 08:54:47 0140 1                  44.765402 8.803033 pp 01 313931323050303030313939            
30/01/25 08:54:53 0141 1                  44.765403 8.803048 pp 01 313931323050303030323030            
30/01/25 08:55:21 0142 1                  44.765315 8.802883 pp 01 313931323050303030333831            
30/01/25 08:56:46 0143 1                  44.765300 8.802905 pp 01 323031313030503030353439            
30/01/25 09:06:02 0144 1                  44.758245 8.802853 pp 01 323031313030503030333433            
30/01/25 09:07:06 0145 1                  44.758282 8.802808 pp 01 323031313030503030333434            
30/01/25 09:08:01 0146 1                  44.758273 8.802815 pp 01 323031313030503030343432            
30/01/25 09:09:46 0147 1                  44.758028 8.802688 pp 01 31383132304A303138373738            
30/01/25 09:09:46 0148 1                  44.758028 8.802688 pp 01 313931323050303035353838            
30/01/25 09:10:32 0149 1                  44.758082 8.802662 pp 01 313931323050303130373639            
30/01/25 09:10:32 0150 1                  44.758082 8.802662 pp 01 313931323050303133373730            
30/01/25 09:12:03 0151 1                  44.757422 8.802803 pp 01 313931323050303031353733            
30/01/25 09:12:42 0152 1                  44.757392 8.802805 pp 01 313931323050303031353735            
30/01/25 09:15:29 0153 1                  44.756962 8.803522 pp 01 3231303033304D3033313235            
30/01/25 09:15:35 0154 1                  44.756968 8.803522 pp 01 3231303033304D3032353730            
30/01/25 09:16:32 0155 1                  44.757025 8.803493 pp 01 313931323050303132343535            
30/01/25 09:16:32 0156 1                  44.757025 8.803493 pp 01 313931323050303132343637            
30/01/25 09:16:32 0157 1                  44.757025 8.803493 pp 01 303ACB0342C6E820AE62B393            
30/01/25 09:18:17 0158 1                  44.757375 8.803498 pp 01 313931323050303039303137            
30/01/25 09:18:59 0159 1                  44.757395 8.803517 pp 01 313931323050303035313838            
30/01/25 09:19:01 0160 1                  44.757393 8.803515 pp 01 313931323050303039303139            
30/01/25 09:20:50 0161 1                  44.758610 8.803453 pp 01 31383033304D303033373636            
30/01/25 09:21:53 0162 1                  44.758635 8.803405 pp 01 323031313030503030333533            
30/01/25 09:22:44 0163 1                  44.758638 8.803428 pp 01 323031313030503030333534            
30/01/25 09:23:36 0164 1                  44.758630 8.803415 pp 01 323031313030503030333530            
30/01/25 09:24:33 0165 1                  44.758662 8.803463 pp 01 323031313030503030333631            
30/01/25 09:26:38 0166 1                  44.759005 8.802867 pp 01 313931323050303031383132            
30/01/25 09:26:42 0167 1                  44.759007 8.802862 pp 01 313931323050303036303232            
30/01/25 09:28:05 0168 1                  44.759122 8.803293 pp 01 313931323050303031373033            
30/01/25 09:28:05 0169 1                  44.759122 8.803293 pp 01 3034326DA80F1F6468A25804            
30/01/25 09:28:06 0170 1                  44.759122 8.803293 pp 01 3034F80CB05BCD4AB41DBDAD            
30/01/25 09:29:28 0171 1                  44.759357 8.803282 pp 01 31383132304A303230303534            
30/01/25 09:30:56 0172 1                  44.759362 8.803230 pp 01 313931323050303031373038            
30/01/25 09:30:56 0173 1                  44.759362 8.803230 pp 01 313931323050303031373037            
30/01/25 09:33:14 0174 1                  44.759462 8.802512 pp 01 313931323050303031383131            
30/01/25 09:35:51 0175 1                  44.760300 8.802552 pp 01 313931323050303033303436            
30/01/25 09:35:51 0176 1                  44.760300 8.802552 pp 01 313931323050303030353031            
30/01/25 09:38:19 0177 1                  44.760388 8.803315 pp 01 313931323050303030313436            
30/01/25 09:38:19 0178 1                  44.760388 8.803315 pp 01 313931323050303030313436            
30/01/25 09:41:47 0179 1                  44.761042 8.803492 pp 01 313931323050303033303432            
30/01/25 09:43:32 0180 1                  44.761408 8.803588 pp 01 313931323050303031393237            
30/01/25 09:45:09 0181 1                  44.761750 8.803647 pp 01 3234303132304A3095213838            
30/01/25 09:45:09 0182 1                  44.761750 8.803647 pp 01 313931323050303031373235            
30/01/25 09:46:11 0183 1                  44.761772 8.803598 pp 01 313931323050303130343534            
30/01/25 09:46:14 0184 1                  44.761768 8.803597 pp 01 313931323050303031393239            
30/01/25 09:48:15 0185 1                  44.762020 8.803778 pp 01 313931323050303032303334            
30/01/25 09:48:15 0186 1                  44.762020 8.803778 pp 01 313931323050303032343832            
30/01/25 09:49:42 0187 1                  44.761933 8.803802 pp 01 313931323050303030393633            
30/01/25 09:49:42 0188 1                  44.761933 8.803802 pp 01 313931323050303035373831            
30/01/25 10:06:11 0189 1                  44.756523 8.797833 pp 01 31383033304D303034333235            
30/01/25 10:06:26 0190 1                  44.756525 8.797840 pp 01 31383033304D303033383039            
30/01/25 10:06:40 0191 1                  44.756517 8.797860 pp 01 313931323050303037303335            
30/01/25 10:07:14 0192 1                  44.756518 8.797863 pp 01 313931323050303037303332            
30/01/25 10:07:20 0193 1                  44.756520 8.797860 pp 01 313931323050303037303334            
30/01/25 11:10:27 0000 s 02535ver01 44.753258 8.813160 pp 01
30/01/25 11:26:41 0194 1                  44.760985 8.793072 pp 01 313931323050303037393034            
30/01/25 11:26:41 0195 1                  44.760985 8.793072 pp 01 313931323050303034303630            
30/01/25 11:26:52 0196 1                  44.761002 8.793058 pp 01 313931323050303034303630            
30/01/25 11:28:17 0197 1                  44.761013 8.793068 pp 01 323031313030503030343831            
30/01/25 11:30:43 0198 1                  44.760908 8.793215 pp 01 323031313030503030333738            
30/01/25 11:31:29 0199 1                  44.760897 8.793178 pp 01 30340C124427E5974877291F            
30/01/25 11:31:31 0200 1                  44.760897 8.793178 pp 01 323031313030503030343438            
