05/02/25 05:06:51 0001 7                  44.752972 8.812193 ss 01 
05/02/25 05:06:51 0000 s 02535ver01 44.752972 8.812193 ss 01
05/02/25 05:18:55 0002 7                  44.715313 8.863768 ss 01 
05/02/25 06:25:00 0001 1                  44.586802 8.908713 ss 01 31383132304A303032343830            
05/02/25 06:25:00 0002 1                  44.586802 8.908713 ss 01 3231303132304A3030323633            
05/02/25 06:25:00 0003 1                  44.586802 8.908713 ss 01 3035EA594420C5401E0031C6            
05/02/25 06:25:02 0004 1                  44.586805 8.908710 ss 01 3034F7EDC424BE4AB41DDB19            
05/02/25 06:25:02 0005 1                  44.586805 8.908710 ss 01 3039606203C2DDC2389E62E5            
05/02/25 06:32:29 0006 1                  44.590958 8.903113 ss 01 3034F5477401FD40000762A8            
05/02/25 07:00:27 0007 1                  44.601047 8.885005 ss 01 30340BF8E86118826ED48804            
05/02/25 07:00:48 0008 1                  44.601042 8.884998 ss 01 000000000000000001143430            
05/02/25 07:02:19 0009 1                  44.601085 8.885015 ss 01 313931313030533030323130            
05/02/25 07:05:11 0010 1                  44.602017 8.883808 ss 01 313931313030533030323131            
05/02/25 07:06:56 0011 1                  44.602023 8.883803 ss 01 313931313030533030323036            
05/02/25 07:07:42 0012 1                  44.602045 8.883843 ss 01 3231313130304A3030333632            
05/02/25 07:08:39 0013 1                  44.601972 8.883762 ss 01 3034F822543DB60AB41DC43C            
05/02/25 07:11:35 0014 1                  44.601233 8.883252 ss 01 30347BE6C822C5974A114500            
05/02/25 07:11:37 0015 1                  44.601232 8.883253 ss 01 313931323053303030393037            
05/02/25 07:13:10 0016 1                  44.601305 8.882792 ss 01 3232303234304A3030393038            
05/02/25 07:13:14 0017 1                  44.601307 8.882797 ss 01 3232303234304A3030393038            
05/02/25 07:14:53 0018 1                  44.601075 8.881940 ss 01 2039DE5236FF019B4E8DD88F            
05/02/25 07:14:55 0019 1                  44.601078 8.881942 ss 01 313931323053303030393036            
05/02/25 07:34:57 0020 1                  44.613277 8.846158 ss 01 31383132304A303030353530            
05/02/25 07:34:57 0021 1                  44.613277 8.846158 ss 01 31383132304A303036343830            
05/02/25 07:34:59 0022 1                  44.613277 8.846158 ss 01 30395DFA80A5234249E35196            
05/02/25 07:38:44 0023 1                  44.603687 8.855848 ss 01 303ACB034198D65C76807E2B            
05/02/25 07:39:27 0024 1                  44.603750 8.855932 ss 01 3230313130304A3030363438            
05/02/25 07:43:42 0025 1                  44.592755 8.857183 ss 01 004400460004000400078491            
05/02/25 08:06:20 0026 1                  44.614973 8.845403 ss 01 31383132304A303030353532            
05/02/25 08:26:42 0027 1                  44.655355 8.835785 ss 01 313931313030533030313336            
05/02/25 08:31:07 0028 1                  44.658000 8.832905 ss 01 313931313030533030313338            
05/02/25 08:35:46 0029 1                  44.660235 8.828985 ss 01 313932343053303030303035            
05/02/25 08:38:48 0030 1                  44.659733 8.830807 ss 01 313931313030533030313931            
05/02/25 08:38:48 0031 1                  44.659733 8.830807 ss 01 30396135431EF689502F9218            
05/02/25 08:42:27 0032 1                  44.664523 8.825222 ss 01 313931323053303037383232            
05/02/25 08:47:04 0033 1                  44.660637 8.831873 ss 01 004400450006000400057581            
05/02/25 08:48:39 0034 1                  44.660593 8.831972 ss 01 004400450006000400038318            
05/02/25 08:51:18 0035 1                  44.660653 8.832032 ss 01 004400450006000400038933            
05/02/25 08:53:16 0036 1                  44.660622 8.831955 ss 01 004400450006000400059377            
05/02/25 09:18:09 0037 1                  44.675712 8.816597 ss 01 3231303132304A3030333831            
05/02/25 09:18:09 0038 1                  44.675712 8.816597 ss 01 3231303132304A3031373538            
05/02/25 10:54:41 0000 s 02535ver01 44.752995 8.811872 ss 01
