12/02/25 05:09:18 0000 s 01132ver01 44.753098 8.812467 cc 01
12/02/25 05:10:09 0000 s 01132ver01 44.753435 8.812403 cc 01
12/02/25 05:27:49 0001 1                  0 0 cc 01 323032323036323330303233            
12/02/25 05:30:01 0000 s 01132ver01 44.753280 8.812440 cc 01
12/02/25 05:36:42 0000 s 01132ver01 44.753060 8.811968 cc 01
12/02/25 05:44:09 0000 s 01132ver01 44.762213 8.787030 cc 01
12/02/25 06:06:14 0002 1                  44.662538 8.745915 cc 01 31383132304a303137363035            
12/02/25 06:07:14 0003 1                  44.661846 8.745183 cc 01 31383132304a303137363835            
12/02/25 06:08:25 0004 1                  44.661651 8.745421 cc 01 313931323043303032373834            
12/02/25 06:12:29 0005 1                  44.658703 8.755951 cc 01 31383132304a303039353935            
12/02/25 06:12:30 0006 1                  44.658703 8.755951 cc 01 313931313030433030343037            
12/02/25 06:18:45 0007 1                  44.671448 8.758628 cc 01 31383132304a303137373537            
12/02/25 06:20:41 0008 1                  44.674090 8.757026 cc 01 31383033304d303032303331            
12/02/25 06:21:35 0009 1                  44.672813 8.757443 cc 01 31383132304a303131313237            
12/02/25 06:23:10 0010 1                  44.672558 8.757486 cc 01 31383132304a303135343138            
12/02/25 06:24:00 0011 1                  44.671381 8.758378 cc 01 31383132304a303137303439            
12/02/25 06:24:40 0012 1                  44.671296 8.758336 cc 01 313932343045303030343031            
12/02/25 06:26:08 0013 1                  44.670961 8.758131 cc 01 31383033304d303032363536            
12/02/25 06:26:41 0014 1                  44.670341 8.758285 cc 01 3231303234304a3032343432            
12/02/25 06:28:25 0015 1                  44.669913 8.758151 cc 01 31383033304d303032303332            
12/02/25 06:28:29 0016 1                  44.669756 8.757925 cc 01 31383033304d303031393936            
12/02/25 06:29:32 0017 1                  44.669726 8.757958 cc 01 31383132304a303039353934            
12/02/25 06:31:12 0018 1                  44.669118 8.757893 cc 01 313931313030433030343036            
12/02/25 06:34:10 0019 1                  44.668806 8.757373 cc 01 31383132304a303039353930            
12/02/25 06:36:00 0020 1                  44.669061 8.757391 cc 01 31383033304d303035373830            
12/02/25 06:37:29 0021 1                  44.669445 8.755030 cc 01 31383132304a303839373338            
12/02/25 06:37:31 0022 1                  44.669396 8.755048 cc 01 313931323043303132393931            
12/02/25 06:39:58 0023 1                  44.667993 8.756938 cc 01 31383132304a303135343135            
12/02/25 06:40:17 0024 1                  44.668036 8.756868 cc 01 31383132304a303130353631            
12/02/25 06:45:36 0025 1                  44.667826 8.766983 cc 01 31383132304a303130323632            
12/02/25 06:47:34 0026 1                  44.668000 8.767601 cc 01 31383132304a303130363735            
12/02/25 06:47:37 0027 1                  44.668000 8.767601 cc 01 31383132304a303130363736            
12/02/25 06:51:51 0028 1                  44.669686 8.773348 cc 01 31383132304a303131313531            
12/02/25 06:53:58 0029 1                  44.672493 8.777420 cc 01 31383033304d303035373030            
12/02/25 06:55:02 0030 1                  44.672031 8.779085 cc 01 31383132304a303130333236            
12/02/25 06:55:03 0031 1                  44.672031 8.779085 cc 01 31383033304d303032353931            
12/02/25 06:56:03 0032 1                  44.671765 8.779231 cc 01 31383132304a303136303633            
12/02/25 06:58:15 0033 1                  44.671821 8.779180 cc 01 3233303132304a3030333633            
12/02/25 07:00:38 0034 1                  44.672873 8.784316 cc 01 3232313130304a3030303432            
12/02/25 07:00:40 0035 1                  44.672873 8.784316 cc 01 3231313130304a3030353635            
12/02/25 07:04:38 0036 1                  44.673121 8.785053 cc 01 31383132304a303130363731            
12/02/25 07:04:53 0037 1                  44.672366 8.782065 cc 01 313931323043303131333432            
12/02/25 07:04:53 0038 1                  44.672366 8.782065 cc 01 313931323043303131333432            
12/02/25 07:06:24 0039 1                  44.672366 8.782065 cc 01 303acb034331831c8e8f858d            
12/02/25 07:07:24 0040 1                  44.672366 8.782065 cc 01 31383132304a303130393533            
12/02/25 07:10:10 0041 1                  44.672366 8.782065 cc 01 31383132304a303039383831            
12/02/25 07:11:23 0042 1                  44.663338 8.787458 cc 01 31383132304a303039363935            
12/02/25 07:12:05 0043 1                  44.663418 8.787291 cc 01 31383132304a303137363433            
12/02/25 07:12:06 0044 1                  44.663418 8.787291 cc 01 31383132304a303135323932            
12/02/25 07:13:16 0045 1                  44.663418 8.787291 cc 01 313931323043303033343433            
12/02/25 07:14:26 0046 1                  44.663418 8.787291 cc 01 313931323043303133353431            
12/02/25 07:19:23 0048 1                  44.669096 8.787963 cc 01 313931323043303031393539            
12/02/25 07:21:33 0049 1                  44.672938 8.786545 cc 01 3234303033304d3030313538            
12/02/25 07:29:39 0050 1                  44.681660 8.780138 cc 01 313931323043303131313636            
12/02/25 07:29:41 0051 1                  44.681660 8.780138 cc 01 3230303033304d3031343539            
12/02/25 07:33:51 0052 1                  44.680993 8.783150 cc 01 313931323043303033333437            
12/02/25 07:36:15 0053 1                  44.677218 8.786796 cc 01 313931323043303035383231            
12/02/25 07:37:45 0054 1                  44.676900 8.787503 cc 01 31383132304a303130393732            
12/02/25 07:38:46 0055 1                  44.676900 8.787503 cc 01 313931323043303131343532            
12/02/25 07:40:00 0056 1                  44.675846 8.791913 cc 01 313931323043303030333731            
12/02/25 07:40:14 0057 1                  44.675881 8.791920 cc 01 313931323043303131343531            
12/02/25 08:08:14 0058 1                  44.680581 8.804776 cc 01 313931323043303032333438            
