17/02/25 05:11:26 0000 s 01130ver01 44.753065 8.811933 uu 01
17/02/25 06:00:04 0001 1                  0 0 uu 01 323032323036323330303231            
17/02/25 06:04:19 0002 1                  0 0 uu 01 323030323545303034303336            
17/02/25 06:04:21 0003 1                  0 0 uu 01 323030323545303034313933            
17/02/25 06:05:09 0004 1                  0 0 uu 01 323030323545303034313935            
17/02/25 06:05:27 0005 1                  0 0 uu 01 3234303032334d3031313735            
17/02/25 06:07:41 0006 1                  0 0 uu 01 323030323545303037313330            
17/02/25 06:07:54 0007 1                  0 0 uu 01 3233303032334d3030383436            
17/02/25 06:08:32 0008 1                  0 0 uu 01 3231303032334d3035363238            
17/02/25 06:09:44 0009 1                  0 0 uu 01 323030323545303030393634            
17/02/25 06:10:09 0010 1                  0 0 uu 01 3231303234304a3034353430            
17/02/25 06:10:42 0011 1                  0 0 uu 01 3231303234304a3034353339            
17/02/25 06:17:46 0012 1                  0 0 uu 01 3233303032334d3030343138            
17/02/25 06:18:34 0013 1                  0 0 uu 01 323030323545303034363331            
17/02/25 06:18:44 0014 1                  0 0 uu 01 323030323545303037363637            
17/02/25 06:19:55 0015 1                  0 0 uu 01 323030323545303037313332            
17/02/25 06:22:23 0016 1                  0 0 uu 01 323030323545303037363636            
17/02/25 06:22:40 0017 1                  0 0 uu 01 323030323545303037323039            
17/02/25 06:28:55 0018 1                  0 0 uu 01 323030323545303038373330            
17/02/25 06:36:29 0019 1                  0 0 uu 01 3232303032334d3031383039            
17/02/25 06:40:40 0020 1                  0 0 uu 01 323030323545303038393936            
17/02/25 06:48:12 0021 1                  0 0 uu 01 323030323545303039303037            
17/02/25 06:52:43 0022 1                  0 0 uu 01 313931323050303035373834            
17/02/25 06:52:45 0023 1                  0 0 uu 01 323030323545303034313431            
17/02/25 06:53:33 0024 1                  0 0 uu 01 323030323545303038353934            
17/02/25 06:55:54 0025 1                  0 0 uu 01 313931323050303038373430            
17/02/25 06:55:55 0026 1                  0 0 uu 01 323030323545303037383137            
17/02/25 06:56:50 0027 1                  0 0 uu 01 323030323545303038363732            
17/02/25 06:59:04 0028 1                  0 0 uu 01 323030323545303038343333            
17/02/25 07:00:25 0029 1                  0 0 uu 01 3234303032334d3030393434            
17/02/25 07:01:40 0030 1                  0 0 uu 01 323030323545303037313331            
17/02/25 07:02:00 0031 1                  0 0 uu 01 323030323545303038363233            
17/02/25 07:03:06 0032 1                  0 0 uu 01 323030323545303038363731            
17/02/25 07:03:14 0033 1                  0 0 uu 01 323030323545303038363232            
17/02/25 07:03:44 0034 1                  0 0 uu 01 323030323545303038363730            
17/02/25 07:06:18 0035 1                  0 0 uu 01 32303132305530303031323a            
17/02/25 07:10:20 0036 1                  0 0 uu 01 323030323545303038313634            
17/02/25 07:19:14 0037 1                  44.690679 8.825710 uu 01 323032343055303030323534            
17/02/25 07:20:12 0038 1                  44.690679 8.825710 uu 01 323032343055303030323535            
17/02/25 07:20:22 0039 1                  44.690679 8.825710 uu 01 323032343055303030323533            
17/02/25 07:21:41 0040 1                  44.690679 8.825710 uu 01 323030323545303035323138            
17/02/25 07:28:19 0000 s 01130ver01 44.690745 8.823802 uu 01
17/02/25 07:32:00 0041 1                  44.690657 8.823309 uu 01 323030323545303037373330            
17/02/25 07:36:53 0042 1                  44.690657 8.823309 uu 01 323030323545303038353632            
17/02/25 07:39:22 0043 1                  44.690657 8.823309 uu 01 3234303032334d3032333131            
17/02/25 07:40:21 0044 1                  44.690657 8.823309 uu 01 313931323050303036393030            
17/02/25 07:41:14 0045 1                  44.690657 8.823309 uu 01 323030323545303037363831            
17/02/25 07:42:09 0046 1                  44.690657 8.823309 uu 01 323030323545303038333236            
17/02/25 07:42:48 0047 1                  44.690657 8.823309 uu 01 323030323545303037373532            
17/02/25 07:46:04 0048 1                  44.690657 8.823309 uu 01 3233303032334d3031303531            
17/02/25 07:47:11 0049 1                  44.690657 8.823309 uu 01 323030323545303038313633            
17/02/25 07:49:15 0050 1                  44.690657 8.823309 uu 01 3231303032334d3032343530            
17/02/25 07:55:14 0051 1                  44.690657 8.823309 uu 01 323030323545303037363838            
