01/03/25 05:22:00 0000 s 01486ver01 44.882345 8.860048 00 00
01/03/25 05:46:59 0001 1                  44.999967 8.797158 00 00 3234303132304A3031363635            
01/03/25 05:47:05 0002 1                  44.999963 8.797157 00 00 31383132304A303033343038            
01/03/25 05:47:16 0003 1                  44.999958 8.797158 00 00 313831323045303037303739            
01/03/25 05:51:49 0004 1                  45.001678 8.802060 00 00 313831313030533030303535            
01/03/25 06:04:03 0005 1                  45.001233 8.795473 00 00 31383132304A303032383735            
01/03/25 06:06:08 0006 1                  45.001802 8.795038 00 00 3234303132304A3032353231            
01/03/25 06:07:56 0007 1                  45.002492 8.795102 00 00 31383132304A303035323430            
01/03/25 06:08:41 0008 1                  45.002512 8.795098 00 00 E28069950000500E56E7E8CE            
01/03/25 06:10:20 0009 1                  45.005252 8.795480 00 00 31383132304A303031363531            
01/03/25 06:10:34 0010 1                  45.005257 8.795492 00 00 3232303132304A3030313238            
01/03/25 06:12:21 0011 1                  45.005635 8.795165 00 00 3232303132304A3030343531            
01/03/25 06:16:09 0012 1                  45.002667 8.794122 00 00 31383132304A303031383937            
01/03/25 06:18:39 0013 1                  45.002128 8.794482 00 00 3234303132304A3030323030            
01/03/25 06:25:36 0014 1                  44.995688 8.779688 00 00 3231303132304A3031333734            
01/03/25 06:26:35 0015 1                  44.994445 8.779437 00 00 31383132304A303033343137            
01/03/25 06:37:08 0016 1                  44.998952 8.773728 00 00 31383132304A303035303634            
01/03/25 06:41:56 0017 1                  44.991500 8.772085 00 00 31383132304A303035393233            
01/03/25 06:42:05 0018 1                  44.991490 8.772087 00 00 31383132304A303035393632            
01/03/25 06:44:54 0019 1                  44.990325 8.773223 00 00 31383132304A303035393630            
01/03/25 06:51:42 0020 1                  44.989547 8.771115 00 00 31383132304A303035313435            
01/03/25 06:53:04 0021 1                  44.989557 8.770955 00 00 31383132304A303035343835            
01/03/25 06:55:59 0022 1                  44.989295 8.769617 00 00 31383132304A303135383637            
01/03/25 06:56:42 0023 1                  44.989345 8.769605 00 00 E28069950000500E56E7E8CE            
01/03/25 06:58:02 0024 1                  44.989018 8.768882 00 00 31383132304A303035333637            
01/03/25 06:59:14 0025 1                  44.989072 8.768008 00 00 31383132304A303033303439            
01/03/25 06:59:26 0026 1                  44.989077 8.768008 00 00 3233303132304A3030383333            
01/03/25 07:09:28 0027 1                  44.981312 8.760752 00 00 31383132304A303031313332            
01/03/25 07:11:26 0028 1                  44.981428 8.761035 00 00 3138325948564E3235303033            
01/03/25 07:12:00 0029 1                  44.981670 8.761622 00 00 31383132304A303035373239            
01/03/25 07:12:08 0030 1                  44.981673 8.761627 00 00 33383132304A303033333836            
01/03/25 07:13:56 0031 1                  44.981458 8.762148 00 00 31383132304A303035373238            
01/03/25 07:16:05 0032 1                  44.980933 8.762180 00 00 31383132305A303035373332            
01/03/25 07:16:05 0033 1                  44.980933 8.762180 00 00 31383132304A303035373332            
01/03/25 07:17:38 0034 1                  44.981460 8.762237 00 00 31383132304A303035373234            
01/03/25 07:20:25 0035 1                  44.981498 8.762180 00 00 E28069950000500E56E7E8CE            
01/03/25 07:22:11 0036 1                  44.981825 8.762190 00 00 31383132304A303033373934            
01/03/25 07:23:11 0037 1                  44.981828 8.762190 00 00 31383132304A303033373933            
01/03/25 07:24:16 0038 1                  44.982267 8.762233 00 00 3232303132304A3030353532            
01/03/25 07:27:46 0039 1                  44.980537 8.761532 00 00 31383132304A303031303130            
01/03/25 07:29:42 0040 1                  44.980392 8.762138 00 00 31383132304A303031303134            
01/03/25 07:30:44 0041 1                  44.980387 8.762145 00 00 3233303132304A3030373837            
01/03/25 07:30:46 0042 1                  44.980388 8.762147 00 00 31383132304A303031333231            
01/03/25 07:32:14 0043 1                  44.980123 8.761263 00 00 250000109137100401680467            
01/03/25 07:34:42 0044 1                  44.977360 8.755222 00 00 3234303132304A3032343032            
01/03/25 07:42:20 0045 1                  44.979613 8.740315 00 00 31383132304A303031353136            
01/03/25 07:47:48 0046 1                  44.960468 8.738857 00 00 3234303132304A3030323131            
01/03/25 07:49:26 0047 1                  44.960455 8.738330 00 00 31383132304A303031303131            
01/03/25 07:50:34 0048 1                  44.960655 8.737873 00 00 31383132304A303033333834            
01/03/25 07:52:56 0049 1                  44.960672 8.737893 00 00 31383132304A323033333834            
01/03/25 07:53:41 0050 1                  44.960823 8.737510 00 00 3234303132304A3032343634            
01/03/25 07:55:19 0051 1                  44.961003 8.736943 00 00 313931323053303034383432            
01/03/25 07:56:53 0052 1                  44.959990 8.736185 00 00 31383132304A303035393935            
01/03/25 08:00:01 0000 s 01486ver01 44.959692 8.736732 00 00
01/03/25 08:10:23 0000 s 01486ver01 44.959722 8.736703 00 00
01/03/25 08:14:17 0053 1                  44.960370 8.735812 00 00 3035EBEA080F55C800040130            
01/03/25 08:14:21 0054 1                  44.960370 8.735802 00 00 31383132304A303035313936            
01/03/25 08:16:49 0055 1                  44.961133 8.734957 00 00 313931323053303038373831            
01/03/25 08:19:06 0056 1                  44.960685 8.735583 00 00 31383132304A303032303233            
01/03/25 08:20:01 0057 1                  44.960673 8.735608 00 00 31383132304A303031303836            
01/03/25 08:20:25 0058 1                  44.960595 8.735590 00 00 E28068940000500703954C55            
01/03/25 08:21:08 0059 1                  44.960117 8.735162 00 00 31383132304A303035363839            
01/03/25 08:22:56 0060 1                  44.960623 8.734672 00 00 313931323053303039353437            
01/03/25 08:26:38 0061 1                  44.960155 8.733537 00 00 313931323053303031333330            
01/03/25 08:30:07 0062 1                  44.960110 8.733115 00 00 31383132304A303032333533            
01/03/25 08:31:36 0063 1                  44.959827 8.732903 00 00 31383132304A303033363037            
01/03/25 08:42:49 0064 1                  44.959048 8.736425 00 00 313931323053303034373234            
01/03/25 08:44:35 0065 1                  44.958472 8.735887 00 00 31383132304A303035313739            
01/03/25 08:47:10 0066 1                  44.957452 8.734480 00 00 3234303132304A3030373232            
01/03/25 08:47:52 0067 1                  44.957617 8.735103 00 00 31383132304A303031373138            
01/03/25 08:49:36 0068 1                  44.957837 8.736240 00 00 3231303132304A3034383830            
01/03/25 08:53:40 0069 1                  44.955528 8.735602 00 00 31383132304A303031363631            
01/03/25 08:55:28 0070 1                  44.956232 8.735995 00 00 3234303132304A3031343331            
01/03/25 08:55:28 0071 1                  44.956232 8.735995 00 00 31383132304A303032303536            
01/03/25 09:49:42 0000 s 01486ver01 45.024287 8.895200 00 00
01/03/25 09:53:47 0072 1                  45.024228 8.895208 00 00 313831323045303032373033            
01/03/25 10:25:00 0073 1                  44.920045 8.853338 00 00 30396120C1AEECC0000001BB            
01/03/25 10:55:13 0000 s 01486ver01 44.882233 8.860292 00 00
