01/03/25 05:39:33 0000 s 01485ver01 44.882273 8.859962 00 00
01/03/25 05:57:12 0001 1                  44.971338 8.882298 00 00 3231303234304A3032373533            
01/03/25 05:57:51 0002 1                  44.971555 8.881685 00 00 31383032334D303035393936            
01/03/25 05:58:50 0003 1                  44.971167 8.881452 00 00 323030323545303038363033            
01/03/25 06:00:29 0004 1                  44.973060 8.881530 00 00 3232303032334D3031333930            
01/03/25 06:00:50 0005 1                  44.973263 8.881580 00 00 323030323545303030383839            
01/03/25 06:00:55 0006 1                  44.973268 8.881573 00 00 323030323545303030383838            
01/03/25 06:01:04 0007 1                  44.973327 8.881585 00 00 323030323545303030393230            
01/03/25 06:01:15 0008 1                  44.973387 8.881592 00 00 323030323545303030393139            
01/03/25 06:01:28 0009 1                  44.973483 8.881607 00 00 323030323545303030383539            
01/03/25 06:01:39 0010 1                  44.973575 8.881625 00 00 323030323545303030383536            
01/03/25 06:01:43 0011 1                  44.973570 8.881625 00 00 3231303032334D3034323831            
01/03/25 06:01:51 0012 1                  44.973615 8.881632 00 00 323030323545303030393937            
01/03/25 06:02:01 0013 1                  44.973670 8.881645 00 00 323030323545303035383833            
01/03/25 06:02:16 0014 1                  44.973765 8.881710 00 00 323030323545303037393735            
01/03/25 06:02:42 0015 1                  44.973980 8.881803 00 00 323030323545303035393531            
01/03/25 06:02:45 0016 1                  44.973980 8.881803 00 00 323030323545303030343432            
01/03/25 06:03:08 0017 1                  44.974162 8.881838 00 00 3234303032334D3030343534            
01/03/25 06:03:33 0018 1                  44.974798 8.881965 00 00 323030323545303036313039            
01/03/25 06:03:50 0019 1                  44.974993 8.882037 00 00 3234303032334D3032303434            
01/03/25 06:04:20 0020 1                  44.975742 8.882180 00 00 323030323545303035393937            
01/03/25 06:05:44 0021 1                  44.975390 8.881455 00 00 323030323545303038303132            
01/03/25 06:05:55 0022 1                  44.975382 8.881478 00 00 323030323545303038303637            
01/03/25 06:06:02 0023 1                  44.975382 8.881490 00 00 323030323545303030313932            
01/03/25 06:06:02 0024 1                  44.975382 8.881490 00 00 323030323545303037333936            
01/03/25 06:06:12 0025 1                  44.975387 8.881492 00 00 323030323545303038303735            
01/03/25 06:07:17 0026 1                  44.976187 8.882288 00 00 323030323545303036303139            
01/03/25 06:07:39 0027 1                  44.976347 8.882320 00 00 323031323055303030313832            
01/03/25 06:08:32 0028 1                  44.976388 8.882590 00 00 323030323545303035393936            
01/03/25 06:08:52 0029 1                  44.976190 8.882925 00 00 323030323545303036313733            
