01/03/25 05:27:32 0000 s 01489ver01 44.882468 8.860200 00 00
01/03/25 05:27:34 0000 s 01489ver01 44.882468 8.860200 00 00
01/03/25 05:27:50 0001 1                  0 0 00 00 3233303234304A3030393836            
01/03/25 05:48:53 0002 1                  44.971330 8.882273 00 00 300ED89F3350015A1DF59B95            
01/03/25 05:48:59 0003 1                  44.971325 8.882277 00 00 300ED89F335001451DEB10E5            
01/03/25 05:51:34 0004 1                  44.977257 8.882240 00 00 323030323545303036353635            
01/03/25 05:51:48 0005 1                  44.977258 8.882133 00 00 323030323545303036353634            
01/03/25 05:52:05 0006 1                  44.977228 8.881947 00 00 323030323545303036353636            
01/03/25 05:53:08 0007 1                  44.976568 8.881175 00 00 3232303032334D3030323339            
01/03/25 05:53:55 0008 1                  44.976397 8.881570 00 00 323030323545303035393435            
01/03/25 05:54:25 0009 1                  44.976893 8.881135 00 00 323030323545303036353538            
01/03/25 05:55:14 0010 1                  44.977343 8.881767 00 00 323030323545303032333339            
01/03/25 05:55:24 0011 1                  44.977347 8.881752 00 00 323030323545303032333236            
01/03/25 05:55:56 0012 1                  44.977503 8.881828 00 00 323030323545303036313238            
01/03/25 05:56:26 0013 1                  44.977713 8.881832 00 00 3234303032334D3030373030            
01/03/25 05:56:37 0014 1                  44.977723 8.881848 00 00 323030323545303032333136            
01/03/25 05:56:37 0015 1                  44.977723 8.881848 00 00 323030323545303032333137            
01/03/25 05:56:55 0016 1                  44.977742 8.881858 00 00 323030323545303036343731            
01/03/25 05:57:21 0017 1                  44.977998 8.881787 00 00 323030323545303036343631            
01/03/25 05:57:50 0018 1                  44.978268 8.881630 00 00 323030323545303035343939            
01/03/25 05:57:50 0019 1                  44.978268 8.881630 00 00 3234303032334D3030373434            
01/03/25 05:57:51 0020 1                  44.978268 8.881630 00 00 323030323545303032373938            
01/03/25 05:58:00 0021 1                  44.978308 8.881603 00 00 3234303032334D3031313637            
01/03/25 05:58:14 0022 1                  44.978347 8.881610 00 00 3232303032334D3030353237            
01/03/25 05:58:43 0023 1                  44.978412 8.881638 00 00 323030323545303030343936            
01/03/25 05:59:51 0024 1                  44.978618 8.880772 00 00 3231303032334D3031323831            
01/03/25 06:00:44 0025 1                  44.978468 8.880820 00 00 323030323545303036353732            
01/03/25 06:01:06 0026 1                  44.978572 8.881313 00 00 323030323545303033313733            
01/03/25 06:02:15 0027 1                  44.979303 8.880933 00 00 323030323545303032333634            
01/03/25 06:02:15 0028 1                  44.979303 8.880933 00 00 323030323545303038343031            
01/03/25 06:04:05 0029 1                  44.978960 8.881313 00 00 323030323545303035393232            
01/03/25 06:04:35 0030 1                  44.977588 8.882420 00 00 323030323545303036343230            
01/03/25 06:07:35 0031 1                  44.977673 8.876480 00 00 3231303032334D3035343339            
01/03/25 06:07:58 0032 1                  44.977735 8.876350 00 00 3233303032334D3030313530            
01/03/25 06:08:49 0033 1                  44.979225 8.875398 00 00 323030323545303036303535            
01/03/25 06:12:40 0034 1                  44.981528 8.875813 00 00 323032343055303030343233            
01/03/25 06:13:54 0035 1                  44.981850 8.876177 00 00 323030323545303036323231            
01/03/25 06:15:20 0036 1                  44.981835 8.876548 00 00 323030323545303038373435            
01/03/25 06:16:17 0037 1                  44.981422 8.876512 00 00 323030323545303036343031            
01/03/25 06:16:51 0038 1                  44.981457 8.876593 00 00 323030323545303036303531            
01/03/25 06:17:01 0039 1                  44.981458 8.876588 00 00 323030323545303036313138            
01/03/25 06:17:40 0040 1                  44.981657 8.877152 00 00 323030323545303036333837            
01/03/25 06:17:45 0041 1                  44.981640 8.877153 00 00 323030323545303035363231            
01/03/25 06:18:14 0042 1                  44.981567 8.877463 00 00 323030323545303038343931            
01/03/25 06:18:42 0043 1                  44.981542 8.877613 00 00 323030323545303032343232            
01/03/25 06:18:46 0044 1                  44.981550 8.877618 00 00 3232303032334D3031343136            
01/03/25 06:19:19 0045 1                  44.981598 8.877893 00 00 323030323545303030343639            
01/03/25 06:19:19 0046 1                  44.981598 8.877893 00 00 323030323545303036323738            
01/03/25 06:19:55 0047 1                  44.981378 8.878465 00 00 323030323545303037333430            
01/03/25 06:19:58 0048 1                  44.981365 8.878467 00 00 323030323545303038393638            
01/03/25 06:20:15 0049 1                  44.981303 8.878482 00 00 3231303032334D3030393836            
01/03/25 06:21:07 0050 1                  44.981223 8.879242 00 00 323030323545303036323537            
01/03/25 06:21:46 0051 1                  44.981415 8.879323 00 00 323030323545303036333134            
01/03/25 06:22:34 0052 1                  44.981480 8.879393 00 00 323030323545303036333131            
01/03/25 06:22:57 0053 1                  44.981458 8.879410 00 00 323030323545303036333133            
01/03/25 06:23:47 0054 1                  44.981262 8.879278 00 00 25705569A686CF64B1C34DB9            
01/03/25 06:23:48 0055 1                  44.981243 8.879325 00 00 3030353035353337323830303031        
01/03/25 06:24:02 0056 1                  44.981215 8.879457 00 00 000000000000000003839969            
01/03/25 06:24:10 0057 1                  44.981197 8.879475 00 00 313832444C32573135303033            
01/03/25 06:25:21 0058 1                  44.980985 8.880130 00 00 323030323545303033333936            
