16/06/25 04:54:42 0000 s 02546ver01 44.753088 8.811943 xx 01
16/06/25 05:16:21 0000 s 02546ver01 44.753175 8.812910 xx 01
16/06/25 05:29:16 0000 s 02546ver01 44.753042 8.811867 xx 01
16/06/25 05:55:29 0001 1                  44.690683 8.824052 xx 01 3232303234304a3030383335            
16/06/25 05:56:05 0002 1                  44.690697 8.824058 xx 01 32303132305530303031323a            
16/06/25 05:56:07 0003 1                  44.690700 8.824062 xx 01 3232303234304a3030383333            
16/06/25 06:13:03 0004 1                  44.620483 8.844892 xx 01 31383234304a303030303436            
16/06/25 06:13:11 0005 1                  44.620475 8.844898 xx 01 31383234304a303030303434            
16/06/25 06:18:32 0006 1                  44.616768 8.842698 xx 01 3232303234304a3030373839            
16/06/25 06:18:38 0007 1                  44.616768 8.842703 xx 01 31383234304a303030303639            
16/06/25 06:19:25 0008 1                  44.616725 8.842702 xx 01 3232303234304a3030373931            
16/06/25 06:21:27 0009 1                  44.618653 8.842415 xx 01 31383234304a303030303635            
16/06/25 06:21:52 0010 1                  44.618625 8.842307 xx 01 35383132304a303230333535            
16/06/25 06:22:08 0011 1                  44.618618 8.842277 xx 01 31383132304a303230333535            
16/06/25 06:22:20 0012 1                  44.618617 8.842285 xx 01 3234303234304a3030373431            
16/06/25 06:24:01 0013 1                  44.620348 8.842613 xx 01 31383234304a303030303638            
16/06/25 06:24:02 0014 1                  44.620348 8.842615 xx 01 31383234304a303030303437            
16/06/25 06:24:08 0015 1                  44.620348 8.842617 xx 01 31383234304a303030303235            
16/06/25 06:24:54 0016 1                  44.620337 8.842672 xx 01 323031323055303030303634            
16/06/25 06:25:06 0017 1                  44.620348 8.842682 xx 01 111080000000000881423595            
16/06/25 06:31:07 0018 1                  44.621460 8.842545 xx 01 31383234304a303030303433            
16/06/25 06:37:17 0019 1                  44.621443 8.842603 xx 01 3234303234304a3030363030            
16/06/25 06:40:29 0020 1                  44.620475 8.844860 xx 01 31383234304a303030303436            
16/06/25 06:45:50 0021 1                  44.618895 8.847090 xx 01 3232303234304a3030373938            
16/06/25 06:46:19 0022 1                  44.618900 8.847090 xx 01 3234303234304a3030373430            
16/06/25 07:26:09 0023 1                  44.688377 8.805528 xx 01 31383132304a303138323931            
16/06/25 07:26:16 0024 1                  44.688368 8.805522 xx 01 31383332304a303138343639            
16/06/25 07:26:18 0025 1                  44.688367 8.805520 xx 01 31383132304a303138343639            
16/06/25 07:26:21 0026 1                  44.688363 8.805518 xx 01 31383132304a303138333733            
16/06/25 07:29:50 0027 1                  44.689020 8.806438 xx 01 31383132304a303138333335            
16/06/25 07:29:51 0028 1                  44.689020 8.806438 xx 01 3231303132304a3035323934            
16/06/25 07:32:27 0029 1                  44.688592 8.804837 xx 01 31383132304a303138343830            
16/06/25 07:32:29 0030 1                  44.688592 8.804838 xx 01 323031323055303030323132            
16/06/25 07:32:31 0031 1                  44.688590 8.804842 xx 01 31383132304a303138333832            
16/06/25 07:38:17 0032 1                  44.688748 8.802477 xx 01 31383132304a303138333738            
16/06/25 07:38:29 0037 1                  44.688748 8.802470 xx 01 300833b2ddd9014000000000            
16/06/25 07:38:35 0038 1                  44.688745 8.802467 xx 01 111080000000001647877495            
16/06/25 07:38:37 0039 1                  44.688743 8.802465 xx 01 111080000000001646989995            
16/06/25 07:45:10 0040 1                  44.687628 8.803380 xx 01 323030323545303030393535            
16/06/25 07:45:12 0041 1                  44.687627 8.803370 xx 01 31383234344a303030313538            
16/06/25 07:45:15 0042 1                  44.687625 8.803357 xx 01 3231303234304a3031313534            
16/06/25 07:45:17 0043 1                  44.687625 8.803357 xx 01 31383234304a303030313538            
16/06/25 08:09:02 0000 s 02546ver01 44.690925 8.823668 xx 01
16/06/25 08:25:20 0044 1                  44.732907 8.734008 xx 01 31383132304a303131343630            
16/06/25 08:25:21 0045 1                  44.732905 8.734008 xx 01 3234303234304a3030353831            
16/06/25 08:25:24 0046 1                  44.732900 8.734010 xx 01 31383132304a303039313031            
16/06/25 08:27:43 0047 1                  44.732920 8.734065 xx 01 31383132304a303131343631            
16/06/25 08:48:53 0048 1                  44.726368 8.811517 xx 01 31383234304a303030303930            
16/06/25 08:48:54 0049 1                  44.726362 8.811512 xx 01 3234303234304a3030363337            
16/06/25 08:58:31 0050 1                  44.736740 8.797602 xx 01 3234303234304a3030363032            
16/06/25 08:58:59 0051 1                  44.736735 8.797597 xx 01 3231303032334d3034323539            
16/06/25 09:02:39 0052 1                  44.740432 8.791805 xx 01 323031323055303030303237            
16/06/25 09:02:44 0053 1                  44.740437 8.791817 xx 01 31383132304a303138343436            
16/06/25 09:03:06 0054 1                  44.740448 8.791823 xx 01 31383132304a303138323839            
16/06/25 09:04:30 0055 1                  44.740440 8.791803 xx 01 3234303234304a3030353835            
16/06/25 09:10:18 0000 s 02546ver01 0 0 xx 01
16/06/25 09:15:52 0000 s 02546ver01 0 0 xx 01
16/06/25 09:56:05 0056 1                  44.675978 8.771958 xx 01 3233303234304a3030383837            
16/06/25 09:56:07 0057 1                  44.675978 8.771960 xx 01 3231303132304a3037353735            
16/06/25 11:25:18 0058 1                  44.713502 8.687087 xx 01 3233303234304a3031303236            
16/06/25 11:30:23 0059 1                  44.711452 8.694637 xx 01 31383234304a303030313234            
16/06/25 11:50:30 0060 1                  44.771547 8.735627 xx 01 3232313130304a3030323339            
16/06/25 11:50:38 0061 1                  44.771540 8.735610 xx 01 3234303234304a3030363335            
16/06/25 11:51:14 0062 1                  44.771497 8.735625 xx 01 3234303234304a3030353731            
16/06/25 11:51:30 0063 1                  44.771488 8.735620 xx 01 3234303234304a3030353732            
16/06/25 11:51:41 0064 1                  44.771487 8.735615 xx 01 3234303234304a3030363334            
16/06/25 12:12:04 0065 1                  44.754385 8.815603 xx 01 3034f848f846b20ab41ddb2c            
