18/06/25 05:01:02 0000 s 02543ver01 44.753120 8.812462 cc 01
18/06/25 05:11:16 0001 1                  44.760837 8.792520 cc 01 355ab1c8e005211007190394            
18/06/25 05:11:18 0002 1                  44.760838 8.792525 cc 01 355ab1c8e005211007195e85            
18/06/25 05:11:20 0003 1                  44.760838 8.792530 cc 01 355ab1c8e005211007195e7f            
18/06/25 05:11:21 0004 1                  44.760838 8.792535 cc 01 355ab1c8e005211007195e2d            
18/06/25 05:11:23 0005 1                  44.760838 8.792535 cc 01 355ab1c8e0052110071aa43a            
18/06/25 05:11:25 0006 1                  44.760838 8.792535 cc 01 355ab1c8e005211007195e13            
18/06/25 05:11:40 0007 1                  44.760837 8.792543 cc 01 3231313130304a3032313936            
18/06/25 05:11:44 0008 1                  44.760835 8.792537 cc 01 355ab1c8e005211007196428            
18/06/25 05:16:11 0000 s 02543ver01 44.762517 8.785250 cc 01
18/06/25 05:19:04 0009 1                  44.762470 8.786183 cc 01 355ab1c8e0052110071aa43a            
18/06/25 05:20:44 0010 1                  44.763570 8.787087 cc 01 3231303234304a3034383938            
18/06/25 05:21:05 0011 1                  44.763607 8.787072 cc 01 355ab1c8e005211007195e7f            
18/06/25 05:22:03 0012 1                  44.763753 8.787287 cc 01 313931323043303130333138            
18/06/25 05:23:23 0013 1                  44.763922 8.787478 cc 01 313931323043303130323738            
18/06/25 05:23:55 0014 1                  44.763975 8.787483 cc 01 355ab1c8e005211007195e7f            
18/06/25 05:24:51 0015 1                  44.764005 8.787502 cc 01 3034f8490416f5c2ee0003a6            
18/06/25 05:25:05 0016 1                  44.764017 8.787478 cc 01 355ab1c8e005211007190394            
18/06/25 05:26:41 0017 1                  44.765668 8.788763 cc 01 3234303132304a3032373036            
18/06/25 05:26:42 0018 1                  44.765677 8.788768 cc 01 3231313130304a3032333037            
18/06/25 05:27:34 0019 1                  44.765762 8.788807 cc 01 3231313130304a3032313134            
18/06/25 05:30:10 0020 1                  44.766355 8.789218 cc 01 313931323043303130373533            
18/06/25 05:31:43 0021 1                  44.766835 8.789567 cc 01 30340be62c5e20c77f4fb804            
18/06/25 05:31:44 0022 1                  44.766837 8.789570 cc 01 303ac8e9c0da78dac6890442            
18/06/25 05:32:06 0023 1                  44.766830 8.789577 cc 01 3232313130304a3030323237            
18/06/25 05:32:15 0024 1                  44.766832 8.789583 cc 01 303aca49822ed9dac688c8cc            
18/06/25 05:34:45 0025 1                  44.765992 8.792975 cc 01 303549a91436f38cce416fa1            
18/06/25 05:34:55 0026 1                  44.765977 8.792977 cc 01 3231303032334d3035393230            
18/06/25 05:37:36 0027 1                  44.766690 8.789230 cc 01 313931323043303130343336            
18/06/25 05:37:50 0028 1                  44.766672 8.789195 cc 01 31383132304a303033373830            
18/06/25 05:39:02 0029 1                  44.766172 8.788743 cc 01 3231303234304a3034393530            
18/06/25 05:40:28 0030 1                  44.765575 8.788412 cc 01 313931323043303037373436            
18/06/25 05:42:00 0031 1                  44.764610 8.787835 cc 01 3231303234304a3030323139            
18/06/25 05:42:35 0032 1                  44.764487 8.787785 cc 01 3231303234304a3030313835            
18/06/25 05:43:09 0033 1                  44.764483 8.787760 cc 01 30360372d83624400cd0a771            
18/06/25 05:43:12 0034 1                  44.764483 8.787755 cc 01 3231303234304a3030323233            
18/06/25 05:44:35 0035 1                  44.764242 8.787447 cc 01 3231303234304a3032333731            
18/06/25 05:45:04 0036 1                  44.764217 8.787452 cc 01 3234303032334d3032333031            
18/06/25 05:45:22 0037 1                  44.764180 8.787463 cc 01 313931323043303038393633            
18/06/25 05:46:14 0038 1                  44.764290 8.787197 cc 01 3234303033304d3030303635            
18/06/25 05:46:22 0039 1                  44.764288 8.787193 cc 01 313931323043303039303239            
18/06/25 05:46:32 0040 1                  44.764290 8.787192 cc 01 3231303032334d3032363634            
18/06/25 05:47:20 0041 1                  44.764355 8.787012 cc 01 313931323043303039303239            
18/06/25 05:47:39 0042 1                  44.764358 8.786987 cc 01 3233303033304d3030323433            
18/06/25 05:48:03 0043 1                  44.764330 8.787007 cc 01 313931323043303130333335            
18/06/25 06:04:49 0000 s 02543ver01 44.764035 8.787417 cc 01
18/06/25 06:07:30 0044 1                  44.763790 8.787840 cc 01 3231313130304a3031393634            
18/06/25 06:08:44 0045 1                  44.763782 8.787833 cc 01 313931323043303032313532            
18/06/25 06:09:10 0046 1                  44.763878 8.787855 cc 01 30340c0f7056b6ae09c89806            
18/06/25 06:10:14 0047 1                  44.763860 8.787862 cc 01 3231313130304a3031393632            
18/06/25 06:10:20 0048 1                  44.763855 8.787860 cc 01 3231303132304a3036323235            
18/06/25 06:11:03 0049 1                  44.763818 8.787923 cc 01 3231313130304a3032323432            
18/06/25 06:11:55 0050 1                  44.763793 8.787975 cc 01 3231313130304a3032353432            
18/06/25 06:13:19 0051 1                  44.763710 8.788168 cc 01 3234303132304a3032383830            
18/06/25 06:13:27 0052 1                  44.763718 8.788177 cc 01 3234303032334d3031393836            
18/06/25 06:14:12 0053 1                  44.763652 8.788350 cc 01 3234303132304a3032383830            
18/06/25 06:14:26 0054 1                  44.763658 8.788367 cc 01 313931323043303037353630            
18/06/25 06:15:50 0055 1                  44.763938 8.788965 cc 01 3234303132304a3030373936            
18/06/25 06:18:05 0056 1                  44.763325 8.789065 cc 01 01ff00000000007fca260000            
18/06/25 06:18:52 0057 1                  44.763272 8.789052 cc 01 30396062c39adf82535bc9a4            
18/06/25 06:19:19 0058 1                  44.763258 8.789075 cc 01 3230303033304d3037323633            
18/06/25 06:19:47 0059 1                  44.763287 8.789075 cc 01 3231303234304a3030313939            
18/06/25 06:19:52 0060 1                  44.763280 8.789080 cc 01 313931323043303130303437            
18/06/25 06:19:59 0061 1                  44.763268 8.789088 cc 01 3035c2084c5b144005f79c98            
18/06/25 06:20:54 0062 1                  44.763283 8.789097 cc 01 3231303234304a3032333735            
18/06/25 06:22:10 0063 1                  44.763162 8.789208 cc 01 253048064109810002010000            
18/06/25 06:23:01 0064 1                  44.763052 8.789383 cc 01 3231303234304a3032343934            
18/06/25 06:23:09 0065 1                  44.763022 8.789355 cc 01 313931323043303130343032            
18/06/25 06:23:49 0066 1                  44.762988 8.789312 cc 01 3231303234304a3032333734            
18/06/25 06:24:30 0067 1                  44.762980 8.789428 cc 01 3231303234304a3032333734            
18/06/25 06:25:37 0069 1                  44.762988 8.789433 cc 01 3231313130304a3032313839            
18/06/25 06:27:47 0070 1                  44.762450 8.790335 cc 01 313931323043303130383236            
18/06/25 06:28:02 0071 1                  44.762455 8.790362 cc 01 3231313130304a3032323538            
18/06/25 06:28:05 0072 1                  44.762465 8.790375 cc 01 303ac8e9c02bc65ac688c9a3            
18/06/25 06:29:04 0073 1                  44.762495 8.790348 cc 01 30396120c066e5c000000724            
18/06/25 06:29:06 0074 1                  44.762495 8.790348 cc 01 30396120c03ea6800000021b            
18/06/25 06:29:14 0075 1                  44.762513 8.790362 cc 01 30396120c0de6d4000000665            
18/06/25 06:30:44 0076 1                  44.762533 8.790333 cc 01 3be3000001981f1d00000404            
18/06/25 06:30:45 0077 1                  44.762530 8.790328 cc 01 313931323043303132393731            
18/06/25 06:32:09 0078 1                  44.762350 8.790482 cc 01 313932343043303030343136            
18/06/25 06:33:36 0079 1                  44.762263 8.790358 cc 01 201411280150389540002277            
18/06/25 06:33:52 0080 1                  44.762313 8.790348 cc 01 3231303132304a3037383032            
18/06/25 06:33:57 0081 1                  44.762323 8.790347 cc 01 303ac8e9c0b6b0d9d8b6412a            
18/06/25 06:35:13 0082 1                  44.762162 8.790750 cc 01 313931323043303036313033            
18/06/25 06:35:23 0083 1                  44.762160 8.790752 cc 01 313931323043303132393730            
18/06/25 06:37:32 0084 1                  44.761670 8.790600 cc 01 3231313130304a3032313334            
18/06/25 06:37:41 0085 1                  44.761682 8.790575 cc 01 3233303032334d3030313035            
18/06/25 06:37:43 0086 1                  44.761682 8.790575 cc 01 3231303032334d3033313932            
18/06/25 06:37:45 0087 1                  44.761680 8.790557 cc 01 3232303132304a3030313036            
18/06/25 06:37:46 0088 1                  44.761680 8.790557 cc 01 3231303032334d3030313935            
18/06/25 06:37:48 0089 1                  44.761678 8.790547 cc 01 3231313130304a3032343537            
18/06/25 06:37:54 0090 1                  44.761670 8.790527 cc 01 3231303032334d3030313437            
18/06/25 06:37:58 0091 1                  44.761665 8.790515 cc 01 3231303032334d3033313931            
18/06/25 06:37:59 0092 1                  44.761662 8.790510 cc 01 4e20191615cf400000000000            
18/06/25 06:39:16 0093 1                  44.761713 8.790515 cc 01 303ac8e9c07c88e0b3092c1d            
18/06/25 06:39:21 0094 1                  44.761725 8.790517 cc 01 3231303234304a3034343938            
18/06/25 06:39:24 0095 1                  44.761738 8.790512 cc 01 303ac8e9c0b92559d8b6472f            
18/06/25 06:39:28 0096 1                  44.761750 8.790513 cc 01 3231313130304a3031393532            
18/06/25 06:41:22 0097 1                  44.761592 8.790512 cc 01 3231303234304a3034343939            
18/06/25 06:41:41 0098 1                  44.761557 8.790532 cc 01 303ac8e9c0df7ddca3b98ddf            
18/06/25 06:41:56 0099 1                  44.761562 8.790535 cc 01 3231313130304a3031373831            
18/06/25 06:43:51 0100 1                  44.761562 8.790972 cc 01 3231303234304a3034393331            
18/06/25 06:43:56 0101 1                  44.761558 8.790968 cc 01 303435ffd839194c5d2c7004            
18/06/25 06:44:11 0102 1                  44.761540 8.790973 cc 01 302655c8e52161400002098d            
18/06/25 06:44:14 0103 1                  44.761537 8.790978 cc 01 3231303234304a3034383537            
18/06/25 06:44:16 0104 1                  44.761533 8.790987 cc 01 3231303234304a3032333733            
18/06/25 06:44:25 0105 1                  44.761513 8.791033 cc 01 3231303234304a3032313935            
18/06/25 06:44:27 0106 1                  44.761513 8.791033 cc 01 3231303032334d3033343831            
18/06/25 06:44:29 0107 1                  44.761510 8.791048 cc 01 30340c0f7424048659b69806            
18/06/25 06:45:40 0108 1                  44.761383 8.791207 cc 01 313931323043303130333333            
18/06/25 06:48:35 0109 1                  44.762707 8.793515 cc 01 3231313130304a3031393639            
18/06/25 06:48:36 0110 1                  44.762707 8.793513 cc 01 30360394a8383bc402001559            
18/06/25 06:48:40 0111 1                  44.762707 8.793512 cc 01 3231303132304a3037373637            
18/06/25 06:49:55 0112 1                  44.762830 8.793213 cc 01 3231303234304a3030323038            
18/06/25 06:54:32 0113 1                  44.760520 8.791468 cc 01 3231313130304a3032313136            
18/06/25 06:54:44 0114 1                  44.760513 8.791462 cc 01 3231303234304a3034323439            
18/06/25 07:06:09 0115 1                  44.752992 8.812290 cc 01 303ac8e9c0df7ddca3b98ddf            
18/06/25 07:06:13 0116 1                  44.752990 8.812292 cc 01 3034f836e81ba2cab4209e0f            
18/06/25 07:06:15 0117 1                  44.752988 8.812292 cc 01 30340c0f7424048659b69806            
18/06/25 07:06:16 0118 1                  44.752988 8.812292 cc 01 30360394a8383bc402001559            
18/06/25 07:06:18 0119 1                  44.752988 8.812292 cc 01 303435ffd839194c5d2c7004            
18/06/25 07:06:19 0120 1                  44.752988 8.812292 cc 01 30396120c0dc4e8000000b17            
18/06/25 07:06:21 0121 1                  44.752987 8.812290 cc 01 30396120c083f500000002cb            
18/06/25 07:06:24 0122 1                  44.752987 8.812290 cc 01 30360394a854038402001a0c            
18/06/25 07:06:33 0123 1                  44.752982 8.812290 cc 01 30396120c04b1b8000001af4            
18/06/25 07:06:34 0124 1                  44.752982 8.812288 cc 01 303ac8e9c07c88e0b3092c1d            
18/06/25 07:06:36 0125 1                  44.752982 8.812287 cc 01 30396120c0de6d4000000665            
18/06/25 07:06:37 0126 1                  44.752982 8.812285 cc 01 30396120c066e04000001568            
18/06/25 07:06:39 0127 1                  44.752982 8.812285 cc 01 3034f722d4466a42638891e3            
18/06/25 07:06:40 0128 1                  44.752982 8.812285 cc 01 201411280150389540002277            
18/06/25 07:06:43 0129 1                  44.752980 8.812283 cc 01 303ac8e9c0b6b0d9d8b6412a            
18/06/25 07:06:45 0130 1                  44.752980 8.812283 cc 01 3039550941a88b80000034d7            
18/06/25 07:06:49 0131 1                  44.752980 8.812280 cc 01 30396120c3a9dd00000002ba            
18/06/25 07:06:50 0132 1                  44.752982 8.812280 cc 01 3035c2084c5b144005f79c98            
18/06/25 07:06:55 0133 1                  44.752982 8.812280 cc 01 30396120c0364780000001b8            
18/06/25 07:06:59 0134 1                  44.752983 8.812282 cc 01 30396120c066e5c000000724            
18/06/25 07:07:02 0135 1                  44.752985 8.812283 cc 01 3034f722d44e1c42639b5bf5            
18/06/25 07:07:04 0136 1                  44.752987 8.812285 cc 01 3be3000001981f1d00000404            
18/06/25 07:07:06 0137 1                  44.752987 8.812287 cc 01 3035ebb3200b76080004818d            
18/06/25 07:07:25 0138 1                  44.752987 8.812293 cc 01 30361443f83c27debbd028e8            
18/06/25 07:07:35 0139 1                  44.752983 8.812290 cc 01 30340c0f7056b6ae09c89806            
18/06/25 07:07:39 0140 1                  44.752982 8.812290 cc 01 355ab1c8e005211007195e2d            
18/06/25 07:07:41 0141 1                  44.752982 8.812290 cc 01 355ab1c8e005211007195e7f            
18/06/25 07:07:42 0142 1                  44.752982 8.812290 cc 01 355ab1c8e005211007195e13            
18/06/25 07:07:49 0143 1                  44.752982 8.812293 cc 01 355ab1c8e0052110071aa43a            
18/06/25 07:07:57 0144 1                  44.752985 8.812303 cc 01 30360372d83624400cd0a771            
18/06/25 07:08:13 0145 1                  44.753007 8.812318 cc 01 303ac8e9c0da78dac6890442            
18/06/25 07:08:26 0146 1                  44.753012 8.812307 cc 01 355ab1c8e005211007196428            
18/06/25 07:08:28 0147 1                  44.753012 8.812305 cc 01 355ab1c8e005211007190394            
18/06/25 07:08:32 0148 1                  44.753010 8.812300 cc 01 30340bf720171197487734ab            
18/06/25 07:08:42 0149 1                  44.753003 8.812292 cc 01 355ab1c8e005211007195e85            
18/06/25 07:08:47 0150 1                  44.752998 8.812287 cc 01 303ac8e9c086d2dc9c048fcd            
18/06/25 07:08:56 0151 1                  44.752992 8.812275 cc 01 303ac8e9c02a5320b39f5438            
18/06/25 07:08:57 0152 1                  44.752990 8.812273 cc 01 303ac8e9c078c45c9f1f3aea            
18/06/25 07:08:59 0153 1                  44.752990 8.812273 cc 01 303ac8e9c0490e5c9bb4049e            
18/06/25 07:09:04 0154 1                  44.752990 8.812272 cc 01 303ac8e9c078f71c9b776b75            
18/06/25 07:09:56 0155 1                  44.753022 8.812278 cc 01 30340bf8e80d4481a6a14005            
18/06/25 07:10:32 0156 1                  44.753030 8.812300 cc 01 3034f8490416f5c2ee0003a6            
18/06/25 07:10:34 0157 1                  44.753030 8.812302 cc 01 303549a91436f38cce416fa1            
