19/06/25 04:52:42 0000 s 02029ver01 44.753040 8.812022 vv 01
19/06/25 05:23:52 0001 1                  0 0 vv 01 313932343056303030343935            
19/06/25 05:23:52 0002 1                  0 0 vv 01 323032323036323330303236            
19/06/25 05:30:53 0003 1                  44.727567 8.697988 vv 01 313932343056303030343935            
19/06/25 05:32:00 0004 1                  44.727561 8.697785 vv 01 313932343056303030343934            
19/06/25 05:34:02 0005 1                  44.727982 8.697596 vv 01 31383234304a303032313030            
19/06/25 05:34:40 0006 1                  44.728451 8.697588 vv 01 31383234304a303032303636            
19/06/25 05:37:11 0007 1                  44.728591 8.697399 vv 01 313932343056303030343532            
19/06/25 05:41:03 0008 1                  44.727319 8.697257 vv 01 31383234304a303032313036            
19/06/25 05:43:30 0000 s 02029ver01 44.726368 8.698783 vv 01
19/06/25 05:54:31 0009 1                  44.726718 8.698754 vv 01 31383234304a303032313032            
19/06/25 05:58:56 0010 1                  44.725107 8.699406 vv 01 3231303234304a3031343533            
19/06/25 06:01:07 0011 1                  44.724114 8.700343 vv 01 313932343056303030343531            
19/06/25 06:15:16 0012 1                  44.725280 8.699389 vv 01 313932343056303030323339            
19/06/25 06:17:54 0013 1                  44.726187 8.697130 vv 01 3233303234304a3030303033            
19/06/25 06:21:46 0014 1                  44.726735 8.695558 vv 01 31383234304a303030353436            
19/06/25 06:24:54 0015 1                  44.727378 8.694451 vv 01 31383234304a303031333830            
19/06/25 06:28:26 0016 1                  44.727724 8.693029 vv 01 313932343056303030343539            
19/06/25 06:29:34 0017 1                  44.727847 8.692807 vv 01 31383234304a303031363133            
19/06/25 06:33:37 0018 1                  44.728535 8.691808 vv 01 3233303234304a3030333034            
19/06/25 06:34:26 0019 1                  44.728709 8.691949 vv 01 313932343056303030303631            
19/06/25 06:40:01 0020 1                  44.729012 8.690074 vv 01 313932343056303030333133            
19/06/25 06:42:26 0021 1                  44.728484 8.689806 vv 01 31383234304a303030373836            
19/06/25 06:50:19 0000 s 02029ver01 44.728177 8.689402 vv 01
19/06/25 06:52:40 0022 1                  44.727619 8.691444 vv 01 313932343056303030333831            
19/06/25 06:59:17 0023 1                  44.727664 8.690352 vv 01 313932343056303030333837            
19/06/25 07:03:25 0024 1                  44.726681 8.689165 vv 01 3232303234304a3030303931            
19/06/25 07:05:10 0025 1                  44.726998 8.689117 vv 01 313932343056303030303932            
19/06/25 07:07:10 0026 1                  44.727053 8.689928 vv 01 31383234304a303032333633            
19/06/25 07:07:17 0027 1                  44.727029 8.689948 vv 01 31383234304a303030353437            
19/06/25 07:17:46 0028 1                  44.726440 8.683849 vv 01 31383234304a303030373939            
19/06/25 07:17:59 0029 1                  44.726373 8.683772 vv 01 31383234304a303030373938            
19/06/25 07:20:51 0030 1                  44.730273 8.686123 vv 01 31383234304a303031393838            
19/06/25 07:22:45 0031 1                  44.731766 8.686163 vv 01 31383234304a303031333732            
19/06/25 07:29:36 0032 1                  44.729918 8.687075 vv 01 31383234304a303032313537            
19/06/25 07:35:31 0033 1                  44.729050 8.688750 vv 01 31383634304a303030383032            
19/06/25 07:38:24 0034 1                  44.729029 8.687544 vv 01 31383234304a303030373830            
19/06/25 07:38:29 0035 1                  44.729034 8.687509 vv 01 31383234304a303030373739            
19/06/25 07:40:29 0036 1                  44.728994 8.687581 vv 01 31383234304a303030373830            
19/06/25 07:50:33 0037 1                  44.730786 8.692682 vv 01 31383234304a303033313135            
19/06/25 07:55:01 0038 1                  44.732194 8.692366 vv 01 3234303234304a3031323730            
19/06/25 08:00:40 0039 1                  44.728902 8.692684 vv 01 313932343056303030323038            
19/06/25 08:04:00 0040 1                  44.728560 8.693292 vv 01 3231303234304a3033383539            
19/06/25 08:06:20 0041 1                  44.728551 8.693382 vv 01 31383234304a303030343334            
19/06/25 08:07:08 0042 1                  44.728544 8.693326 vv 01 31383234304a303032383439            
19/06/25 08:11:42 0043 1                  44.729255 8.694801 vv 01 31383234304a303032313538            
19/06/25 08:13:22 0044 1                  44.729054 8.693729 vv 01 31383234304a303032323631            
19/06/25 08:17:08 0045 1                  44.729013 8.693636 vv 01 31383234304a303032323631            
19/06/25 09:36:24 0046 1                  44.753089 8.812308 vv 01 323032323036323330303236            
19/06/25 10:04:44 0047 1                  44.731487 8.686663 vv 01 31383234304a303031303033            
19/06/25 10:20:53 0048 1                  44.706050 8.684555 vv 01 313932343056303030353130            
19/06/25 10:21:32 0049 1                  44.706109 8.684963 vv 01 313932343056303030353039            
19/06/25 10:23:23 0050 1                  44.706062 8.685903 vv 01 313932343056303030343939            
19/06/25 10:24:51 0051 1                  44.705945 8.686380 vv 01 31383132304a303230353332            
19/06/25 10:26:19 0052 1                  44.706495 8.686005 vv 01 313932343056303030353032            
19/06/25 10:27:41 0053 1                  44.706836 8.685786 vv 01 3233303234304a3031323136            
19/06/25 10:28:50 0054 1                  44.707125 8.685628 vv 01 313932343056303030323237            
19/06/25 10:30:04 0055 1                  44.707915 8.685065 vv 01 3233303234304a3031313234            
