20/06/25 05:17:16 0000 s 00903ver01 44.752823 8.812052 uu 01
20/06/25 05:26:43 0000 s 00903ver01 44.762242 8.786882 uu 01
20/06/25 05:29:08 0001 1                  0 0 uu 01 323032323036323330303038            
20/06/25 05:34:41 0002 1                  0 0 uu 01 3231303032334d3033323731            
20/06/25 05:34:47 0003 1                  0 0 uu 01 3231303032334d3034323531            
20/06/25 05:35:48 0004 1                  0 0 uu 01 3231303032334d3034393638            
20/06/25 05:35:53 0005 1                  0 0 uu 01 3231303032334d3034383832            
20/06/25 05:37:17 0006 1                  0 0 uu 01 3234303032334d3030313139            
20/06/25 05:37:24 0007 1                  0 0 uu 01 3231303032334d3034303336            
20/06/25 05:37:27 0008 1                  0 0 uu 01 3232303032334d3030363530            
20/06/25 05:37:34 0009 1                  0 0 uu 01 3234303032334d3031313230            
20/06/25 05:37:37 0010 1                  0 0 uu 01 3231303032334d3034303332            
20/06/25 05:38:48 0011 1                  0 0 uu 01 3231303032334d3033393937            
20/06/25 05:39:40 0012 1                  0 0 uu 01 323030323545303032363436            
20/06/25 05:40:51 0013 1                  0 0 uu 01 323030323545303032363939            
20/06/25 05:41:07 0014 1                  0 0 uu 01 3231303032334d3033393732            
20/06/25 05:41:28 0015 1                  0 0 uu 01 3231303032334d3034353831            
20/06/25 05:42:14 0016 1                  0 0 uu 01 31383032334d303036393439            
20/06/25 05:42:53 0017 1                  0 0 uu 01 3233303032334d3030313238            
20/06/25 05:43:53 0018 1                  0 0 uu 01 31383032334d303136333239            
20/06/25 05:43:56 0019 1                  0 0 uu 01 31383032334d303134383230            
20/06/25 05:44:01 0020 1                  0 0 uu 01 31383032334d303133393439            
20/06/25 05:44:07 0021 1                  0 0 uu 01 31383032334d303132373438            
20/06/25 05:44:12 0022 1                  0 0 uu 01 31383032334d303133323331            
20/06/25 05:44:28 0023 1                  0 0 uu 01 31383032334d303032313331            
20/06/25 05:45:42 0024 1                  0 0 uu 01 3231303032334d3033383136            
20/06/25 05:47:05 0025 1                  0 0 uu 01 3231303032334d3033383930            
20/06/25 05:50:31 0026 1                  0 0 uu 01 3231303032334d3034353333            
20/06/25 05:51:21 0027 1                  0 0 uu 01 3231303032334d3033373033            
20/06/25 05:53:00 0028 1                  0 0 uu 01 3231303032334d3034373739            
20/06/25 05:53:37 0029 1                  0 0 uu 01 3231303032334d3034363232            
20/06/25 05:53:43 0030 1                  0 0 uu 01 3231303032334d3034313032            
20/06/25 05:55:14 0000 s 00903ver01 44.768742 8.791345 uu 01
20/06/25 05:55:38 0031 1                  0 0 uu 01 3231303132304a3035333332            
20/06/25 05:55:45 0032 1                  0 0 uu 01 3231303132304a3035333333            
20/06/25 05:57:15 0033 1                  0 0 uu 01 3231303032334d3034353239            
20/06/25 05:57:15 0034 1                  0 0 uu 01 323032343055303030303736            
20/06/25 05:57:16 0035 1                  0 0 uu 01 3231303032334d3034383534            
20/06/25 05:57:18 0036 1                  0 0 uu 01 3231303032334d3034383836            
20/06/25 05:57:18 0037 1                  0 0 uu 01 3233303032334d3031303734            
20/06/25 05:57:19 0038 1                  0 0 uu 01 3234303032334d3032323233            
20/06/25 05:59:46 0039 1                  0 0 uu 01 3231303132304a3035333430            
20/06/25 06:00:42 0040 1                  0 0 uu 01 3231303032334d3033363733            
20/06/25 06:00:52 0041 1                  0 0 uu 01 3231303032334d3033363439            
20/06/25 06:00:58 0042 1                  0 0 uu 01 3231303032334d3033363238            
20/06/25 06:01:08 0043 1                  0 0 uu 01 323030323545303037373235            
