21/06/25 05:13:46 0000 s 02546ver01 44.753207 8.812528 pp 01
21/06/25 05:23:23 0001 1                  44.735567 8.822997 pp 01 3234303132304a3031303339            
21/06/25 05:24:36 0002 1                  44.735262 8.823145 pp 01 313931323050303032303535            
21/06/25 05:27:26 0003 1                  44.731965 8.826230 pp 01 313931323050303032383330            
21/06/25 05:27:28 0004 1                  44.731965 8.826233 pp 01 3234303132304a3032313538            
21/06/25 05:29:17 0005 1                  44.731313 8.827757 pp 01 313931323050303031353131            
21/06/25 05:33:14 0006 1                  44.731710 8.821817 pp 01 3231303234304a3032323036            
21/06/25 05:33:47 0007 1                  44.731730 8.821817 pp 01 31383132304a303030303031            
21/06/25 05:35:09 0008 1                  44.731447 8.820197 pp 01 313931323050303032383239            
21/06/25 05:36:51 0009 1                  44.731482 8.819632 pp 01 313931323050303032333434            
21/06/25 05:41:42 0010 1                  44.735665 8.814178 pp 01 303ac8e9c0b83459d8b64845            
21/06/25 05:41:44 0011 1                  44.735665 8.814178 pp 01 323031313030533030313834            
21/06/25 05:42:03 0012 1                  44.735660 8.814185 pp 01 313931323050303030323033            
21/06/25 05:42:27 0013 1                  44.735653 8.814202 pp 01 313931323050303032373032            
21/06/25 05:50:02 0014 1                  44.731570 8.814285 pp 01 31383132304a703237333539            
21/06/25 05:54:03 0015 1                  44.729053 8.809307 pp 01 313931323050303032383331            
21/06/25 05:56:58 0016 1                  44.726215 8.811437 pp 01 323031313030503030343132            
21/06/25 06:02:41 0017 1                  44.726887 8.819858 pp 01 313931323050303031343538            
21/06/25 06:09:48 0018 1                  44.734425 8.812357 pp 01 313931323050303032383034            
21/06/25 06:12:56 0019 1                  44.733445 8.809390 pp 01 313931323050303030363833            
21/06/25 06:13:11 0020 1                  44.733438 8.809382 pp 01 313931323050303032383035            
21/06/25 06:15:33 0000 s 02546ver01 0 0 pp 01
21/06/25 06:15:55 0021 1                  44.733203 8.807863 pp 01 313931323050303032303639            
21/06/25 06:21:07 0000 s 02546ver01 0 0 pp 01
21/06/25 06:21:19 0022 1                  44.736843 8.797643 pp 01 323831313030503030333133            
21/06/25 06:21:20 0023 1                  44.736843 8.797643 pp 01 30340c139c3d690501090404            
21/06/25 06:21:24 0024 1                  44.736843 8.797645 pp 01 30340c1398607d1ed39ea404            
21/06/25 06:25:59 0025 1                  44.740338 8.791823 pp 01 323031313030503030323432            
21/06/25 06:30:11 0026 1                  44.742117 8.787073 pp 01 313931323050303035323431            
21/06/25 06:31:16 0027 1                  44.741757 8.787407 pp 01 31393132b050303035333433            
21/06/25 06:31:17 0028 1                  44.741757 8.787407 pp 01 313931323050303035333433            
