24/06/25 05:21:12 0000 s 02541ver01 44.753328 8.812158 pp 01
24/06/25 05:21:32 0001 1                  0 0 pp 01 3234303132304a3031323233            
24/06/25 10:49:00 0000 s 02541ver01 44.753153 8.812842 pp 01
24/06/25 10:49:11 0000 s 02541ver01 0 0 pp 01
24/06/25 11:26:06 0003 1                  44.913087 8.871192 pp 01 3034f822542937cab42056b4            
24/06/25 11:55:17 0005 1                  44.769997 8.788890 pp 01 111080000000000608298995            
24/06/25 12:08:53 0007 1                  44.770287 8.739293 pp 01 313831313030533031303332            
24/06/25 12:10:19 0008 1                  44.770447 8.737620 pp 01 31383132304a303231303537            
24/06/25 12:11:31 0009 1                  44.770522 8.737667 pp 01 313831313030533030313436            
24/06/25 12:15:31 0010 1                  44.769612 8.724612 pp 01 31383132304a303233373534            
24/06/25 12:15:38 0011 1                  44.769610 8.724612 pp 01 e2806f120000000228dc5223            
24/06/25 12:16:54 0012 1                  44.769398 8.719257 pp 01 31383132304a303234303133            
24/06/25 12:17:03 0013 1                  44.769398 8.719257 pp 01 31383132304a303235333039            
24/06/25 12:18:05 0014 1                  44.769262 8.718320 pp 01 31383132304a303234383435            
24/06/25 12:19:41 0015 1                  44.769172 8.716300 pp 01 31383132304a303235313434            
24/06/25 12:20:47 0016 1                  44.769057 8.714038 pp 01 31383132304a303232383234            
24/06/25 12:21:01 0017 1                  44.769055 8.714028 pp 01 31383132304a303231303630            
24/06/25 12:21:14 0018 1                  44.769057 8.714023 pp 01 31383132304a303233383830            
24/06/25 12:21:15 0019 1                  44.769057 8.714023 pp 01 30360372d832b0000cd0bdf1            
24/06/25 12:21:17 0020 1                  44.769058 8.714023 pp 01 303ac8e9c0630d59d8b64874            
24/06/25 12:22:21 0021 1                  44.768997 8.713162 pp 01 31383132304a303232383231            
24/06/25 12:22:35 0022 1                  44.769000 8.713163 pp 01 31383132304a303232383138            
24/06/25 12:22:38 0023 1                  44.769000 8.713162 pp 01 303ac8e9c0336259d8b63895            
24/06/25 12:25:14 0024 1                  44.769412 8.712148 pp 01 31383132304a303233313130            
24/06/25 12:25:20 0025 1                  44.769412 8.712150 pp 01 313931323050303036353431            
24/06/25 12:25:34 0026 1                  44.769408 8.712145 pp 01 31383033304d303034383434            
24/06/25 12:26:07 0027 1                  44.769403 8.712152 pp 01 31383132304a303233313131            
24/06/25 12:26:09 0028 1                  44.769403 8.712152 pp 01 31383132304a303233313133            
24/06/25 12:26:12 0029 1                  44.769403 8.712153 pp 01 31383133304a303233313133            
24/06/25 12:26:53 0030 1                  44.769403 8.712145 pp 01 31383132304a303234373133            
24/06/25 12:29:30 0031 1                  44.768845 8.710452 pp 01 31383132304a303231333231            
24/06/25 12:31:24 0032 1                  44.768818 8.710072 pp 01 31383132304a303233383836            
24/06/25 12:31:33 0033 1                  44.768812 8.710075 pp 01 3234303132304a3032313531            
24/06/25 12:32:25 0034 1                  44.768820 8.709825 pp 01 31383132304a303234303432            
24/06/25 12:33:16 0035 1                  44.768788 8.709315 pp 01 313931323050303035303237            
24/06/25 12:33:28 0036 1                  44.768787 8.709313 pp 01 31383132304a303232343738            
24/06/25 12:35:23 0037 1                  44.767300 8.704143 pp 01 111110000000000249214295            
24/06/25 12:41:23 0038 1                  44.766893 8.704167 pp 01 31383032334d303138333436            
24/06/25 12:43:24 0039 1                  44.769055 8.709163 pp 01 31383132304a303234303930            
24/06/25 12:45:35 0040 1                  44.769093 8.708930 pp 01 31383132304a303233323135            
24/06/25 12:46:06 0041 1                  44.769098 8.708937 pp 01 31383132304a303231393935            
24/06/25 12:47:36 0042 1                  44.769282 8.709140 pp 01 31383132304a303230323934            
24/06/25 12:47:51 0043 1                  44.769295 8.709127 pp 01 31383132304a303232383233            
24/06/25 12:48:48 0044 1                  44.769577 8.709150 pp 01 31383132304a303231393931            
24/06/25 12:49:09 0045 1                  44.769565 8.709160 pp 01 3235303132304a3030393039            
