26/06/25 04:54:17 0000 s 01130ver01 44.753057 8.812212 vv 01
26/06/25 05:38:01 0001 1                  0 0 vv 01 31383234304a303032313036            
26/06/25 05:38:01 0002 1                  0 0 vv 01 31383234304a303031383839            
26/06/25 05:38:01 0003 1                  0 0 vv 01 313932343056303030343532            
26/06/25 05:38:01 0004 1                  0 0 vv 01 31383234304a303032313030            
26/06/25 05:38:01 0005 1                  0 0 vv 01 31383234304a303032317031            
26/06/25 05:38:01 0006 1                  0 0 vv 01 323032323036323330303231            
26/06/25 05:40:39 0007 1                  44.724150 8.700261 vv 01 313932343056303030343531            
26/06/25 05:55:02 0008 1                  44.726495 8.697812 vv 01 313932343056303030353634            
26/06/25 05:59:38 0009 1                  44.727319 8.696056 vv 01 31383234304a303030353730            
26/06/25 06:02:02 0010 1                  44.727362 8.696102 vv 01 31383234304a303030353730            
26/06/25 06:04:43 0011 1                  44.726704 8.695536 vv 01 31383234304a303030353436            
26/06/25 06:06:23 0012 1                  44.726629 8.695546 vv 01 31383234304a303030353436            
26/06/25 06:08:30 0013 1                  44.727553 8.695682 vv 01 313932343056303030343539            
26/06/25 06:11:07 0014 1                  44.727825 8.694255 vv 01 3233303234304a3031313637            
26/06/25 06:11:18 0015 1                  44.727828 8.694240 vv 01 3234303234304a3031303030            
26/06/25 06:12:13 0016 1                  44.727838 8.694253 vv 01 3233303234304a3031313637            
26/06/25 06:17:37 0017 1                  44.728582 8.689670 vv 01 31383234304a303031303036            
26/06/25 06:23:08 0018 1                  44.727492 8.690463 vv 01 31383234304a303030353739            
26/06/25 06:27:51 0019 1                  44.726959 8.690235 vv 01 31383234304a303032303837            
26/06/25 06:28:06 0020 1                  44.726962 8.690220 vv 01 31383234304a303032303836            
26/06/25 06:28:06 0021 1                  44.726962 8.690220 vv 01 31383234304a303032303836            
26/06/25 06:29:44 0022 1                  44.726949 8.690194 vv 01 31383032334d303133313838            
26/06/25 06:32:49 0023 1                  44.726607 8.688575 vv 01 313932343056303030323838            
26/06/25 06:34:37 0024 1                  44.726975 8.689084 vv 01 313932343056303030303932            
26/06/25 06:43:48 0025 1                  44.730021 8.687095 vv 01 31383234304a303032313537            
26/06/25 06:45:43 0026 1                  44.730136 8.687366 vv 01 31383234304a303032313536            
26/06/25 06:49:38 0027 1                  44.731297 8.689560 vv 01 3231303234304a3030393033            
26/06/25 06:52:16 0028 1                  44.731481 8.688347 vv 01 313932343056303030323837            
26/06/25 06:58:50 0029 1                  44.728687 8.687882 vv 01 31383234304a303030373931            
26/06/25 07:01:29 0030 1                  44.728532 8.686426 vv 01 31383234304a303030373832            
26/06/25 07:13:29 0031 1                  44.732195 8.692314 vv 01 3234303234304a3031323730            
26/06/25 07:18:40 0032 1                  44.730398 8.693506 vv 01 31383234304a303033313136            
26/06/25 07:21:58 0033 1                  44.729328 8.694857 vv 01 31383234304a303032313538            
26/06/25 07:25:54 0034 1                  44.728595 8.693276 vv 01 3231303234304a3033383539            
26/06/25 07:26:09 0035 1                  44.728556 8.693334 vv 01 313932343056303030363336            
26/06/25 07:27:30 0036 1                  44.728401 8.693242 vv 01 3233303234304a3031313634            
26/06/25 07:36:15 0037 1                  44.726378 8.683817 vv 01 31383234304a303030373938            
26/06/25 07:38:34 0038 1                  44.730259 8.686066 vv 01 31383234304a303031393838            
26/06/25 07:44:31 0039 1                  44.732003 8.686157 vv 01 313932343056303030343637            
26/06/25 07:56:20 0040 1                  44.706041 8.684531 vv 01 313932343056303030353130            
