27/06/25 05:41:37 0000 s 02540ver01 44.696245 8.685457 cc 01
27/06/25 06:02:35 0001 1                  44.768607 8.708677 cc 01 3231303032334d3031333236            
27/06/25 06:02:44 0002 1                  44.768565 8.708672 cc 01 303ac8e9c0fa8b5ca898c7a7            
27/06/25 06:02:46 0003 1                  44.768558 8.708667 cc 01 31383132304a303132323132            
27/06/25 06:04:15 0004 1                  44.768315 8.708685 cc 01 31383132304a303039363137            
27/06/25 06:04:32 0005 1                  44.768438 8.708648 cc 01 31383032334d303136393535            
27/06/25 06:05:16 0006 1                  44.768252 8.708708 cc 01 3231303032334d3030363232            
27/06/25 06:05:30 0007 1                  44.768163 8.708732 cc 01 313931323043303035373533            
27/06/25 06:05:33 0008 1                  44.768140 8.708740 cc 01 31383032334d303137363433            
27/06/25 06:05:38 0009 1                  44.768117 8.708753 cc 01 31383032334d303138323239            
27/06/25 06:05:43 0010 1                  44.768097 8.708760 cc 01 31383032334d303138303030            
27/06/25 06:05:50 0011 1                  44.768045 8.708780 cc 01 323030323545303038353239            
27/06/25 06:06:08 0012 1                  44.768040 8.708702 cc 01 31383132304a303133373139            
27/06/25 06:06:16 0013 1                  44.768053 8.708688 cc 01 31383132304a303135303439            
27/06/25 06:08:17 0014 1                  44.767960 8.708155 cc 01 31383132304a303133373832            
27/06/25 06:10:02 0015 1                  44.767985 8.707843 cc 01 31383132304a3030393931b9            
27/06/25 06:10:34 0016 1                  44.768060 8.707835 cc 01 31383132304a303132393038            
27/06/25 06:10:42 0017 1                  44.768055 8.707817 cc 01 31383132304a303133373132            
27/06/25 06:10:51 0018 1                  44.768052 8.707787 cc 01 30395dfa82d7de0000264da7            
27/06/25 06:11:51 0019 1                  44.768073 8.707465 cc 01 31383132304a303133383036            
27/06/25 06:11:59 0020 1                  44.768063 8.707438 cc 01 31383032334d303033323136            
27/06/25 06:13:54 0021 1                  44.767875 8.709035 cc 01 3232303032334d3031333939            
27/06/25 06:14:03 0022 1                  44.767878 8.709063 cc 01 31383132304a303132363635            
27/06/25 06:14:28 0023 1                  44.767867 8.709125 cc 01 31383132304a30b132363635            
27/06/25 06:15:51 0024 1                  44.767703 8.710032 cc 01 31383132304a303131393035            
27/06/25 06:21:51 0025 1                  44.768458 8.710940 cc 01 31383132304a303132313539            
27/06/25 06:22:22 0026 1                  44.768457 8.710940 cc 01 31383132304a303039363735            
27/06/25 06:24:10 0000 s 02540ver01 44.767950 8.710773 cc 01
