01/07/25 05:02:00 0000 s 02546ver01 44.753393 8.812078 ss 01
01/07/25 05:29:34 0000 s 02546ver01 44.753118 8.812793 ss 01
01/07/25 05:41:20 0002 1                  44.764932 8.787198 ss 01 3231303132304a3039313834            
01/07/25 05:42:25 0003 1                  44.764867 8.787157 ss 01 253328704109810002010000            
01/07/25 05:43:07 0004 1                  44.764723 8.787077 ss 01 3231303132304a3036363736            
01/07/25 05:44:32 0005 1                  44.764545 8.787068 ss 01 3231303234304a3032363435            
01/07/25 05:44:39 0006 1                  44.764535 8.787063 ss 01 3231303234304a3032353331            
01/07/25 05:44:44 0007 1                  44.764533 8.787063 ss 01 3231303634304a3032353331            
01/07/25 05:53:04 0008 1                  44.766500 8.783657 ss 01 3231303132304a3036353439            
01/07/25 05:55:19 0009 1                  44.765818 8.783843 ss 01 3231303132304a3038313034            
01/07/25 05:57:19 0010 1                  44.765855 8.784867 ss 01 3232303132304a3030313237            
01/07/25 05:59:49 0011 1                  44.765467 8.785188 ss 01 313931323050303037303539            
01/07/25 05:59:52 0012 1                  44.765465 8.785188 ss 01 3231313130304a3032303333            
01/07/25 06:00:05 0013 1                  44.765458 8.785187 ss 01 3231303132304a3038303335            
01/07/25 06:00:18 0014 1                  44.765457 8.785190 ss 01 3231303132304a3035313735            
01/07/25 06:00:37 0015 1                  44.765458 8.785162 ss 01 303ac8e9c04b11d9d8b64e0c            
01/07/25 06:02:48 0016 1                  44.765345 8.784908 ss 01 3231303132304a3036323733            
01/07/25 06:04:07 0017 1                  44.765233 8.784768 ss 01 313931323043303038303339            
01/07/25 06:04:32 0018 1                  44.765245 8.784753 ss 01 313931323043303039313534            
01/07/25 06:05:44 0019 1                  44.765327 8.784715 ss 01 3234303132304a3030313539            
01/07/25 06:05:47 0020 1                  44.765325 8.784713 ss 01 3231303132304a3037393334            
01/07/25 06:07:37 0021 1                  44.765277 8.785668 ss 01 3231303132304a3038303034            
01/07/25 06:09:38 0022 1                  44.764890 8.785888 ss 01 3232303234304a3030383836            
01/07/25 06:12:14 0023 1                  44.764818 8.785557 ss 01 303acb03420deedc77ed5af6            
01/07/25 06:12:28 0024 1                  44.764822 8.785553 ss 01 3234303033304d3031383130            
01/07/25 06:13:35 0025 1                  44.764822 8.785582 ss 01 3231303033304d3034333536            
01/07/25 06:13:46 0026 1                  44.764823 8.785583 ss 01 3231303033304d3031373236            
01/07/25 06:14:07 0027 1                  44.764810 8.785568 ss 01 3231303033304d3034353530            
01/07/25 06:15:51 0028 1                  44.764728 8.786343 ss 01 3231303132304a3037393035            
01/07/25 06:17:06 0030 1                  44.764548 8.786708 ss 01 313932343053303030373238            
01/07/25 06:20:42 0031 1                  44.766848 8.788822 ss 01 3234303033304d3031373138            
01/07/25 06:20:44 0032 1                  44.766847 8.788812 ss 01 3231303033304d3031303137            
