03/07/25 05:11:27 0000 s 02546ver01 44.752887 8.812205 vv 01
03/07/25 05:29:42 0001 1                  44.770840 8.729433 vv 01 313932343056303030313231            
03/07/25 05:30:55 0002 1                  44.770887 8.729125 vv 01 31383234304a303033333938            
03/07/25 05:31:56 0003 1                  44.770987 8.728823 vv 01 31383234304a303033333937            
03/07/25 05:33:18 0004 1                  44.771353 8.728450 vv 01 31383234304a303031343434            
03/07/25 05:33:29 0005 1                  44.771362 8.728457 vv 01 31383234304a303030383831            
03/07/25 05:34:10 0006 1                  44.771355 8.728450 vv 01 31383234304a303031343233            
03/07/25 05:36:47 0007 1                  44.771580 8.729600 vv 01 31383234304a303032373938            
03/07/25 05:40:06 0008 1                  44.769625 8.724660 vv 01 31383234304a303030373334            
03/07/25 05:43:12 0009 1                  44.770728 8.723690 vv 01 31383234304a303030383930            
03/07/25 05:44:28 0010 1                  44.771083 8.724192 vv 01 31383234304a303030383637            
03/07/25 05:44:38 0011 1                  44.771092 8.724198 vv 01 31383234304a303031303730            
03/07/25 05:49:21 0012 1                  44.770477 8.726218 vv 01 31383234304a303030373333            
03/07/25 05:51:25 0013 1                  44.770387 8.725075 vv 01 31383234304a303030343537            
03/07/25 05:52:41 0014 1                  44.770047 8.724683 vv 01 31383234304a303030373233            
03/07/25 05:54:00 0015 1                  44.769855 8.724387 vv 01 31383234304a303033323732            
03/07/25 05:56:45 0016 1                  44.769257 8.718245 vv 01 31383234304a303032353034            
03/07/25 05:58:41 0017 1                  44.769172 8.716352 vv 01 3234303234304a3030303031            
03/07/25 06:00:25 0018 1                  44.769780 8.715612 vv 01 31383234304a303030343539            
03/07/25 06:04:11 0019 1                  44.768500 8.714023 vv 01 31383234304a303030343632            
03/07/25 06:06:03 0020 1                  44.769015 8.713217 vv 01 31383234304a303031383132            
03/07/25 06:07:58 0021 1                  44.768900 8.711092 vv 01 31383234304a303033323339            
03/07/25 06:12:23 0022 1                  44.768830 8.710453 vv 01 31383234304a303033303536            
03/07/25 06:13:52 0023 1                  44.768828 8.709855 vv 01 31383234304a303031323634            
03/07/25 06:15:03 0024 1                  44.768830 8.709860 vv 01 301854aac06de0502f2de2e1            
03/07/25 06:16:59 0025 1                  44.768633 8.707600 vv 01 71383234304a303032383233            
03/07/25 06:18:56 0026 1                  44.768203 8.708777 vv 01 31383234304a303032313637            
03/07/25 06:19:12 0027 1                  44.768197 8.708783 vv 01 31383234304a3030323136b7            
03/07/25 06:21:00 0028 1                  44.767810 8.710128 vv 01 3234303234304a3030393034            
03/07/25 06:26:01 0031 1                  44.768757 8.709743 vv 01 3232303234304a3030323636            
03/07/25 06:27:21 0032 1                  44.768748 8.710128 vv 01 31383234304a303031373434            
03/07/25 06:27:24 0033 1                  44.768748 8.710123 vv 01 31383234304a303030373539            
03/07/25 06:31:05 0034 1                  44.769770 8.728405 vv 01 3233303234304a3031323133            
03/07/25 06:35:16 0035 1                  44.769827 8.728673 vv 01 31383234304a303031303436            
03/07/25 06:37:09 0036 1                  44.769645 8.726842 vv 01 31383234304a303033313233            
03/07/25 06:44:32 0037 1                  44.769943 8.707143 vv 01 31383234304a303033313731            
03/07/25 06:46:04 0038 1                  44.770122 8.706978 vv 01 3234303234304a3030303130            
03/07/25 06:46:17 0039 1                  44.770115 8.706965 vv 01 31383234304a303031303138            
03/07/25 06:50:38 0040 1                  44.770275 8.706852 vv 01 3232303234304a3030323739            
03/07/25 06:52:59 0041 1                  44.769587 8.705708 vv 01 3231303234304a3030393534            
03/07/25 06:55:18 0042 1                  44.769188 8.701860 vv 01 31383234304a303030343639            
03/07/25 06:57:59 0043 1                  44.770532 8.702282 vv 01 31383234304a303033333636            
03/07/25 06:58:21 0044 1                  44.770543 8.702285 vv 01 3233303234304a3030343934            
03/07/25 07:02:23 0045 1                  44.770440 8.701733 vv 01 31383234304a303032373535            
03/07/25 07:02:42 0046 1                  44.770447 8.701742 vv 01 31383032334d303033343531            
03/07/25 07:08:48 0047 1                  44.768830 8.698920 vv 01 31383234304a303031343037            
03/07/25 07:10:54 0048 1                  44.768297 8.694853 vv 01 31383234304a303031343731            
03/07/25 07:16:07 0049 1                  44.768020 8.702435 vv 01 31383132304a303035343235            
03/07/25 07:16:09 0050 1                  44.768027 8.702450 vv 01 31383234304a303030383638            
03/07/25 07:18:04 0051 1                  44.768662 8.703253 vv 01 31383234304a303030373531            
03/07/25 07:19:52 0052 1                  44.768892 8.703345 vv 01 31383234304a303032383733            
03/07/25 07:23:50 0053 1                  44.768368 8.704535 vv 01 31383234304a303031323132            
03/07/25 07:24:23 0054 1                  44.768405 8.704553 vv 01 111080000000000450472195            
03/07/25 07:26:08 0055 1                  44.768528 8.705603 vv 01 3234303234304a3030383931            
03/07/25 07:28:22 0056 1                  44.768572 8.705982 vv 01 31383234304a303031383037            
03/07/25 07:30:39 0057 1                  44.768215 8.705640 vv 01 31383234304a303031383035            
03/07/25 07:30:49 0058 1                  44.768225 8.705653 vv 01 313932343056303030333633            
03/07/25 07:32:06 0059 1                  44.768255 8.705667 vv 01 31383234304a303031383034            
03/07/25 08:28:17 0000 s 02546ver01 44.770702 8.735350 vv 01
