19/07/25 05:31:30 0000 s 02540ver01 44.753338 8.812277 uu 01
19/07/25 05:41:09 0001 1                  44.763902 8.787773 uu 01 3231303234304a3034353539            
19/07/25 05:41:36 0002 1                  44.763858 8.787720 uu 01 3233303132304a3032303634            
19/07/25 05:42:21 0003 1                  44.763872 8.787640 uu 01 3233303132304a3032303736            
19/07/25 05:45:54 0004 1                  44.763875 8.787225 uu 01 313931323050303037383434            
19/07/25 05:46:37 0005 1                  44.763867 8.786855 uu 01 3231303132304a3037343631            
19/07/25 05:48:19 0006 1                  44.763177 8.786460 uu 01 111110000000001004177195            
19/07/25 05:48:24 0007 1                  44.763155 8.786448 uu 01 3231303032334d3030383236            
19/07/25 05:49:47 0008 1                  44.764068 8.787223 uu 01 3231303032334d3032363634            
19/07/25 05:49:56 0009 1                  44.764100 8.787215 uu 01 3231303234304a3032373832            
19/07/25 05:51:35 0010 1                  44.764115 8.787598 uu 01 3233303032334d3031303837            
19/07/25 05:51:40 0011 1                  44.764108 8.787603 uu 01 3231303032334d3030303334            
19/07/25 05:52:36 0012 1                  44.764442 8.787943 uu 01 3231303032334d3032393235            
19/07/25 05:52:44 0013 1                  44.764467 8.787927 uu 01 3231303032334d3032393539            
19/07/25 05:52:48 0014 1                  44.764478 8.787918 uu 01 3231303032334d3033313231            
19/07/25 05:56:28 0015 1                  44.764990 8.789678 uu 01 313931323043303037303332            
19/07/25 05:57:40 0016 1                  44.765020 8.789877 uu 01 3231303032334d3033303731            
19/07/25 05:57:49 0017 1                  44.765028 8.789932 uu 01 3231303032334d3033303732            
19/07/25 05:58:51 0018 1                  44.764903 8.790312 uu 01 3231303234304a3034343230            
19/07/25 05:59:01 0019 1                  44.764893 8.790348 uu 01 3231303032334d3031393537            
19/07/25 06:02:52 0020 1                  44.764523 8.792032 uu 01 3231303234304a3034343734            
19/07/25 06:02:54 0021 1                  44.764523 8.792032 uu 01 3231303234304a3034353536            
19/07/25 06:05:18 0022 1                  44.764357 8.792715 uu 01 3235303032334d3030393731            
19/07/25 06:05:27 0023 1                  44.764380 8.792770 uu 01 3233303032334d3030383239            
19/07/25 06:05:30 0024 1                  44.764385 8.792787 uu 01 3231303032334d3031303333            
19/07/25 06:05:44 0025 1                  44.764415 8.792867 uu 01 3231303032334d3031303131            
19/07/25 06:06:13 0026 1                  44.764432 8.792890 uu 01 3231303032334d3035383536            
19/07/25 06:09:30 0027 1                  44.764235 8.793583 uu 01 3231303132304a3037343634            
19/07/25 06:11:15 0028 1                  44.764202 8.794065 uu 01 3232303032334d3030393731            
19/07/25 06:11:28 0029 1                  44.764210 8.794065 uu 01 3234303032334d3032333734            
19/07/25 06:11:29 0030 1                  44.764217 8.794062 uu 01 3231303032334d3030353138            
19/07/25 06:12:01 0031 1                  44.764273 8.794025 uu 01 3231303032334d3031333339            
19/07/25 06:12:16 0032 1                  44.764270 8.794015 uu 01 3234303234304a3030373637            
19/07/25 06:12:56 0033 1                  44.764240 8.794062 uu 01 3231303032334d3033313136            
19/07/25 06:15:58 0034 1                  44.764035 8.794742 uu 01 3231303032334d3031303633            
19/07/25 06:16:00 0035 1                  44.764035 8.794742 uu 01 3231303032334d3030393635            
19/07/25 06:16:03 0036 1                  44.764033 8.794743 uu 01 3231303032334d3031303631            
19/07/25 06:16:11 0037 1                  44.764030 8.794745 uu 01 3231303032334d3031303634            
19/07/25 06:18:37 0038 1                  44.763937 8.795522 uu 01 3231303032334d3033353031            
19/07/25 06:19:16 0039 1                  44.763900 8.795782 uu 01 3234303032334d3031363232            
19/07/25 06:27:33 0040 1                  44.766390 8.784910 uu 01 3231303032334d3033333232            
19/07/25 06:27:54 0041 1                  44.766403 8.784928 uu 01 303ac8e9c0d0ab5ca40c4879            
19/07/25 06:28:00 0042 1                  44.766402 8.784937 uu 01 3231303132304a3035333930            
19/07/25 06:32:05 0043 1                  44.766060 8.785900 uu 01 3231303032334d3033303232            
19/07/25 06:32:08 0044 1                  44.766058 8.785902 uu 01 3231303032334d3032393530            
19/07/25 06:32:16 0045 1                  44.766057 8.785907 uu 01 3231303032334d3033303138            
19/07/25 06:32:22 0046 1                  44.766055 8.785915 uu 01 3231303032334d3033303231            
19/07/25 06:34:01 0047 1                  44.765872 8.786232 uu 01 3231303132304a3037353832            
19/07/25 06:34:56 0048 1                  44.765830 8.786607 uu 01 3231303032334d3031313132            
19/07/25 06:34:58 0049 1                  44.765833 8.786613 uu 01 3231303032334d3031303331            
19/07/25 06:35:02 0050 1                  44.765833 8.786617 uu 01 3231303032334d3031303234            
19/07/25 06:35:39 0051 1                  44.765860 8.786733 uu 01 3231303234304a3032383430            
19/07/25 06:40:26 0052 1                  44.765607 8.788678 uu 01 3231303234304a3034323836            
19/07/25 06:41:20 0053 1                  44.765665 8.788793 uu 01 3231303234304a3032383637            
19/07/25 06:44:06 0054 1                  44.766632 8.788863 uu 01 3231303234304a3034353831            
19/07/25 06:49:54 0055 1                  44.764832 8.787275 uu 01 3231303032334d3035383231            
19/07/25 06:50:38 0056 1                  44.764757 8.786950 uu 01 31383032334d303030373532            
19/07/25 07:04:45 0000 s 02540ver01 44.764643 8.774863 uu 01
19/07/25 07:17:14 0057 1                  44.767212 8.789702 uu 01 3231303234304a3034353638            
19/07/25 07:18:49 0058 1                  44.767412 8.788647 uu 01 3231303234304a3034353637            
19/07/25 07:22:07 0059 1                  44.767810 8.787010 uu 01 3231303032334d3033303333            
19/07/25 07:22:15 0060 1                  44.767807 8.786998 uu 01 3231303032334d3030393339            
19/07/25 07:22:20 0061 1                  44.767805 8.786990 uu 01 300833b2ddd9014000000000            
19/07/25 07:26:32 0062 1                  44.768480 8.785687 uu 01 3231303032334d3033353334            
19/07/25 07:26:39 0063 1                  44.768505 8.785687 uu 01 3231303032334d3030323131            
19/07/25 07:27:28 0064 1                  44.768740 8.785827 uu 01 323030323545303031363030            
19/07/25 07:27:31 0065 1                  44.768742 8.785830 uu 01 3230303033304d3039303136            
19/07/25 07:27:35 0066 1                  44.768752 8.785840 uu 01 3231303032334d3032363434            
19/07/25 07:27:37 0067 1                  44.768752 8.785840 uu 01 3231303032334d3030333631            
19/07/25 07:27:49 0068 1                  44.768767 8.785853 uu 01 3231303032334d3030363636            
19/07/25 07:30:45 0069 1                  44.768657 8.784870 uu 01 3231303032334d3033333235            
19/07/25 07:30:53 0070 1                  44.768687 8.784880 uu 01 3231303032334d3033333234            
19/07/25 07:32:00 0071 1                  44.768942 8.785050 uu 01 3231303132304a3035323335            
19/07/25 07:32:10 0072 1                  44.768963 8.785058 uu 01 3231303234304a3032313333            
