19/07/25 05:09:59 0000 s 02536ver01 44.752922 8.812053 pp 01
19/07/25 05:16:56 0000 s 02536ver01 44.753017 8.812055 pp 01
19/07/25 05:25:09 0001 1                  44.735530 8.822958 pp 01 3234303132304a3030303031            
19/07/25 05:26:26 0002 1                  44.735208 8.823055 pp 01 313931323050303032303535            
19/07/25 05:29:03 0003 1                  44.731963 8.826235 pp 01 313931323050303032383330            
19/07/25 05:29:06 0004 1                  44.731963 8.826237 pp 01 3234303132304a3032313538            
19/07/25 05:31:12 0005 1                  44.731640 8.826822 pp 01 313931323050303032353731            
19/07/25 05:32:43 0006 1                  44.731322 8.827718 pp 01 313931323050303031353131            
19/07/25 05:32:54 0007 1                  44.731303 8.827733 pp 01 3035344c24127b7187a72e0f            
19/07/25 05:39:34 0008 1                  44.731488 8.819615 pp 01 313931323050303032333434            
19/07/25 05:41:21 0009 1                  44.731413 8.817595 pp 01 313931323050303032373031            
19/07/25 05:48:20 0010 1                  44.735655 8.814197 pp 01 313931323050303030323033            
19/07/25 05:48:21 0011 1                  44.735655 8.814197 pp 01 313931323050303032373032            
19/07/25 05:48:23 0012 1                  44.735653 8.814198 pp 01 313931323053303036373630            
19/07/25 05:49:21 0013 1                  44.735637 8.814245 pp 01 313931323053303032303431            
19/07/25 06:07:47 0000 s 02536ver01 0 0 pp 01
19/07/25 06:11:35 0014 1                  44.734405 8.812383 pp 01 313931323050303032383034            
19/07/25 06:11:36 0015 1                  44.734407 8.812380 pp 01 313931323050303032383034            
19/07/25 06:17:05 0016 1                  44.733187 8.807968 pp 01 313931323050303035313934            
19/07/25 06:26:01 0017 1                  44.736840 8.797593 pp 01 323831313030503030333133            
19/07/25 06:27:43 0018 1                  44.737380 8.794887 pp 01 313931323050303033343831            
19/07/25 06:36:23 0019 1                  44.741722 8.787403 pp 01 313931323050303035333433            
19/07/25 06:38:33 0020 1                  44.738103 8.788945 pp 01 313931323050303132363530            
19/07/25 06:41:11 0021 1                  44.736298 8.790468 pp 01 e280117000000219a2fb4aba            
19/07/25 06:41:12 0022 1                  44.736297 8.790468 pp 01 313831313030533030313336            
19/07/25 06:41:19 0023 1                  44.736295 8.790465 pp 01 3035ebaeb020ad4000249f22            
19/07/25 06:41:21 0024 1                  44.736290 8.790458 pp 01 30340c124c41f5174876f86f            
19/07/25 06:41:26 0025 1                  44.736288 8.790457 pp 01 3036142c2c00005f3305ec10            
19/07/25 06:41:47 0026 1                  44.736285 8.790435 pp 01 e280117000000219a2fb4aaa            
19/07/25 06:42:00 0027 1                  44.736287 8.790423 pp 01 30361437a429929ebbd02eae            
