22/07/25 05:09:59 0000 s 00478ver01 44.753090 8.812078 pp 01
22/07/25 05:26:23 0000 s 00478ver01 44.761578 8.785815 pp 01
22/07/25 05:39:55 0001 1                  0 0 pp 01 31383132304a303236383337            
22/07/25 05:39:55 0002 1                  0 0 pp 01 323032323036323330303037            
22/07/25 05:40:23 0003 1                  0 0 pp 01 31383132304a303233323330            
22/07/25 05:42:24 0004 1                  0 0 pp 01 31383132304a303235303135            
22/07/25 05:42:50 0005 1                  0 0 pp 01 31383132304a303235333632            
22/07/25 05:45:06 0006 1                  0 0 pp 01 31383032334d303031323734            
22/07/25 05:45:06 0007 1                  0 0 pp 01 31383132304a303235303830            
22/07/25 05:46:42 0008 1                  0 0 pp 01 31383132304a303235313036            
22/07/25 05:47:59 0010 1                  0 0 pp 01 3234303032334d3031343036            
22/07/25 05:48:00 0011 1                  0 0 pp 01 31383132304a303235303833            
22/07/25 05:48:33 0012 1                  0 0 pp 01 31383132304a303235303833            
22/07/25 05:49:41 0014 1                  0 0 pp 01 313931323050303034333031            
22/07/25 05:50:08 0015 1                  0 0 pp 01 31383132304a303234393935            
22/07/25 05:50:12 0016 1                  0 0 pp 01 313931323050303034333031            
22/07/25 05:50:52 0018 1                  0 0 pp 01 31383132304a303231333136            
22/07/25 05:51:21 0019 1                  0 0 pp 01 31383132304a303231333136            
22/07/25 05:51:54 0020 1                  0 0 pp 01 31383132304a303235333631            
22/07/25 05:52:36 0021 1                  0 0 pp 01 31383032334d303031353632            
22/07/25 05:52:37 0022 1                  0 0 pp 01 31383132304a303234393530            
22/07/25 05:52:38 0023 1                  0 0 pp 01 31383132304a303235333631            
22/07/25 05:53:30 0024 1                  0 0 pp 01 31383132304a303234363234            
22/07/25 05:54:09 0025 1                  0 0 pp 01 31383132304a303235333630            
22/07/25 05:54:59 0026 1                  44.737199 8.733612 pp 01 313931323050303035303231            
22/07/25 05:55:36 0027 1                  44.737036 8.733549 pp 01 313931323050303035303231            
22/07/25 05:55:37 0028 1                  44.737029 8.733546 pp 01 31383132304a303235303739            
22/07/25 05:57:08 0030 1                  44.737052 8.733843 pp 01 31383132304a303235303136            
22/07/25 05:57:43 0031 1                  44.737026 8.734045 pp 01 31383132304a303235303236            
22/07/25 05:58:14 0032 1                  44.737054 8.733974 pp 01 31383132304a303234393737            
22/07/25 05:58:16 0033 1                  44.737056 8.734002 pp 01 31383132304a303235303236            
22/07/25 06:00:59 0034 1                  44.737979 8.731244 pp 01 313931323050303035353531            
22/07/25 06:02:20 0035 1                  44.738881 8.730819 pp 01 31383132304a303235343234            
22/07/25 06:03:00 0036 1                  44.738986 8.730809 pp 01 31383132304a303235343234            
22/07/25 06:04:17 0037 1                  44.738689 8.730661 pp 01 31383132304a303235343235            
22/07/25 06:06:01 0038 1                  44.738477 8.730561 pp 01 31383132304a303234383634            
22/07/25 06:06:08 0039 1                  44.738407 8.730588 pp 01 31383132304a303234383033            
22/07/25 06:06:09 0040 1                  44.738388 8.730599 pp 01 31383132304a303234373936            
22/07/25 06:11:17 0041 1                  44.732838 8.739928 pp 01 3230303033304d3038373933            
22/07/25 06:11:27 0042 1                  44.732837 8.739926 pp 01 3230303033304d3038373933            
22/07/25 06:11:28 0043 1                  44.732837 8.739926 pp 01 313931323050303036323632            
22/07/25 06:14:13 0044 1                  44.732968 8.739927 pp 01 313931323050303036323632            
22/07/25 06:16:33 0046 1                  44.731072 8.746383 pp 01 31383032334d303031333938            
22/07/25 06:17:10 0047 1                  44.731222 8.746484 pp 01 31383132304a303235333539            
22/07/25 06:19:10 0048 1                  44.733432 8.742250 pp 01 31383132304a303234323030            
22/07/25 06:24:32 0050 1                  44.763666 8.731011 pp 01 31383132304a303233393932            
22/07/25 06:26:46 0051 1                  44.763666 8.731011 pp 01 313931323050303030353637            
22/07/25 06:26:47 0052 1                  44.763666 8.731011 pp 01 31383132304a303233333637            
22/07/25 06:27:13 0053 1                  44.763666 8.731011 pp 01 31383132304a303232333932            
22/07/25 06:27:44 0054 1                  44.763666 8.731011 pp 01 31383132304a303232333932            
22/07/25 06:28:44 0056 1                  44.763666 8.731011 pp 01 31383033304d303033363739            
22/07/25 06:28:55 0057 1                  44.763666 8.731011 pp 01 31383033304d303033363739            
22/07/25 06:28:55 0058 1                  44.763666 8.731011 pp 01 31383032334d303032323731            
22/07/25 06:30:11 0060 1                  44.732286 8.736227 pp 01 31383132304a303232333930            
22/07/25 06:30:37 0061 1                  44.732074 8.736146 pp 01 31383132304a303232333930            
22/07/25 06:31:33 0063 1                  44.731868 8.736195 pp 01 31383132304a303234393235            
22/07/25 06:32:06 0064 1                  44.732126 8.736395 pp 01 31383132304a303234393235            
22/07/25 06:32:07 0065 1                  44.732115 8.736394 pp 01 31383132304a303235313135            
22/07/25 06:34:29 0000 s 00478ver01 44.731807 8.736747 pp 01
22/07/25 06:34:37 0067 1                  44.731646 8.737354 pp 01 31383032334d303133373938            
22/07/25 06:35:11 0068 1                  44.731722 8.737218 pp 01 31383132304a303232363039            
22/07/25 06:36:14 0070 1                  44.731754 8.736816 pp 01 31383132304a303234393934            
22/07/25 06:37:20 0071 1                  44.731865 8.736866 pp 01 31383132304a303234393934            
22/07/25 06:39:00 0073 1                  44.732168 8.735477 pp 01 31383132304a303233333933            
22/07/25 06:40:07 0075 1                  44.733041 8.733618 pp 01 31383132304a303230323836            
22/07/25 06:40:26 0076 1                  44.733194 8.733666 pp 01 31383132304a303230323836            
22/07/25 06:40:46 0077 1                  44.733475 8.733716 pp 01 31383132304a303235323035            
22/07/25 06:41:19 0078 1                  44.733345 8.733585 pp 01 31383132304a303230323435            
22/07/25 06:41:20 0079 1                  44.733370 8.733659 pp 01 31383132304a303235323035            
22/07/25 06:41:21 0080 1                  44.733387 8.733692 pp 01 31383132304a303230323836            
22/07/25 06:42:45 0082 1                  44.733322 8.733493 pp 01 31383132304a303235313237            
22/07/25 06:43:13 0083 1                  44.733126 8.733687 pp 01 31383132304a303235313237            
22/07/25 06:43:37 0085 1                  44.733555 8.733660 pp 01 3234303033304d3031343933            
22/07/25 06:43:37 0086 1                  44.733555 8.733660 pp 01 3234303032334d3032323735            
22/07/25 06:43:43 0000 s 00478ver01 44.731890 8.733862 pp 01
22/07/25 06:44:19 0087 1                  44.733164 8.733836 pp 01 313931323050303036373030            
22/07/25 06:44:43 0088 1                  44.733348 8.733878 pp 01 313931323050303036373030            
22/07/25 06:46:44 0090 1                  44.732316 8.734105 pp 01 313831323045303138383438            
22/07/25 06:47:17 0092 1                  44.731781 8.733692 pp 01 313931323050303039363034            
22/07/25 06:47:18 0093 1                  44.731774 8.733670 pp 01 31383132304a303235303133            
22/07/25 06:47:46 0094 1                  44.731665 8.733451 pp 01 313931323050303039363034            
22/07/25 06:47:47 0095 1                  44.731677 8.733444 pp 01 31383132304a303235303133            
22/07/25 06:49:00 0097 1                  44.732130 8.734629 pp 01 31383132304a303233373037            
22/07/25 06:49:26 0098 1                  44.732106 8.734734 pp 01 31383132304a303233373037            
22/07/25 06:54:45 0099 1                  44.721814 8.729618 pp 01 31383132304a303235323435            
22/07/25 06:55:11 0100 1                  44.721733 8.729637 pp 01 31383132304a303235323435            
22/07/25 06:56:52 0102 1                  44.723187 8.731315 pp 01 31383132304a303235323036            
22/07/25 06:57:42 0103 1                  44.723215 8.731411 pp 01 31383132304a303235323036            
22/07/25 07:01:48 0000 s 00478ver01 44.720173 8.732625 pp 01
22/07/25 07:04:34 0106 1                  44.719678 8.732546 pp 01 31383132304a303235323339            
22/07/25 07:05:14 0107 1                  44.719678 8.732546 pp 01 31383132304a303235323437            
