23/07/25 05:03:34 0000 s 00901ver01 44.753073 8.812237 ss 01
23/07/25 05:31:02 0001 1                  0 0 ss 01 313931323053303039363731            
23/07/25 05:31:02 0002 1                  0 0 ss 01 323032323036323330303133            
23/07/25 05:32:24 0003 1                  0 0 ss 01 313931323053303037393134            
23/07/25 05:32:27 0004 1                  0 0 ss 01 313931333053303037393133            
23/07/25 05:33:03 0005 1                  0 0 ss 01 313931323053303037363333            
23/07/25 05:33:12 0006 1                  0 0 ss 01 313931323053303037363334            
23/07/25 05:34:37 0007 1                  0 0 ss 01 3230303033304d3030303839            
23/07/25 05:37:07 0008 1                  0 0 ss 01 313931323053303039353635            
23/07/25 05:39:57 0009 1                  0 0 ss 01 313931323053303039333536            
23/07/25 05:40:03 0010 1                  0 0 ss 01 3231303132304a3036353230            
23/07/25 05:42:11 0011 1                  0 0 ss 01 3234303132304a3031373334            
23/07/25 05:42:12 0012 1                  0 0 ss 01 303ac8e9c05174dac6890378            
23/07/25 05:43:20 0013 1                  0 0 ss 01 313931323053303030343630            
23/07/25 05:52:55 0014 1                  0 0 ss 01 313931323053303133363630            
23/07/25 05:54:55 0015 1                  0 0 ss 01 3232303132304a3030343236            
23/07/25 05:58:02 0016 1                  0 0 ss 01 3231303033304d3033393336            
23/07/25 06:03:55 0017 1                  0 0 ss 01 3231303132304a3031393337            
23/07/25 06:06:57 0018 1                  0 0 ss 01 313931323053303037303938            
23/07/25 06:07:14 0019 1                  0 0 ss 01 313931323053303037303133            
23/07/25 06:10:58 0020 1                  0 0 ss 01 313931323053303132353332            
23/07/25 06:12:18 0021 1                  0 0 ss 01 313931323053303039373230            
23/07/25 06:14:18 0022 1                  0 0 ss 01 3231303132304a3030393537            
23/07/25 06:25:15 0023 1                  0 0 ss 01 313931323053303039393236            
23/07/25 06:29:23 0024 1                  0 0 ss 01 313931323053303132333231            
23/07/25 06:31:04 0025 1                  0 0 ss 01 313931323053303038333335            
23/07/25 06:31:10 0026 1                  0 0 ss 01 3235303132304a3030313534            
23/07/25 06:34:56 0027 1                  0 0 ss 01 313931323053303133323533            
23/07/25 06:35:21 0028 1                  0 0 ss 01 313931323053303039363534            
23/07/25 06:38:41 0029 1                  0 0 ss 01 3231303132304a3031303337            
23/07/25 06:40:37 0030 1                  0 0 ss 01 313931323053303039313433            
23/07/25 06:44:10 0031 1                  0 0 ss 01 3231303132304a3030373833            
23/07/25 06:48:11 0032 1                  0 0 ss 01 3231303132304a3030343732            
23/07/25 06:48:48 0033 1                  0 0 ss 01 323030323545303031343934            
23/07/25 06:52:28 0034 1                  0 0 ss 01 313931323053303033303131            
