25/07/25 08:41:36 0000 s 02538ver01 44.753233 8.812472 cc 01
25/07/25 09:01:44 0001 1                  44.792305 8.786162 cc 01 3139313130304a3031313632            
25/07/25 09:02:52 0002 1                  44.792263 8.786173 cc 01 3138313130304a3030303637            
25/07/25 09:03:31 0003 1                  44.792292 8.786182 cc 01 3138313130304a3030313039            
25/07/25 09:04:16 0004 1                  44.792343 8.786155 cc 01 3139313130304a3031303339            
25/07/25 09:11:43 0005 1                  44.794293 8.782270 cc 01 313831323045303135363930            
25/07/25 09:13:27 0006 1                  44.793273 8.782928 cc 01 3231303234304a3032363232            
25/07/25 09:13:36 0007 1                  44.793270 8.782922 cc 01 3231303234304a3034383738            
25/07/25 09:16:44 0008 1                  44.792697 8.777602 cc 01 3138313130304a3030313833            
25/07/25 09:19:08 0009 1                  44.792702 8.777633 cc 01 3231313130304a3032323734            
25/07/25 09:19:35 0010 1                  44.792692 8.777638 cc 01 30547b98a2209580779b69a5            
25/07/25 09:21:52 0011 1                  44.796258 8.781492 cc 01 313831323045303130363736            
25/07/25 09:23:07 0012 1                  44.794947 8.783102 cc 01 313931313030433030323130            
25/07/25 09:25:23 0013 1                  44.794627 8.783165 cc 01 313931323043303036323535            
25/07/25 09:25:35 0014 1                  44.794622 8.783170 cc 01 3233303234304a3031323436            
25/07/25 09:25:40 0015 1                  44.794618 8.783170 cc 01 31383234304a303030303036            
25/07/25 09:34:22 0016 1                  44.807417 8.790138 cc 01 3231313130304a3030353436            
25/07/25 09:35:38 0017 1                  44.807488 8.790150 cc 01 3234313130304a3030313436            
25/07/25 09:37:25 0018 1                  44.807755 8.788922 cc 01 3232313130304a3030323034            
25/07/25 09:38:39 0019 1                  44.807753 8.788912 cc 01 3138313130304a3030303638            
25/07/25 09:39:33 0020 1                  44.807732 8.788903 cc 01 3139313130304a3031303634            
25/07/25 09:48:53 0021 1                  44.789182 8.783863 cc 01 313832343045303035303732            
25/07/25 09:54:09 0022 1                  44.796513 8.777170 cc 01 3234303234304a3030373235            
25/07/25 09:54:10 0023 1                  44.796513 8.777170 cc 01 3234313130304a3030333532            
25/07/25 09:54:14 0024 1                  44.796510 8.777170 cc 01 3234313130304a3030313332            
25/07/25 09:54:15 0025 1                  44.796510 8.777168 cc 01 30340bd1d82150ac3edca804            
25/07/25 09:54:28 0026 1                  44.796503 8.777155 cc 01 3234303234304a3030363035            
25/07/25 09:57:33 0027 1                  44.803237 8.774038 cc 01 3233313130304a3030313331            
25/07/25 09:57:39 0028 1                  44.803230 8.774023 cc 01 3233303234304a3031303131            
25/07/25 10:03:29 0029 1                  44.804665 8.772555 cc 01 3234313130304a3030313432            
25/07/25 10:03:31 0030 1                  44.804665 8.772555 cc 01 313831313030533031313630            
25/07/25 10:03:32 0031 1                  44.804665 8.772553 cc 01 31383132304a303138343438            
25/07/25 10:10:11 0032 1                  44.803410 8.782413 cc 01 3138313130304a3030303239            
25/07/25 10:11:08 0033 1                  44.803412 8.782437 cc 01 3138313130304a3030303536            
25/07/25 10:14:53 0034 1                  44.804178 8.781817 cc 01 3138313130304a3030303537            
25/07/25 10:15:35 0035 1                  44.804207 8.781918 cc 01 313831313030533031313531            
25/07/25 10:17:54 0036 1                  44.802670 8.779990 cc 01 111080000000000556922995            
25/07/25 10:18:08 0037 1                  44.802685 8.779990 cc 01 3138313130304a3030303936            
25/07/25 10:19:00 0038 1                  44.802685 8.779978 cc 01 3138313130304a3030303136            
25/07/25 10:20:12 0039 1                  44.802687 8.779933 cc 01 313931313030433030303834            
25/07/25 10:21:12 0040 1                  44.802692 8.779947 cc 01 3138313130304a3030303937            
25/07/25 10:27:42 0041 1                  44.793078 8.783790 cc 01 30340c13945ed01fd3571404            
25/07/25 10:27:43 0042 1                  44.793078 8.783790 cc 01 313932343045303030353034            
25/07/25 10:27:45 0043 1                  44.793065 8.783782 cc 01 31383033304d303031333737            
25/07/25 10:27:55 0044 1                  44.793027 8.783773 cc 01 313932343045303030353536            
25/07/25 10:32:20 0045 1                  44.783897 8.789247 cc 01 3233303234304a3030363539            
25/07/25 12:06:13 0000 s 02538ver01 44.753395 8.813053 cc 01
25/07/25 12:21:02 0046 1                  44.794693 8.777978 cc 01 3139313130304a3031303436            
25/07/25 12:21:44 0047 1                  44.794683 8.777992 cc 01 3139313130304a3031313137            
25/07/25 12:36:02 0048 1                  44.760155 8.781997 cc 01 3231313130304a3032353336            
25/07/25 12:40:39 0049 1                  44.759472 8.784603 cc 01 323030323545303032373338            
25/07/25 12:40:40 0050 1                  44.759472 8.784603 cc 01 3230303033304d3037373933            
25/07/25 12:52:42 0051 1                  44.759583 8.785685 cc 01 313931323043303133383039            
25/07/25 12:54:23 0052 1                  44.759760 8.785658 cc 01 313931323043303133393336            
25/07/25 12:56:14 0053 1                  44.760163 8.785765 cc 01 3230303033304d3031363334            
25/07/25 12:56:25 0054 1                  44.760163 8.785768 cc 01 e2003009290d0075175060bb            
25/07/25 12:58:54 0055 1                  44.760692 8.785808 cc 01 313931323043303133303935            
25/07/25 13:02:24 0056 1                  44.760738 8.785448 cc 01 313931323043303131353239            
25/07/25 13:04:24 0057 1                  44.761177 8.785723 cc 01 313931323043303133353730            
25/07/25 13:04:43 0058 1                  44.761205 8.785790 cc 01 3035ebb718177244118d24a3            
