26/07/25 05:04:32 0000 s 00562ver01 44.753212 8.812495 pp 01
26/07/25 05:26:10 0001 1                  0 0 pp 01 323032323036323330303034            
26/07/25 05:32:21 0002 1                  0 0 pp 01 313931323050303131313232            
26/07/25 05:35:01 0003 1                  0 0 pp 01 3231303234304a3031333232            
26/07/25 05:37:48 0004 1                  0 0 pp 01 313931323050303131373733            
26/07/25 05:38:57 0005 1                  0 0 pp 01 31383033304d303031303934            
26/07/25 05:38:58 0006 1                  0 0 pp 01 313931323050303036363536            
26/07/25 05:43:45 0007 1                  0 0 pp 01 3231303234304a3030303330            
26/07/25 05:43:51 0008 1                  0 0 pp 01 e28068940000502a9801cd50            
26/07/25 05:43:52 0009 1                  0 0 pp 01 31383234304a303030313835            
26/07/25 05:46:44 0010 1                  0 0 pp 01 313931323050303035333533            
26/07/25 05:50:31 0011 1                  0 0 pp 01 313932343050303030343532            
26/07/25 05:53:33 0012 1                  0 0 pp 01 3231303033304d3033303436            
26/07/25 05:55:05 0013 1                  0 0 pp 01 3231303234304a3031333437            
26/07/25 06:01:05 0014 1                  0 0 pp 01 3231303234304a3030303638            
26/07/25 06:04:15 0015 1                  0 0 pp 01 3234303032334d3030343834            
26/07/25 06:07:28 0016 1                  0 0 pp 01 3233303234304a3030353936            
26/07/25 06:15:18 0017 1                  0 0 pp 01 3234303033304d3030333338            
26/07/25 06:18:16 0018 1                  0 0 pp 01 3234303132304a3031303737            
26/07/25 06:22:06 0019 1                  0 0 pp 01 3034f80cb40e018ab41dd180            
26/07/25 06:22:58 0020 1                  0 0 pp 01 3234303033304d3030333935            
26/07/25 06:31:13 0021 1                  0 0 pp 01 3231303033304d3032353834            
26/07/25 06:32:51 0022 1                  0 0 pp 01 323030323545303031383530            
26/07/25 06:33:34 0023 1                  0 0 pp 01 313931323050303036333432            
26/07/25 06:36:22 0024 1                  0 0 pp 01 3234303132304a3030323533            
26/07/25 06:53:38 0025 1                  44.761481 8.786626 pp 01 3234303033304d3030333837            
26/07/25 06:54:15 0026 1                  44.761265 8.786696 pp 01 3231303234304a3031333130            
26/07/25 06:55:25 0027 1                  44.760932 8.785988 pp 01 3234303234304a3030343231            
26/07/25 06:56:54 0028 1                  44.761252 8.785784 pp 01 313931323050303036363439            
26/07/25 06:59:14 0029 1                  44.761039 8.785838 pp 01 3234303234304a3030333638            
26/07/25 06:59:21 0030 1                  44.761039 8.785838 pp 01 3233303234304a3030353933            
26/07/25 06:59:27 0031 1                  44.760278 8.786459 pp 01 323030323545303034343337            
26/07/25 07:03:36 0032 1                  44.760278 8.786459 pp 01 3231303234304a3031333137            
26/07/25 07:11:48 0033 1                  44.760278 8.786459 pp 01 313931323050303037323532            
26/07/25 07:15:28 0034 1                  44.760278 8.786459 pp 01 3234303033304d3030333436            
26/07/25 07:23:52 0035 1                  44.758884 8.789750 pp 01 3231303033304d3033303332            
26/07/25 07:28:21 0036 1                  44.758884 8.789750 pp 01 313931323050303032313539            
26/07/25 07:30:58 0037 1                  44.760039 8.790573 pp 01 313932343050303030353536            
26/07/25 07:31:49 0038 1                  44.760111 8.789572 pp 01 313932343050303030323134            
26/07/25 07:35:13 0039 1                  44.760310 8.789397 pp 01 3234303033304d3031343439            
26/07/25 07:36:42 0040 1                  44.760310 8.789397 pp 01 3231303033304d3032393635            
26/07/25 07:56:27 0041 1                  44.758993 8.787367 pp 01 3235303234304a3030333033            
26/07/25 08:04:26 0042 1                  44.758993 8.787367 pp 01 3231313130304a3030373734            
26/07/25 08:06:05 0043 1                  44.761986 8.784459 pp 01 3231313130304a3030373937            
26/07/25 08:39:03 0000 s 00562ver01 44.755920 8.799400 pp 01
