01/08/25 05:03:41 0000 s 02028ver01 44.753028 8.812337 ss 01
01/08/25 05:18:25 0000 s 02028ver01 44.757710 8.798815 ss 01
01/08/25 05:21:13 0000 s 02028ver01 44.760590 8.792643 ss 01
01/08/25 05:36:32 0001 1                  0 0 ss 01 323032323036323330303238            
01/08/25 05:39:36 0002 1                  0 0 ss 01 323030323545303033363536            
01/08/25 05:39:37 0003 1                  0 0 ss 01 3231303132304a3036363231            
01/08/25 05:41:17 0004 1                  0 0 ss 01 3235303032334d3030393231            
01/08/25 05:41:20 0005 1                  0 0 ss 01 3235303132304a3031333136            
01/08/25 05:44:47 0006 1                  0 0 ss 01 31383132304a303034323434            
01/08/25 05:46:14 0007 1                  0 0 ss 01 313931323053303131303632            
01/08/25 05:47:47 0008 1                  0 0 ss 01 31383132304a303032363030            
01/08/25 05:51:33 0009 1                  0 0 ss 01 31383132304a303035343532            
01/08/25 05:51:35 0010 1                  0 0 ss 01 31383032334d303039303835            
01/08/25 05:53:57 0011 1                  0 0 ss 01 31383132304a303032363138            
01/08/25 05:55:22 0012 1                  0 0 ss 01 31383132304a303032343338            
01/08/25 05:56:40 0013 1                  0 0 ss 01 31383032334d303039313131            
01/08/25 05:56:41 0014 1                  0 0 ss 01 31383032334d303039313136            
01/08/25 05:58:31 0015 1                  0 0 ss 01 31383132304a303032393437            
01/08/25 05:58:34 0016 1                  0 0 ss 01 31383132306a303032393437            
01/08/25 06:01:54 0017 1                  44.767738 8.700145 ss 01 31383032334d303031333732            
01/08/25 06:01:55 0018 1                  44.767741 8.700169 ss 01 31383132304a383035343330            
01/08/25 06:01:56 0019 1                  44.767743 8.700178 ss 01 3035ebb3203a8ac80003ffad            
01/08/25 06:01:58 0020 1                  44.767743 8.700178 ss 01 3035ebb3200c50c800040861            
01/08/25 06:02:02 0021 1                  44.767727 8.700153 ss 01 3035ebb320261148000400c3            
01/08/25 06:02:14 0022 1                  44.767714 8.700177 ss 01 3035ebb3203a584800040d55            
01/08/25 06:03:55 0023 1                  44.768246 8.699073 ss 01 31383132304a303032313330            
01/08/25 06:04:22 0024 1                  44.768273 8.699073 ss 01 313831323045303033313834            
01/08/25 06:05:49 0025 1                  44.768329 8.699074 ss 01 3231303132304a3034393734            
01/08/25 06:07:18 0026 1                  44.768627 8.698962 ss 01 31383132304a303036393530            
