06/08/25 05:08:25 0000 s 02547ver01 44.753032 8.812328 ss 01
06/08/25 05:24:59 0001 1                  44.679892 8.812885 ss 01 3231303132304a3039333838            
06/08/25 05:25:19 0002 1                  44.679873 8.812918 ss 01 3232303234304a3030323931            
06/08/25 05:26:12 0003 1                  44.679760 8.813457 ss 01 3231303132304a3031303135            
06/08/25 05:26:13 0004 1                  44.679760 8.813457 ss 01 3231303132304a3031303137            
06/08/25 05:28:40 0005 1                  44.674870 8.817615 ss 01 3231303132304a3030383830            
06/08/25 05:28:41 0006 1                  44.674870 8.817615 ss 01 313931323053303037343530            
06/08/25 05:28:43 0007 1                  44.674870 8.817615 ss 01 31393132b053303037343530            
06/08/25 05:29:29 0009 1                  44.674870 8.817608 ss 01 3231303132304a3033323739            
06/08/25 05:32:20 0010 1                  44.661997 8.827587 ss 01 004400450006000400070043            
06/08/25 05:34:24 0011 1                  44.652802 8.830302 ss 01 3231303132304a3039393134            
06/08/25 05:45:10 0012 1                  44.615020 8.844538 ss 01 004400460004000400069397            
06/08/25 05:45:52 0013 1                  44.615337 8.843450 ss 01 31383132304a303030393332            
06/08/25 05:45:53 0014 1                  44.615343 8.843452 ss 01 3035ebb3200b6208000404b9            
06/08/25 05:46:01 0015 1                  44.615352 8.843452 ss 01 3035ebb3200b0c4800040ac4            
06/08/25 05:49:19 0016 1                  44.613758 8.842997 ss 01 303acb034151a919d8b6376e            
06/08/25 05:49:21 0017 1                  44.613758 8.842997 ss 01 303ac8e9c14186d9d8b641a8            
06/08/25 05:49:22 0018 1                  44.613760 8.843003 ss 01 3231303132304a3030363639            
06/08/25 05:49:24 0019 1                  44.613760 8.843010 ss 01 303ac8e9c05bfa9c98e8562f            
06/08/25 05:51:42 0020 1                  44.616688 8.842783 ss 01 313931313030533030313434            
06/08/25 05:52:43 0021 1                  44.616730 8.842780 ss 01 313931313030533030313435            
06/08/25 05:55:17 0022 1                  44.617897 8.842098 ss 01 004400450006000400071288            
06/08/25 05:55:23 0023 1                  44.617910 8.842108 ss 01 004400460004000400079196            
06/08/25 05:56:43 0024 1                  44.618453 8.842555 ss 01 31383234304a303030303635            
06/08/25 05:56:49 0025 1                  44.618507 8.842483 ss 01 004400450006000400065173            
06/08/25 05:57:03 0026 1                  44.618603 8.842412 ss 01 004400460004000400072777            
06/08/25 05:58:06 0027 1                  44.619177 8.842333 ss 01 004400460004000400068537            
