07/08/25 04:46:35 0000 s 02540ver01 44.753030 8.812135 vv 01
07/08/25 05:32:30 0001 1                  44.770698 8.728085 vv 01 31383234304a303031343732            
07/08/25 05:34:16 0002 1                  44.769808 8.727250 vv 01 31383234304a303032373939            
07/08/25 05:38:26 0003 1                  44.771320 8.727270 vv 01 31383234304a703033323933            
07/08/25 05:39:41 0004 1                  44.770928 8.727137 vv 01 3234303234304a3030383633            
07/08/25 05:40:16 0005 1                  44.770888 8.727117 vv 01 3231303234304a3032303131            
07/08/25 05:43:19 0006 1                  44.770105 8.724762 vv 01 31383234304a303030373233            
07/08/25 05:50:45 0007 1                  44.770283 8.725950 vv 01 31383234304a303030373330            
07/08/25 05:58:48 0008 1                  44.770965 8.723918 vv 01 31383132304a303234383735            
07/08/25 06:00:29 0000 s 02540ver01 44.770730 8.723543 vv 01
07/08/25 06:01:28 0009 1                  44.770702 8.723563 vv 01 31383234304a303030383930            
07/08/25 06:03:47 0010 1                  44.770438 8.723270 vv 01 30396061c3bcb2c0000f08d5            
07/08/25 06:10:11 0011 1                  44.769163 8.716510 vv 01 31383234304a303030343630            
07/08/25 06:10:25 0012 1                  44.769158 8.716548 vv 01 3234303234304a3030303031            
07/08/25 06:18:14 0013 1                  44.768847 8.710002 vv 01 31383234304a303031323634            
07/08/25 06:28:36 0014 1                  44.767160 8.706352 vv 01 31383234304a303030373735            
07/08/25 06:36:16 0015 1                  44.768222 8.710955 vv 01 31383234304a303030373633            
07/08/25 06:36:22 0016 1                  44.768217 8.710968 vv 01 31383132304a303235323832            
07/08/25 06:36:25 0017 1                  44.768220 8.710968 vv 01 31383032334d303137383430            
07/08/25 06:36:32 0018 1                  44.768232 8.710950 vv 01 31383132304a303034363936            
07/08/25 06:37:37 0019 1                  44.768387 8.711033 vv 01 31383234304a303030383939            
07/08/25 06:46:47 0020 1                  44.768512 8.704477 vv 01 31383234304a303031323132            
07/08/25 06:46:58 0021 1                  44.768518 8.704465 vv 01 3234303234304a3030313630            
07/08/25 06:49:59 0023 1                  44.767972 8.703810 vv 01 31383234304a303031333438            
07/08/25 07:01:42 0024 1                  44.765937 8.704583 vv 01 31383234304a303030373639            
07/08/25 08:04:19 0026 1                  44.768992 8.701030 vv 01 31383234304a303031333436            
07/08/25 08:05:14 0027 1                  44.769025 8.701588 vv 01 31383234304a303030343638            
07/08/25 08:13:47 0000 s 02540ver01 44.769212 8.704293 vv 01
07/08/25 09:18:08 0028 1                  44.770237 8.706863 vv 01 3232303234304a3030323739            
07/08/25 09:23:19 0029 1                  44.770733 8.705063 vv 01 3234303234304a3031303330            
07/08/25 09:23:27 0030 1                  44.770718 8.705032 vv 01 3234303032334d3032323330            
07/08/25 09:25:39 0031 1                  44.771393 8.702960 vv 01 31383234304a303033333635            
07/08/25 09:25:47 0032 1                  44.771395 8.702948 vv 01 31383234304a303032363835            
07/08/25 09:29:09 0033 1                  44.770408 8.703505 vv 01 31383234304a303032373539            
07/08/25 09:31:03 0034 1                  44.770478 8.704223 vv 01 31383234304a303033333536            
07/08/25 09:33:32 0035 1                  44.770145 8.704843 vv 01 31383234304a303032383330            
07/08/25 09:34:59 0036 1                  44.769865 8.704672 vv 01 31383234304a303032383331            
07/08/25 09:37:12 0037 1                  44.769312 8.702065 vv 01 31383234304a303030343730            
07/08/25 09:43:40 0038 1                  44.770435 8.701825 vv 01 31383032334d303033343531            
07/08/25 09:43:50 0039 1                  44.770427 8.701823 vv 01 31383234304a303032373535            
07/08/25 09:51:35 0040 1                  44.769700 8.699672 vv 01 31383234304a303030343733            
07/08/25 09:55:16 0041 1                  44.770947 8.699438 vv 01 31383234304a303030393732            
07/08/25 10:11:13 0042 1                  44.768122 8.714238 vv 01 31383235304a303030343732            
07/08/25 10:12:42 0043 1                  44.767777 8.713662 vv 01 31383234304a303032343537            
07/08/25 10:16:56 0044 1                  44.768642 8.714740 vv 01 31383234304a303031323830            
07/08/25 10:17:53 0045 1                  44.768680 8.714728 vv 01 31383234304a303032343535            
07/08/25 10:18:39 0046 1                  44.768642 8.714382 vv 01 31383234304a303032343437            
07/08/25 10:19:58 0047 1                  44.768625 8.714083 vv 01 31383234304a303032343533            
07/08/25 10:21:10 0048 1                  44.768547 8.714085 vv 01 31383234304a303030343632            
07/08/25 10:31:56 0049 1                  44.768885 8.727752 vv 01 31383234304a303032333835            
07/08/25 10:35:16 0050 1                  44.769615 8.726850 vv 01 31383132304a303133393634            
07/08/25 10:36:48 0051 1                  44.769633 8.727435 vv 01 3234303234304a30313081cf            
07/08/25 10:38:03 0052 1                  44.769645 8.727457 vv 01 3235303234304a3030383637            
07/08/25 10:39:20 0053 1                  44.769670 8.728218 vv 01 3233303234304a3031323133            
