08/08/25 04:59:38 0000 s 02027ver01 44.752995 8.812312 xx 01
08/08/25 09:41:51 0001 1                  0 0 xx 01 323032323036323330303237            
08/08/25 09:52:56 0000 s 02027ver01 44.752797 8.812823 xx 01
08/08/25 10:09:10 0002 1                  44.762296 8.783650 xx 01 3233303234304a3031303938            
08/08/25 10:11:14 0003 1                  44.762238 8.783683 xx 01 3232303234304a3030383431            
08/08/25 10:13:07 0004 1                  44.762205 8.784128 xx 01 31383132304a303138343936            
08/08/25 10:13:07 0005 1                  44.762205 8.784128 xx 01 31383132304a303138343332            
08/08/25 10:26:47 0006 1                  44.762115 8.784973 xx 01 31383234304a303030313730            
08/08/25 10:26:52 0007 1                  44.762115 8.784973 xx 01 31383234304a303030313731            
08/08/25 10:27:10 0008 1                  44.761931 8.785543 xx 01 31383132304a303138343437            
08/08/25 10:30:14 0009 1                  44.762220 8.785601 xx 01 313831323045303138323737            
08/08/25 10:31:44 0010 1                  44.762456 8.786846 xx 01 31383234304a303030303039            
08/08/25 10:31:48 0011 1                  44.762456 8.786846 xx 01 31383132304a303138343534            
08/08/25 10:33:00 0012 1                  44.762456 8.786846 xx 01 31383132304a303138343331            
08/08/25 10:36:49 0013 1                  44.761671 8.787768 xx 01 31383234304a303030303535            
08/08/25 10:38:27 0014 1                  44.760555 8.790300 xx 01 3232303234304a3030383731            
08/08/25 10:40:18 0015 1                  44.759483 8.790783 xx 01 31383132304a303138333731            
08/08/25 10:46:01 0016 1                  44.760241 8.789686 xx 01 31383132304a303138333430            
08/08/25 10:47:31 0017 1                  44.761273 8.785813 xx 01 31383132304a303138343439            
08/08/25 10:47:40 0018 1                  44.761273 8.785813 xx 01 31383132304a303138343132            
08/08/25 10:48:52 0019 1                  44.761586 8.785693 xx 01 31383132304a303138333730            
08/08/25 10:55:09 0020 1                  44.759951 8.789386 xx 01 313831323045303138343532            
08/08/25 10:56:55 0021 1                  44.759798 8.788596 xx 01 31383132304a303138323830            
08/08/25 11:01:06 0022 1                  44.760485 8.786796 xx 01 31383132304a303138343638            
08/08/25 11:01:08 0023 1                  44.760485 8.786796 xx 01 31383132304a303138343933            
08/08/25 11:03:09 0024 1                  44.760485 8.786796 xx 01 31383132304a303138333438            
08/08/25 11:05:33 0025 1                  44.760485 8.786796 xx 01 31383132304a303138323634            
08/08/25 11:10:35 0026 1                  44.758643 8.784300 xx 01 31383234304a303030313535            
08/08/25 11:37:52 0027 1                  44.761853 8.794761 uu 01 323031323055303030323032            
08/08/25 11:39:30 0028 1                  44.761693 8.795010 uu 01 31383032334d303036313335            
08/08/25 11:40:14 0029 1                  44.761653 8.794911 uu 01 31383032334d303136343430            
08/08/25 11:40:41 0030 1                  44.761651 8.795196 uu 01 323030323545303032343237            
08/08/25 11:41:05 0031 1                  44.761728 8.795478 uu 01 31383032334d303036303236            
08/08/25 11:41:41 0032 1                  44.761676 8.795370 uu 01 31383032334d303135373339            
08/08/25 11:42:04 0033 1                  44.761676 8.795370 uu 01 31383032334d303135363134            
08/08/25 11:43:51 0034 1                  44.762051 8.794903 uu 01 31383032334d303135393532            
08/08/25 11:44:24 0035 1                  44.761160 8.795255 uu 01 31383032334d303135393737            
08/08/25 11:45:00 0036 1                  44.761466 8.795243 uu 01 31383032334d303036313930            
08/08/25 11:45:02 0037 1                  44.761466 8.795243 uu 01 31383032334d303135393138            
08/08/25 11:45:34 0038 1                  44.761466 8.795243 uu 01 3233303032334d3030393035            
08/08/25 11:45:38 0039 1                  44.761466 8.795243 uu 01 31387032334d303037303130            
08/08/25 11:45:43 0040 1                  44.761466 8.795243 uu 01 3233303032334d3031303539            
08/08/25 11:45:45 0041 1                  44.761225 8.795423 uu 01 31383032334d303036323738            
08/08/25 11:45:55 0042 1                  44.761225 8.795423 uu 01 31383032334d303036323739            
08/08/25 11:46:02 0043 1                  44.761225 8.795423 uu 01 3231303032334d3032343832            
08/08/25 11:46:48 0044 1                  44.761155 8.795593 uu 01 323030323545303033343834            
08/08/25 11:47:31 0045 1                  44.761085 8.795780 uu 01 323030323545303033363232            
08/08/25 11:47:35 0046 1                  44.761095 8.795785 uu 01 31383032334d303036363432            
08/08/25 11:47:43 0047 1                  44.761061 8.795806 uu 01 323030323545303033333231            
08/08/25 11:47:53 0048 1                  44.761061 8.795806 uu 01 323030323545303031333530            
08/08/25 11:48:28 0049 1                  44.761036 8.795898 uu 01 31383032334d303036313734            
08/08/25 11:48:44 0050 1                  44.760930 8.796290 uu 01 3234303032334d3030373639            
08/08/25 11:49:26 0051 1                  44.760903 8.796196 uu 01 31383032334d303036303234            
08/08/25 11:50:02 0052 1                  44.760836 8.796373 uu 01 31383032334d303036313830            
08/08/25 11:51:08 0053 1                  44.760668 8.796660 uu 01 323031323055303030333237            
