09/08/25 05:03:35 0000 s 01428ver01 44.753417 8.812337 ss 01
09/08/25 05:12:46 0001 1                  44.753400 8.812187 ss 01 313931323043303033383131            
09/08/25 05:44:39 0002 1                  44.750348 8.746690 ss 01 31383132304A303138313135            
09/08/25 05:54:18 0003 1                  44.728368 8.712683 ss 01 313931323053303036373431            
09/08/25 05:54:37 0004 1                  44.728367 8.712673 ss 01 31383132304A303034353436            
09/08/25 05:58:47 0005 1                  44.721508 8.720903 ss 01 313931323045303030333531            
09/08/25 06:04:57 0006 1                  44.709652 8.735688 ss 01 313931323053303036373036            
09/08/25 06:07:17 0007 1                  44.710165 8.734822 ss 01 313931323053303036373037            
09/08/25 06:07:17 0008 1                  44.710165 8.734822 ss 01 313931323053303035383136            
09/08/25 06:09:38 0009 1                  44.709875 8.735320 ss 01 313931323053303035333139            
09/08/25 06:17:50 0010 1                  44.707642 8.715885 ss 01 313931323053303030303135            
09/08/25 06:19:34 0011 1                  44.709285 8.712842 ss 01 313931323053303030393633            
09/08/25 06:22:16 0012 1                  44.712290 8.707392 ss 01 313931323053303031393034            
09/08/25 06:22:19 0013 1                  44.712293 8.707395 ss 01 303ACB0343A78B99D8B7A3A8            
09/08/25 06:24:53 0014 1                  44.716138 8.704332 ss 01 313931323053303035393432            
09/08/25 06:27:48 0015 1                  44.722998 8.702342 ss 01 313931323053303030363232            
09/08/25 06:29:31 0016 1                  44.723638 8.701643 ss 01 313931323053303030363233            
09/08/25 06:31:17 0017 1                  44.724272 8.700403 ss 01 313931323053303036323832            
09/08/25 06:40:30 0018 1                  44.739558 8.714858 ss 01 313931313030533030333234            
09/08/25 06:47:43 0019 1                  44.749293 8.712277 ss 01 31383132304A303035313731            
09/08/25 06:48:11 0020 1                  44.749293 8.712318 ss 01 31383132304A303035313636            
09/08/25 06:48:15 0021 1                  44.749293 8.712327 ss 01 B1383132304A303035313636            
09/08/25 06:59:59 0022 1                  44.745712 8.704530 ss 01 3231303132304A3036313739            
09/08/25 07:02:36 0023 1                  44.745757 8.704523 ss 01 3030303030353532323646F8            
09/08/25 07:08:50 0024 1                  44.746285 8.702955 ss 01 313931323053303030383633            
09/08/25 07:09:05 0025 1                  44.746282 8.702935 ss 01 313931323053303030383632            
09/08/25 07:09:07 0026 1                  44.746280 8.702935 ss 01 303436395C16D7220E21C405            
09/08/25 07:37:10 0027 1                  44.732878 8.685962 ss 01 30360372D84822800CD0B18E            
09/08/25 07:37:10 0028 1                  44.732878 8.685962 ss 01 5032354C543530334E323733            
09/08/25 07:37:42 0029 1                  44.732878 8.685945 ss 01 30360372D8412D000CD0A91E            
09/08/25 07:37:42 0030 1                  44.732878 8.685945 ss 01 30340C124C33D9974876ED75            
09/08/25 07:37:42 0031 1                  44.732878 8.685945 ss 01 303ACB0343A12560B02EEA1C            
09/08/25 07:37:53 0032 1                  44.732885 8.685932 ss 01 30340C05C4547322F6502404            
09/08/25 07:37:59 0033 1                  44.732887 8.685928 ss 01 3034F848FC5D4E4AB41DBDDF            
09/08/25 07:38:00 0034 1                  44.732887 8.685928 ss 01 30340C124C3AFD974876E998            
09/08/25 07:38:00 0035 1                  44.732887 8.685928 ss 01 30340C1D4059A580B7B5FC04            
09/08/25 07:38:00 0036 1                  44.732887 8.685928 ss 01 30340C124C33E8D74876EA42            
09/08/25 07:38:01 0037 1                  44.732888 8.685928 ss 01 30340C0F6C40ADA276D77804            
09/08/25 07:38:02 0038 1                  44.732888 8.685928 ss 01 303AC8E9C112B25AC688CCE4            
09/08/25 07:38:05 0039 1                  44.732890 8.685925 ss 01 30340BFFF84F21C16594C404            
09/08/25 07:38:08 0040 1                  44.732892 8.685925 ss 01 3034F848BC43C90AB41DBF1D            
09/08/25 07:38:10 0041 1                  44.732893 8.685923 ss 01 30340BF8E42E681E6EB85804            
09/08/25 07:38:22 0042 1                  44.732892 8.685930 ss 01 303AC8E9C059FF9CA190ADA7            
09/08/25 07:38:27 0043 1                  44.732883 8.685933 ss 01 30340C124C3464D74876E9D7            
09/08/25 07:39:01 0044 1                  44.732858 8.685968 ss 01 303AC8E9C0AC4799D8B67810            
09/08/25 07:41:19 0045 1                  44.732848 8.685965 ss 01 30395DFA82D752C00017A611            
09/08/25 07:41:58 0046 1                  44.732855 8.685960 ss 01 30340C1FA05F03974876ED14            
09/08/25 07:45:54 0047 1                  44.732570 8.685817 ss 01 313931323053303030373035            
09/08/25 07:47:41 0048 1                  44.731787 8.685963 ss 01 3231303132304A3038373830            
09/08/25 07:49:14 0049 1                  44.730213 8.685792 ss 01 313931323053303030353138            
09/08/25 07:49:16 0050 1                  44.730212 8.685793 ss 01 313931323053303031303835            
09/08/25 07:51:58 0051 1                  44.726418 8.683713 ss 01 313931323053303035343239            
09/08/25 07:52:07 0052 1                  44.726417 8.683710 ss 01 31383132304A303033303235            
09/08/25 07:54:37 0053 1                  44.725375 8.684548 ss 01 3231303234304A3032353233            
09/08/25 07:54:51 0054 1                  44.725363 8.684528 ss 01 323032343055303030313835            
09/08/25 07:55:14 0055 1                  44.725330 8.684465 ss 01 323032343055303030333634            
09/08/25 07:55:25 0001 7                  44.725312 8.684427 ss 01 323032343055303030333634            
09/08/25 07:55:26 0002 7                  44.725312 8.684427 ss 01 323032343055303030333634            
09/08/25 07:55:29 0003 7                  44.725310 8.684428 ss 01 323032343055303030333634            
09/08/25 07:55:35 0004 7                  44.725308 8.684427 ss 01 323032343055303030333634            
09/08/25 08:00:35 0056 1                  44.720170 8.685183 ss 01 313931313030533030313637            
09/08/25 08:00:37 0057 1                  44.720168 8.685183 ss 01 3035EBEA0824BFC8000485D7            
09/08/25 08:05:46 0058 1                  44.722337 8.685608 ss 01 313932343053303030303139            
09/08/25 08:05:47 0059 1                  44.722338 8.685608 ss 01 3034F42A8440BF4000005546            
09/08/25 08:07:37 0060 1                  44.723305 8.684375 ss 01 3233303132304A3030323431            
09/08/25 08:18:42 0061 1                  44.711482 8.690728 ss 01 201035486525300000000000            
09/08/25 08:18:46 0062 1                  44.711488 8.690730 ss 01 201035486525300000000000            
09/08/25 08:22:34 0063 1                  44.710625 8.695533 ss 01 201038746825400000000000            
09/08/25 08:22:36 0064 1                  44.710612 8.695523 ss 01 201036657422800000000000            
09/08/25 08:47:18 0000 s 01428ver01 44.729965 8.688818 ss 01
09/08/25 08:48:42 0065 1                  44.731080 8.688298 ss 01 313931313030533030313839            
09/08/25 08:54:11 0066 1                  44.729933 8.690685 ss 01 303ACB0343AD581AC688C01E            
09/08/25 08:54:13 0067 1                  44.729935 8.690688 ss 01 303ACB0342E46359D8B63EF8            
09/08/25 08:54:15 0068 1                  44.729935 8.690692 ss 01 3035EBB3200B0A08000433F2            
09/08/25 08:54:15 0069 1                  44.729935 8.690692 ss 01 303ACB0341DCF499D8B6445F            
09/08/25 08:54:25 0070 1                  44.729937 8.690707 ss 01 303AC8E9C076BD9C9B5C2D1E            
