11/08/25 04:53:26 0000 s 02547ver01 44.753110 8.812543 pp 01
11/08/25 05:12:29 0001 1                  44.679905 8.812947 pp 01 313931323050303039313232            
11/08/25 05:12:43 0002 1                  44.679877 8.812958 pp 01 3231303032334d3035303437            
11/08/25 05:13:48 0003 1                  44.679732 8.813507 pp 01 313931323050303032393237            
11/08/25 05:13:53 0004 1                  44.679730 8.813505 pp 01 313931323050303032393330            
11/08/25 05:14:06 0005 1                  44.679708 8.813507 pp 01 313931323050303032393238            
11/08/25 05:16:24 0006 1                  44.674820 8.817683 pp 01 313931323050303037393539            
11/08/25 05:18:58 0007 1                  44.661848 8.827912 pp 01 31383132304a303230363132            
11/08/25 05:20:56 0008 1                  44.656117 8.830478 pp 01 323030323545303031373033            
11/08/25 05:21:00 0009 1                  44.656097 8.830440 pp 01 313931323050303130353439            
11/08/25 05:22:24 0010 1                  44.652707 8.830362 pp 01 313931323050303038363638            
11/08/25 05:22:27 0011 1                  44.652702 8.830357 pp 01 3231303032334d3035383535            
11/08/25 05:23:29 0012 1                  44.652510 8.830357 pp 01 31383132304a303230313636            
11/08/25 05:23:48 0013 1                  44.652497 8.830335 pp 01 31383032334d303038303634            
11/08/25 05:23:50 0014 1                  44.652497 8.830335 pp 01 31383032374d303038303634            
11/08/25 05:31:25 0015 1                  44.633518 8.842905 pp 01 31383132304a303230383636            
11/08/25 05:35:17 0016 1                  44.615040 8.844157 pp 01 31383132304a303230373931            
11/08/25 05:36:24 0017 1                  44.615467 8.843382 pp 01 31383032334d303138353538            
11/08/25 05:36:25 0018 1                  44.615460 8.843382 pp 01 3235303032334d3030353330            
11/08/25 05:36:29 0019 1                  44.615462 8.843385 pp 01 31383132304a303236373038            
11/08/25 05:36:39 0020 1                  44.615473 8.843393 pp 01 31383033304d303033323638            
11/08/25 05:39:25 0021 1                  44.613352 8.842763 pp 01 31383132304a303139393832            
11/08/25 05:40:54 0022 1                  44.614277 8.842590 pp 01 31383132304a303139393831            
11/08/25 05:43:39 0023 1                  44.617195 8.842342 pp 01 31383032334d303033383633            
11/08/25 05:43:42 0024 1                  44.617207 8.842337 pp 01 31383132304a303230303935            
11/08/25 05:44:41 0025 1                  44.617408 8.842373 pp 01 313931323050303034303735            
11/08/25 05:44:52 0026 1                  44.617408 8.842387 pp 01 303aca4981afb3dc45aa49c7            
11/08/25 05:46:18 0027 1                  44.617897 8.842385 pp 01 313931323050303035303833            
11/08/25 05:49:47 0028 1                  44.618342 8.841993 pp 01 3231303033304d3032383430            
11/08/25 05:50:22 0029 1                  44.618318 8.842170 pp 01 313932343045303030363437            
11/08/25 05:50:23 0030 1                  44.618315 8.842172 pp 01 3231303132304a3035323935            
11/08/25 05:50:25 0031 1                  44.618315 8.842172 pp 01 3231303132304a3035323936            
11/08/25 05:50:37 0032 1                  44.618340 8.842188 pp 01 313932343045303030363435            
11/08/25 05:52:15 0033 1                  44.618527 8.842478 pp 01 31383234304a303030303635            
11/08/25 05:52:36 0034 1                  44.618553 8.842468 pp 01 35383132304a303230333535            
11/08/25 05:52:37 0035 1                  44.618557 8.842468 pp 01 31383132304a303230333535            
11/08/25 05:53:40 0036 1                  44.618795 8.842375 pp 01 31783032334d303037363234            
11/08/25 05:53:46 0037 1                  44.618827 8.842385 pp 01 31383032334d303037363234            
11/08/25 05:54:53 0038 1                  44.618873 8.842592 pp 01 313931323050303035383531            
11/08/25 05:56:00 0039 1                  44.619073 8.842568 pp 01 3233303033304d3030333230            
