14/08/25 05:30:46 0000 s 02542ver01 44.753165 8.812458 ss 01
14/08/25 05:58:52 0001 1                  44.770528 8.801060 ss 01 3231303132304a3038313135            
14/08/25 06:00:35 0002 1                  44.770370 8.801323 ss 01 313931323043303036393934            
14/08/25 06:00:37 0003 1                  44.770370 8.801323 ss 01 313931323050303038373436            
14/08/25 06:01:37 0000 s 02542ver01 44.770385 8.801247 ss 01
14/08/25 06:02:13 0004 1                  44.770363 8.801227 ss 01 313931323050303038373436            
14/08/25 06:02:16 0005 1                  44.770365 8.801227 ss 01 3231303132304a3030303836            
14/08/25 06:02:53 0006 1                  44.770380 8.801235 ss 01 3232303132304a3030363336            
14/08/25 06:03:36 0007 1                  44.770472 8.801387 ss 01 313931323053303035353934            
14/08/25 06:06:11 0009 1                  44.769658 8.800732 ss 01 3231303033304d3030343338            
14/08/25 06:06:12 0010 1                  44.769647 8.800735 ss 01 3231303033304d3033333535            
14/08/25 06:06:14 0011 1                  44.769640 8.800733 ss 01 3230303033304d3030353439            
14/08/25 06:07:32 0012 1                  44.769518 8.801112 ss 01 3232303132304a3030343036            
14/08/25 06:09:04 0013 1                  44.769243 8.801263 ss 01 3231303033304d3034373036            
14/08/25 06:09:12 0014 1                  44.769255 8.801268 ss 01 3231313130304a3031303439            
14/08/25 06:09:13 0015 1                  44.769255 8.801268 ss 01 3231303132304a3033303735            
14/08/25 06:11:17 0016 1                  44.769322 8.801287 ss 01 313931323053303035383430            
14/08/25 06:14:11 0017 1                  44.769688 8.801503 ss 01 3231303132304a3037313334            
14/08/25 06:14:21 0018 1                  44.769707 8.801510 ss 01 3231303132304a3035393236            
14/08/25 06:16:05 0019 1                  44.769242 8.802328 ss 01 3231303132304a3034343132            
14/08/25 06:16:06 0020 1                  44.769242 8.802328 ss 01 3231303132304a3032383232            
14/08/25 06:16:34 0021 1                  44.769252 8.802340 ss 01 3234303132304a3031353533            
14/08/25 06:18:01 0022 1                  44.768977 8.802553 ss 01 3231303132304a3033303736            
14/08/25 06:18:05 0023 1                  44.768973 8.802550 ss 01 3035ebb32026114800040d34            
14/08/25 06:23:57 0024 1                  44.766827 8.803350 ss 01 313931323050303034363538            
14/08/25 06:24:05 0025 1                  44.766822 8.803347 ss 01 313931323050303034363536            
14/08/25 06:34:35 0026 1                  44.765252 8.801600 ss 01 3231303132304a3031373930            
14/08/25 06:34:42 0027 1                  44.765245 8.801612 ss 01 3232303132304a3030313030            
14/08/25 06:36:48 0028 1                  44.766183 8.799893 ss 01 30395dfa82f1680000162701            
14/08/25 06:36:49 0029 1                  44.766183 8.799888 ss 01 3231303132304a3036333932            
14/08/25 06:36:56 0030 1                  44.766183 8.799870 ss 01 313931323043303132353233            
14/08/25 06:37:13 0031 1                  44.766187 8.799837 ss 01 3231303032334d3033343838            
14/08/25 06:37:47 0032 1                  44.766202 8.799467 ss 01 3231303132304a3031303735            
14/08/25 06:38:10 0033 1                  44.766193 8.799450 ss 01 3231303032334d3030343530            
14/08/25 06:38:12 0034 1                  44.766193 8.799447 ss 01 313931323043303133393637            
14/08/25 06:39:06 0037 1                  44.766262 8.799118 ss 01 3234303132304a3030363535            
14/08/25 06:39:15 0038 1                  44.766260 8.799100 ss 01 3231303132304a3030373532            
14/08/25 06:39:32 0039 1                  44.766258 8.799087 ss 01 3231303132304a3032323930            
14/08/25 06:39:51 0040 1                  44.766255 8.799078 ss 01 233012419909910002010000            
14/08/25 06:46:35 0041 1                  44.766810 8.798323 ss 01 3231303132304a3033313039            
14/08/25 06:46:58 0042 1                  44.766805 8.798300 ss 01 3231303132304a3039323539            
14/08/25 06:49:25 0043 1                  44.767505 8.796968 ss 01 303ac8e9c05a875ac688d71e            
14/08/25 06:54:19 0044 1                  44.768025 8.793323 ss 01 3231303132304a3031393639            
14/08/25 06:54:21 0045 1                  44.768023 8.793318 ss 01 3231303132304a3033333238            
14/08/25 06:54:28 0046 1                  44.768017 8.793302 ss 01 30340c045010f52540be468f            
14/08/25 06:59:17 0047 1                  44.769038 8.795128 ss 01 3231303132304a3034323730            
14/08/25 07:00:49 0048 1                  44.769050 8.795630 ss 01 3231313130304a3031323632            
14/08/25 07:00:51 0049 1                  44.769052 8.795628 ss 01 3231303033304d3030313732            
14/08/25 07:00:52 0050 1                  44.769052 8.795628 ss 01 3231303132304a3033323039            
14/08/25 07:00:58 0051 1                  44.769050 8.795625 ss 01 3232303132304a3030323434            
14/08/25 07:01:02 0052 1                  44.769052 8.795623 ss 01 3234303132304a3031343236            
14/08/25 07:02:00 0053 1                  44.769042 8.795632 ss 01 3233303132304a3031323833            
