15/08/25 05:04:43 0000 s 02546ver01 44.753357 8.812167 uu 01
15/08/25 05:23:18 0001 1                  44.756568 8.757163 uu 01 3234303032334d3030383239            
15/08/25 05:23:28 0002 1                  44.756572 8.757168 uu 01 31383032334d303136363132            
15/08/25 05:24:14 0003 1                  44.757115 8.757252 uu 01 31383032334d303034353735            
15/08/25 05:24:38 0004 1                  44.757150 8.757230 uu 01 31383132304a303032353031            
15/08/25 05:25:38 0005 1                  44.757255 8.757288 uu 01 31383032334d303030343331            
15/08/25 05:25:40 0006 1                  44.757255 8.757290 uu 01 3231303032334d3034333034            
15/08/25 05:26:01 0007 1                  44.757265 8.757283 uu 01 31383032334d303136363536            
15/08/25 05:28:40 0008 1                  44.757548 8.756480 uu 01 31383032334d303136373534            
15/08/25 05:28:41 0009 1                  44.757547 8.756480 uu 01 3234303032334d3032323433            
15/08/25 05:28:45 0010 1                  44.757552 8.756482 uu 01 3235303132304a3031323038            
15/08/25 05:28:50 0011 1                  44.757557 8.756483 uu 01 31383132304a303033383934            
15/08/25 05:30:25 0012 1                  44.756808 8.755647 uu 01 31383032334d303031303431            
15/08/25 05:33:09 0014 1                  44.757982 8.754227 uu 01 31383032334d303136373535            
15/08/25 05:33:46 0015 1                  44.758077 8.754035 uu 01 31383032334d303032363735            
15/08/25 05:34:43 0016 1                  44.758448 8.753942 uu 01 3232303032334d3031373336            
15/08/25 05:36:27 0017 1                  44.758225 8.752945 uu 01 31383132304a303031323433            
15/08/25 05:36:38 0018 1                  44.758232 8.752960 uu 01 3234303032334d3031393833            
15/08/25 05:38:01 0019 1                  44.758133 8.753968 uu 01 31383032334d303034353332            
15/08/25 05:39:09 0020 1                  44.757753 8.755042 uu 01 31383032334d303138333533            
15/08/25 05:39:12 0021 1                  44.757748 8.755043 uu 01 31383032334d303034343238            
15/08/25 05:41:47 0022 1                  44.756512 8.750760 uu 01 323030323545303034333232            
15/08/25 05:42:32 0023 1                  44.756615 8.749430 uu 01 31383032334d303133373337            
15/08/25 05:45:39 0024 1                  44.755143 8.751357 uu 01 3231303132304a3037353433            
15/08/25 05:45:49 0025 1                  44.755147 8.751352 uu 01 3231303132304a3037353530            
15/08/25 05:49:55 0026 1                  44.752412 8.753627 uu 01 31383032334d303033323535            
15/08/25 05:52:43 0027 1                  44.752092 8.750433 uu 01 31383032334d303034343233            
15/08/25 05:54:25 0028 1                  44.751357 8.749527 uu 01 31383032334d303137373139            
15/08/25 05:57:14 0029 1                  44.750332 8.749917 uu 01 3231303032334d3032383135            
15/08/25 05:57:20 0030 1                  44.750333 8.749918 uu 01 31383132304a303039303335            
15/08/25 05:57:51 0031 1                  44.750355 8.749925 uu 01 313832343045303036323136            
15/08/25 05:58:58 0032 1                  44.751102 8.751048 uu 01 31383032334d303137363438            
15/08/25 06:00:01 0033 1                  44.750618 8.751328 uu 01 31383032334d303031333238            
15/08/25 06:00:07 0034 1                  44.750627 8.751323 uu 01 3233303032334d3030363733            
15/08/25 06:00:09 0035 1                  44.750627 8.751323 uu 01 31383032334d303137383935            
15/08/25 06:00:30 0036 1                  44.750645 8.751325 uu 01 31383032334d303031323432            
