04/11/25 04:44:41 0000 s 01887ver01 44.882178 8.859612 00 00
04/11/25 05:09:00 0000 s 01887ver01 44.882663 8.859805 00 00
04/11/25 05:34:05 0000 s 01887ver01 44.882140 8.859953 00 00
04/11/25 05:47:02 0001 1                  44.891027 8.860898 00 00 30340BBE680A05C0000F4513            
04/11/25 05:48:07 0002 1                  44.891018 8.860973 00 00 3034F839B84F9E8300000972            
04/11/25 06:03:23 0003 1                  44.895725 8.861935 00 00 3035EB5FA04FF50800047BC6            
04/11/25 06:03:30 0004 1                  44.895738 8.861913 00 00 3035EBEA0850014F224D7775            
04/11/25 06:06:41 0005 1                  44.898832 8.860905 00 00 3115D0AE14012A2621000000            
04/11/25 06:06:43 0006 1                  44.898828 8.860907 00 00 303AC8E9C0DE761AC68967EE            
04/11/25 06:06:46 0007 1                  44.898822 8.860915 00 00 30395DFA82D8D140001F2DD1            
04/11/25 06:34:39 0008 1                  44.896057 8.865100 00 00 30360394A84FA6840400309F            
04/11/25 06:49:42 0009 1                  44.896263 8.865862 00 00 30396061C063CA800002106C            
04/11/25 06:57:59 0010 1                  44.897240 8.870520 00 00 303AC8E9C15E619AC6898DA7            
04/11/25 07:08:00 0011 1                  44.898518 8.870750 00 00 511440198918919574828455            
04/11/25 07:25:08 0000 s 01887ver01 44.889233 8.859287 00 00
04/11/25 08:06:57 0000 s 01887ver01 44.882590 8.860092 00 00
04/11/25 08:10:36 0012 1                  44.882483 8.860520 00 00 3232313130304A3030323233            
04/11/25 08:12:37 0013 1                  44.882393 8.860503 00 00 3231313130304A3031313434            
04/11/25 08:55:52 0014 1                  44.896665 8.862418 00 00 30343627004476A1455F3404            
04/11/25 09:20:35 0015 1                  44.896050 8.865120 00 00 8718093C454400F3D5CFC01A            
04/11/25 11:30:23 0000 s 01887ver01 44.882122 8.859745 00 00
04/11/25 11:50:15 0016 1                  44.959240 8.928787 00 00 31383132304A303237343831            
04/11/25 11:50:28 0017 1                  44.959243 8.928778 00 00 31383132304A303237343833            
04/11/25 11:51:55 0018 1                  44.959515 8.929103 00 00 31383132304A303237343638            
04/11/25 11:53:10 0019 1                  44.960027 8.929628 00 00 31383132304A303236333738            
04/11/25 11:54:19 0020 1                  44.960198 8.929893 00 00 31383132304A303237303734            
04/11/25 11:54:37 0021 1                  44.960197 8.929892 00 00 313831323045303234313139            
04/11/25 11:56:14 0022 1                  44.960702 8.930392 00 00 31383132304A303236373236            
04/11/25 11:57:14 0023 1                  44.960955 8.930637 00 00 31383132304A303237333031            
04/11/25 11:57:14 0024 1                  44.960955 8.930637 00 00 31383132304A303237333031            
04/11/25 11:57:41 0025 1                  44.960953 8.930602 00 00 31383132304A303236323137            
04/11/25 11:58:02 0026 1                  44.960955 8.930585 00 00 313931323050303132383536            
04/11/25 11:59:09 0027 1                  44.961162 8.930878 00 00 313931323050303036393932            
04/11/25 11:59:46 0028 1                  44.961155 8.930895 00 00 3230313130304A3030363234            
04/11/25 12:01:19 0029 1                  44.961503 8.931240 00 00 31383132304A303237303237            
04/11/25 12:01:37 0030 1                  44.961520 8.931233 00 00 31383132304A303235363432            
04/11/25 12:01:39 0031 1                  44.961523 8.931230 00 00 31383132304A343235363432            
04/11/25 12:02:02 0032 1                  44.961568 8.931187 00 00 31383132304A303237313631            
04/11/25 12:02:20 0033 1                  44.961577 8.931203 00 00 31383132304A303235363932            
04/11/25 12:02:30 0034 1                  44.961583 8.931192 00 00 31383132304A303236353836            
04/11/25 12:03:48 0035 1                  44.961733 8.931437 00 00 31383132304A303237343636            
04/11/25 12:04:08 0036 1                  44.961725 8.931433 00 00 31383132304A303236353736            
04/11/25 12:05:25 0037 1                  44.961828 8.931603 00 00 31383132304A303236353835            
04/11/25 12:06:14 0038 1                  44.961837 8.931597 00 00 3139313130304A3032303435            
04/11/25 12:07:27 0039 1                  44.962033 8.931762 00 00 31383132304A303234373734            
04/11/25 12:07:41 0040 1                  44.962042 8.931755 00 00 313931323050303035343238            
04/11/25 12:08:00 0041 1                  44.962043 8.931770 00 00 31383132304A303236363734            
04/11/25 12:08:21 0042 1                  44.962045 8.931793 00 00 313931323050303037343932            
04/11/25 12:09:52 0043 1                  44.962273 8.932113 00 00 31383132304A303234373733            
04/11/25 12:10:09 0044 1                  44.962272 8.932118 00 00 31383132304A303234363839            
04/11/25 12:11:31 0045 1                  44.962510 8.932307 00 00 31383132304A303237303634            
04/11/25 12:13:00 0046 1                  44.962907 8.932758 00 00 31383132304A303235363735            
04/11/25 12:14:25 0047 1                  44.963205 8.933122 00 00 31383132304A303235383637            
04/11/25 12:14:39 0048 1                  44.963208 8.933125 00 00 31383132304A303237343539            
04/11/25 12:15:48 0049 1                  44.963428 8.933338 00 00 3235303132304A3030383335            
04/11/25 12:15:59 0050 1                  44.963435 8.933337 00 00 31383132304A303235393835            
04/11/25 12:17:06 0051 1                  44.963678 8.933527 00 00 31383132304A303237313338            
04/11/25 12:20:03 0052 1                  44.963025 8.933427 00 00 31383132304A303234383938            
04/11/25 12:21:05 0053 1                  44.962868 8.933298 00 00 31383132304A303236333138            
04/11/25 12:21:20 0054 1                  44.962867 8.933305 00 00 31383132304A303235363435            
04/11/25 12:21:44 0055 1                  44.962880 8.933310 00 00 31383132304A303235363934            
04/11/25 12:23:06 0056 1                  44.962355 8.932743 00 00 31383132304A303236323930            
04/11/25 12:23:23 0057 1                  44.962350 8.932730 00 00 31383132304A303237303630            
04/11/25 12:24:40 0058 1                  44.961838 8.932197 00 00 31383132304A303235363730            
04/11/25 12:26:01 0059 1                  44.961442 8.931783 00 00 31383132304A303235393430            
04/11/25 12:26:12 0060 1                  44.961443 8.931772 00 00 31383132304A303235363530            
04/11/25 12:27:38 0061 1                  44.961275 8.931597 00 00 313931323050303035343534            
04/11/25 12:28:47 0062 1                  44.960878 8.931237 00 00 31383132304A303236383338            
04/11/25 12:29:48 0063 1                  44.960687 8.930960 00 00 31383132304A303236333634            
04/11/25 12:29:58 0064 1                  44.960695 8.930958 00 00 31383132304A303235363433            
04/11/25 12:31:06 0065 1                  44.960198 8.930467 00 00 31383132304A303237343731            
04/11/25 12:32:07 0066 1                  44.959918 8.930180 00 00 31383132304A303232333131            
04/11/25 12:33:22 0067 1                  44.959807 8.930087 00 00 31383132304A303231353332            
04/11/25 12:34:08 0068 1                  44.959803 8.930083 00 00 313931323050303130353935            
04/11/25 12:34:29 0069 1                  44.959805 8.930072 00 00 31383132304A303235393434            
04/11/25 12:36:06 0070 1                  44.959493 8.929750 00 00 31383132304A303233383538            
04/11/25 12:37:00 0071 1                  44.959410 8.929598 00 00 31383132304A303235383631            
04/11/25 12:38:15 0072 1                  44.959048 8.929227 00 00 31383132304A303234363731            
04/11/25 12:38:38 0073 1                  44.959048 8.929225 00 00 31383132304A303234393033            
04/11/25 12:39:05 0074 1                  44.959035 8.929238 00 00 31383132304A303235383635            
04/11/25 12:41:02 0075 1                  44.958762 8.930115 00 00 31383132304A303234393030            
04/11/25 12:41:18 0076 1                  44.958757 8.930117 00 00 31383132304A303237333339            
04/11/25 12:42:33 0077 1                  44.958950 8.930370 00 00 313931323050303035393134            
04/11/25 12:42:54 0078 1                  44.958945 8.930383 00 00 31383132304A303237343634            
04/11/25 12:44:27 0079 1                  44.959718 8.931187 00 00 31383132304A303236333234            
04/11/25 12:44:46 0080 1                  44.959718 8.931172 00 00 31383132304A303237343730            
04/11/25 12:46:28 0081 1                  44.960462 8.931822 00 00 31383132304A303235363930            
04/11/25 12:46:59 0082 1                  44.960443 8.931732 00 00 31383132304A303235373339            
04/11/25 12:47:53 0083 1                  44.960458 8.931745 00 00 3234303033304D3031343831            
04/11/25 12:48:10 0084 1                  44.960497 8.931798 00 00 3234303033304D3031343732            
04/11/25 12:48:28 0085 1                  44.960517 8.931848 00 00 3234303132304A3033313130            
04/11/25 12:48:41 0086 1                  44.960527 8.931887 00 00 31383033304D303033383636            
04/11/25 12:50:24 0087 1                  44.960987 8.932562 00 00 31383132304A303235353937            
04/11/25 12:50:37 0088 1                  44.960993 8.932577 00 00 31383132304A303236323737            
04/11/25 12:51:15 0089 1                  44.961015 8.932603 00 00 31383132304A303237333834            
04/11/25 12:52:51 0090 1                  44.961278 8.932900 00 00 3139313130304A3032313135            
04/11/25 12:54:25 0091 1                  44.961617 8.933257 00 00 31383132304A303236313636            
04/11/25 12:54:36 0092 1                  44.961615 8.933275 00 00 31383132304A303236353738            
04/11/25 12:54:56 0093 1                  44.961613 8.933288 00 00 31383132304A303236313730            
04/11/25 12:56:16 0094 1                  44.961952 8.933590 00 00 31383132304A303236303133            
04/11/25 12:56:26 0095 1                  44.961965 8.933588 00 00 31383033304D303034333430            
04/11/25 12:57:45 0096 1                  44.962473 8.934197 00 00 31383132304A303139373330            
04/11/25 12:58:04 0097 1                  44.962475 8.934207 00 00 31383132304A303235373738            
04/11/25 12:59:16 0098 1                  44.962762 8.934530 00 00 31383132304A303236333330            
04/11/25 12:59:26 0099 1                  44.962757 8.934515 00 00 31383132304A303237313133            
04/11/25 13:02:20 0100 1                  44.961675 8.935167 00 00 31383132304A303237323831            
04/11/25 13:04:00 0101 1                  44.961310 8.934812 00 00 31383132304A303237313434            
04/11/25 13:05:05 0102 1                  44.961083 8.934602 00 00 31383132304A303233383838            
04/11/25 13:05:59 0103 1                  44.960980 8.934452 00 00 313931323050303033333430            
04/11/25 13:07:07 0104 1                  44.960778 8.934233 00 00 31383132304A303236303238            
04/11/25 13:08:40 0105 1                  44.960373 8.933825 00 00 3234303132304A3033303232            
04/11/25 13:10:09 0106 1                  44.960188 8.933610 00 00 3235303132304A3032323138            
04/11/25 13:11:08 0107 1                  44.960173 8.933630 00 00 313931313030503030313233            
04/11/25 13:12:28 0108 1                  44.959890 8.933332 00 00 31383132304A303234363535            
04/11/25 13:13:23 0109 1                  44.959693 8.933082 00 00 31383132304A303237303238            
04/11/25 13:13:38 0110 1                  44.959680 8.933048 00 00 31383132304A303235373839            
04/11/25 13:14:59 0111 1                  44.959688 8.932903 00 00 31383132304A303237343236            
04/11/25 13:15:16 0112 1                  44.959678 8.932903 00 00 31383132304A303235373933            
04/11/25 13:15:57 0113 1                  44.959665 8.932888 00 00 3235303132304A3032313236            
04/11/25 13:17:09 0114 1                  44.959558 8.932822 00 00 3234303132304A3033303438            
04/11/25 13:17:24 0115 1                  44.959530 8.932842 00 00 31383132304A303236333232            
04/11/25 13:17:43 0116 1                  44.959530 8.932832 00 00 31383132304A303234373436            
04/11/25 13:19:42 0117 1                  44.958067 8.931373 00 00 3235303132304A3031393630            
04/11/25 13:21:39 0118 1                  44.957632 8.932173 00 00 31383132304A303235353434            
04/11/25 13:21:40 0119 1                  44.957632 8.932173 00 00 31383132304A303235353434            
04/11/25 13:21:57 0120 1                  44.957635 8.932180 00 00 31383132304A303236313437            
04/11/25 13:23:16 0121 1                  44.957898 8.932420 00 00 31383132304A303235363330            
04/11/25 13:24:12 0122 1                  44.957963 8.932510 00 00 31383132304A303234343834            
04/11/25 13:24:29 0123 1                  44.957957 8.932507 00 00 31383132304A303234353136            
04/11/25 13:25:44 0124 1                  44.958008 8.932740 00 00 31383132304A303234343832            
04/11/25 13:27:07 0125 1                  44.957860 8.932988 00 00 31383132304A303234353331            
04/11/25 13:28:18 0126 1                  44.957795 8.933092 00 00 313931323050303038393331            
04/11/25 13:28:40 0127 1                  44.957800 8.933088 00 00 31383132304A303236303936            
04/11/25 13:28:53 0128 1                  44.957808 8.933083 00 00 31383132304A303235373534            
04/11/25 13:30:17 0129 1                  44.956815 8.932018 00 00 31383132304A303235323139            
04/11/25 13:31:13 0130 1                  44.956678 8.931852 00 00 31383132304A303235323134            
04/11/25 13:31:32 0131 1                  44.956672 8.931840 00 00 31383132304A303231373435            
04/11/25 13:33:07 0132 1                  44.956917 8.931325 00 00 31383132304A303236333434            
04/11/25 13:35:38 0133 1                  44.958450 8.932957 00 00 31383132304A303234353238            
04/11/25 13:35:59 0134 1                  44.958472 8.932962 00 00 3234303132304A3032323937            
04/11/25 13:37:16 0135 1                  44.958660 8.933217 00 00 31383132304A303235373132            
04/11/25 13:38:01 0136 1                  44.958645 8.933240 00 00 31383132304A303234343930            
04/11/25 13:38:41 0137 1                  44.958647 8.933238 00 00 31383132304A303236363531            
04/11/25 13:39:49 0138 1                  44.958842 8.933403 00 00 31383132304A303234363538            
04/11/25 13:41:00 0139 1                  44.958955 8.933562 00 00 31383132384A303234353138            
04/11/25 13:41:02 0140 1                  44.958955 8.933563 00 00 31383132304A303234353138            
04/11/25 13:41:20 0141 1                  44.958948 8.933583 00 00 313931323050303131333937            
04/11/25 13:41:40 0142 1                  44.958945 8.933600 00 00 31383132304A303236353837            
04/11/25 13:43:34 0143 1                  44.959257 8.933912 00 00 33383132304A303236373433            
04/11/25 13:43:47 0144 1                  44.959252 8.933905 00 00 30395DFA82E458800072FE07            
04/11/25 13:43:47 0145 1                  44.959252 8.933905 00 00 31383132304A303237343134            
04/11/25 13:44:10 0146 1                  44.959242 8.933890 00 00 31383132304A303234363533            
04/11/25 13:47:44 0147 1                  44.960110 8.934728 00 00 31383132304A303138383631            
04/11/25 13:48:01 0148 1                  44.960113 8.934730 00 00 31383132304A303236303633            
04/11/25 13:48:27 0149 1                  44.960110 8.934733 00 00 31383132304A303236333838            
04/11/25 13:50:07 0150 1                  44.960233 8.934887 00 00 31383132304A303237303134            
04/11/25 13:51:49 0151 1                  44.960380 8.934990 00 00 31383132304A303234393037            
04/11/25 13:52:13 0152 1                  44.960370 8.934995 00 00 31383132304A303237303132            
04/11/25 13:54:39 0153 1                  44.960732 8.935453 00 00 31383132304A303235323230            
04/11/25 13:54:53 0154 1                  44.960722 8.935448 00 00 31383132304A303237323839            
04/11/25 13:55:09 0155 1                  44.960722 8.935440 00 00 31383132304A303237343832            
04/11/25 13:55:26 0156 1                  44.960712 8.935455 00 00 3234303132304A3033323238            
04/11/25 13:57:28 0157 1                  44.961012 8.935777 00 00 31383172304A303237313630            
04/11/25 13:57:52 0158 1                  44.961022 8.935790 00 00 31383132304A303237303037            
04/11/25 13:58:17 0159 1                  44.961018 8.935800 00 00 31383132304A303237313635            
04/11/25 13:59:53 0160 1                  44.961098 8.935850 00 00 31383132304A303236383936            
04/11/25 14:00:50 0161 1                  44.961240 8.936020 00 00 31383132304A303237323738            
04/11/25 14:02:18 0162 1                  44.961387 8.936200 00 00 31383132304A303237333336            
04/11/25 14:03:28 0163 1                  44.961372 8.936203 00 00 3234303132304A3033313936            
04/11/25 14:03:43 0164 1                  44.961372 8.936202 00 00 313931323050303031333334            
04/11/25 14:05:42 0165 1                  44.961607 8.936387 00 00 31383132304A303236353834            
04/11/25 14:06:54 0166 1                  44.961730 8.936513 00 00 31383132304A303237333333            
04/11/25 14:07:16 0167 1                  44.961727 8.936535 00 00 31383132304A303235383732            
04/11/25 14:10:07 0168 1                  44.962317 8.936640 00 00 31383132304A303234373031            
04/11/25 14:14:21 0169 1                  44.963480 8.936042 00 00 31383132304A303236333730            
04/11/25 14:15:25 0170 1                  44.963672 8.936283 00 00 31383132304A303236323836            
04/11/25 14:16:30 0171 1                  44.964188 8.936803 00 00 31383132304A303236333731            
04/11/25 14:17:42 0172 1                  44.965148 8.937868 00 00 31383132304A303237333334            
04/11/25 14:20:26 0173 1                  44.966997 8.940442 00 00 3139313130304A3032313336            
04/11/25 14:22:10 0174 1                  44.967263 8.940307 00 00 313932343045303030353939            
04/11/25 14:23:38 0175 1                  44.967555 8.940110 00 00 313931313030503030313430            
04/11/25 14:27:18 0176 1                  44.965232 8.943043 00 00 31383132304A303235393530            
04/11/25 14:31:31 0177 1                  44.973330 8.957820 00 00 323031313030503030323731            
04/11/25 14:32:34 0178 1                  44.973342 8.957842 00 00 313931313030503030313235            
04/11/25 14:36:15 0179 1                  44.978693 8.962458 00 00 31383132304A303237343139            
04/11/25 14:37:52 0180 1                  44.978688 8.962310 00 00 31383139304AB03237343232            
04/11/25 14:38:34 0181 1                  44.978700 8.962313 00 00 31383132304A303234353739            
04/11/25 14:40:32 0182 1                  44.978758 8.961782 00 00 313931323050303038383738            
04/11/25 14:43:02 0183 1                  44.978743 8.962850 00 00 31383132304A303237343235            
04/11/25 14:50:08 0184 1                  44.963665 8.937427 00 00 31383132304A303236363637            
04/11/25 14:51:21 0185 1                  44.963373 8.937997 00 00 31383132304A303236363639            
04/11/25 14:52:42 0186 1                  44.962885 8.937653 00 00 31383132304A303236313131            
04/11/25 14:53:50 0187 1                  44.962743 8.937532 00 00 31383132304A303236343430            
04/11/25 14:54:55 0188 1                  44.962588 8.937380 00 00 31383132304A303235353535            
