Date with time;Chiave;Calotta
30.11.2023 11:35:53;C09C5442471A;806A66
30.11.2023 11:36:02;C09C5442471A;806A66
30.11.2023 11:36:14;C09C5442471A;806A66
30.11.2023 11:36:23;C09C5442471A;806A66
30.11.2023 11:37:18;C09C5442471A;806A66
30.11.2023 11:37:30;C09C5442471A;806A66
01.12.2023 12:42:35;10041B5D4ACB5E80;80731B
01.12.2023 15:00:41;C09C5442471A;807310
01.12.2023 17:12:15;100440334ACB5E80;807319
01.12.2023 17:12:31;100440334ACB5E80;8070C2
01.12.2023 17:12:39;100440334ACB5E80;8070C2
01.12.2023 17:35:58;10041745A2935E80;8070C0
01.12.2023 17:36:21;10041745A2935E80;8070BF
02.12.2023 11:12:26;10049352629B6280;8070C2
02.12.2023 11:21:05;10041E7D7A455D80;8070BF
02.12.2023 11:22:17;10041E7D7A455D80;806A43
02.12.2023 11:22:44;10041E7D7A455D80;807310
02.12.2023 11:39:48;10043F724ACB5E80;806A66
02.12.2023 11:40:05;10043F724ACB5E80;807319
02.12.2023 11:51:03;C09C5442548A;80731B
02.12.2023 12:27:47;10045C1532796D80;806A66
02.12.2023 12:28:37;10045C1532796D80;807310
