Date with time;Chiave;Calotta
29.11.2023 11:45:21;1004644842CC5E80;80801C
29.11.2023 12:07:10;10043B6FAA795680;807F3B
29.11.2023 12:44:41;10048B2DFA7C5680;80803E
29.11.2023 13:17:34;10048C71FAB85580;807F03
29.11.2023 13:17:58;10048C71FAB85580;807F5C
29.11.2023 13:58:42;10044E7D32796D80;80802E
29.11.2023 14:06:28;10040B3FB2545A80;807F5D
29.11.2023 15:01:51;10047B538AD15680;807F07
29.11.2023 15:03:56;10047B538AD15680;807F07
29.11.2023 15:07:00;10047B538AD15680;807F07
29.11.2023 15:37:07;100419631A525A80;808033
29.11.2023 16:03:01;100452141A545A80;807F55
29.11.2023 16:04:30;100452141A545A80;807F55
29.11.2023 16:21:18;1004502BDA545A80;807EDF
29.11.2023 16:22:31;100473493A545A80;808001
29.11.2023 16:22:38;100473493A545A80;808001
29.11.2023 16:39:10;100424218A545A80;807EFD
29.11.2023 16:40:49;100424218A545A80;807EFD
29.11.2023 17:09:45;10047E1EE27C5680;80803E
29.11.2023 17:12:40;10041F175A395C80;807F57
29.11.2023 17:27:27;10040D4CAAD15680;80BA19
29.11.2023 17:27:32;10040D4CAAD15680;807F38
29.11.2023 18:15:35;1004432B0A525A80;807EEF
29.11.2023 18:45:29;10041A64B2FE5B80;807F10
30.11.2023 00:18:24;10046C8FE27C5680;80ACCB
30.11.2023 00:18:40;10046C8FE27C5680;808DAB
30.11.2023 02:34:16;1004334822545A80;807F0C
30.11.2023 02:34:29;1004334822545A80;808DA7
30.11.2023 06:59:26;10046A7F8A545A80;808DAA
30.11.2023 07:16:00;1004769132545A80;808DA7
30.11.2023 07:16:13;1004769132545A80;80ACCB
30.11.2023 08:20:28;10044A662A3A5C80;808DA5
30.11.2023 08:20:57;10044A662A3A5C80;808D9A
30.11.2023 08:26:22;1004728842525A80;808C1A
30.11.2023 08:26:28;1004728842525A80;808C1A
30.11.2023 08:26:59;1004728842525A80;808D98
30.11.2023 08:35:42;10045707AAFE5B80;808D98
30.11.2023 09:28:25;1004484BA2545A80;807F55
30.11.2023 09:46:31;1004886F4A525A80;807FFA
30.11.2023 10:16:36;1004553BC2545A80;807FF4
30.11.2023 10:41:22;1004834D72545A80;80800C
30.11.2023 10:41:48;1004336B32796D80;807F02
30.11.2023 11:31:51;1004953F5A395C80;807F5E
30.11.2023 11:46:25;1004165E62D15680;808D98
30.11.2023 12:24:41;10046F5F6AD15680;80800D
30.11.2023 12:36:35;1004796C5A3A5C80;807F66
30.11.2023 12:52:59;10045707AAFE5B80;808D98
30.11.2023 13:53:07;1004432122525A80;808AFF
30.11.2023 14:12:36;10049F5E1A525A80;807F3E
30.11.2023 14:15:31;1004995FE2385C80;808AFF
30.11.2023 14:17:36;1004995FE2385C80;808AFF
30.11.2023 14:18:27;10042B6FFA385C80;808F0D
30.11.2023 14:46:48;100419476AD15680;807F66
30.11.2023 14:49:45;10044375AA795680;808DA2
30.11.2023 15:02:06;10043C9372545A80;808DA2
30.11.2023 15:03:34;10043C9372545A80;808D98
30.11.2023 15:12:08;10044483CAFE5B80;807EFA
30.11.2023 15:30:08;1004155552525A80;808AFF
30.11.2023 15:46:17;1004681232796D80;808F19
30.11.2023 15:58:22;10044D3F7A3A5C80;80B508
30.11.2023 17:15:10;100452141A545A80;808AFF
30.11.2023 17:21:26;1004238342395C80;808F0D
30.11.2023 17:38:26;10043E629AFE5B80;808D98
30.11.2023 18:27:19;10046D599A545A80;808D98
30.11.2023 18:35:12;1004238342395C80;808F0D
30.11.2023 18:39:08;1004571D6A3A5C80;807F02
30.11.2023 19:04:55;10040E3D32796D80;808D98
30.11.2023 20:01:14;10043927AAFE5B80;808014
30.11.2023 21:00:40;100447757A795680;808DA2
30.11.2023 21:01:47;100447757A795680;808D98
30.11.2023 23:21:41;10046C8FE27C5680;808DA7
