07/04/23 05:21:13 0000 s 00562ver01 44.753062 8.812035 uu 01
07/04/23 05:28:43 0000 s 00562ver01 44.753048 8.812073 uu 01
07/04/23 06:11:30 0000 s 00562ver01 44.752948 8.812328 uu 01
07/04/23 06:11:34 0000 s 00562ver01 44.753013 8.812398 uu 01
07/04/23 10:53:32 0001 1                  0 0 uu 01 323032323036323330303034            
07/04/23 11:00:33 0000 s 00562ver01 44.753178 8.812792 uu 01
07/04/23 11:15:50 0002 1                  44.751845 8.757408 uu 01 31383032334d303039313839            
07/04/23 11:16:32 0003 1                  44.751846 8.757201 uu 01 31383032334d303033323936            
07/04/23 11:17:22 0004 1                  44.751846 8.756860 uu 01 31383032334d303137373233            
07/04/23 11:18:14 0005 1                  44.751671 8.756600 uu 01 31383032334d303133373230            
07/04/23 11:19:08 0006 1                  44.751813 8.756653 uu 01 3231303032334d3031323730            
07/04/23 11:19:31 0007 1                  44.751933 8.756435 uu 01 31383032334d303038383636            
07/04/23 11:20:15 0008 1                  44.751991 8.756136 uu 01 31383032334d303133393130            
07/04/23 11:21:08 0009 1                  44.751991 8.756136 uu 01 31383032334d303039313934            
07/04/23 11:25:50 0010 1                  44.751606 8.755945 uu 01 31383032334d303038393837            
07/04/23 11:25:55 0011 1                  44.751606 8.755945 uu 01 31383032334d303133333934            
07/04/23 11:26:07 0012 1                  44.751606 8.755945 uu 01 31383032334d303034353031            
07/04/23 11:26:16 0013 1                  44.751606 8.755945 uu 01 31383032334d303034373932            
07/04/23 11:26:26 0014 1                  44.751621 8.755223 uu 01 31383032334d303133373035            
07/04/23 11:26:42 0015 1                  44.751708 8.754563 uu 01 31383032334d303034393335            
07/04/23 11:26:50 0016 1                  44.751708 8.754563 uu 01 31383032334d303034393432            
07/04/23 11:27:40 0017 1                  44.751708 8.754563 uu 01 31383032334d303031353130            
07/04/23 11:27:54 0018 1                  44.751745 8.753861 uu 01 31383032334d303031353135            
07/04/23 11:27:54 0019 1                  44.751745 8.753861 uu 01 31383032334d303031353135            
07/04/23 11:28:06 0020 1                  44.751745 8.753861 uu 01 31383032334d303038393834            
07/04/23 11:28:16 0021 1                  44.751745 8.753861 uu 01 31383032334d303031353332            
07/04/23 11:28:31 0022 1                  44.751745 8.753861 uu 01 31383032334d303031353132            
07/04/23 11:28:45 0023 1                  44.751765 8.753906 uu 01 31383032334d313031353131            
07/04/23 11:29:37 0024 1                  44.751768 8.753900 uu 01 31383032334d303031343439            
07/04/23 11:30:12 0025 1                  44.751765 8.753200 uu 01 31383032334d303033333331            
07/04/23 11:31:35 0026 1                  44.751753 8.752585 uu 01 31383032334d303139303536            
07/04/23 11:32:05 0027 1                  44.751826 8.751655 uu 01 31383032334d303033333034            
07/04/23 11:32:16 0028 1                  44.751908 8.751643 uu 01 31383032334d303134393530            
07/04/23 11:32:23 0029 1                  44.751908 8.751643 uu 01 31383032334d303031343431            
07/04/23 11:32:32 0030 1                  44.751908 8.751643 uu 01 31383032334d303031323136            
07/04/23 11:33:53 0031 1                  44.751901 8.751625 uu 01 31383032334d303031353133            
07/04/23 11:34:48 0032 1                  44.751715 8.751535 uu 01 31383032334d303137393738            
07/04/23 11:35:33 0033 1                  44.751558 8.751533 uu 01 31383032334d303137363833            
07/04/23 11:36:10 0034 1                  44.751535 8.751496 uu 01 31383032334d303034363132            
07/04/23 11:37:18 0035 1                  44.750940 8.751326 uu 01 31383032334d303137393930            
07/04/23 11:37:25 0036 1                  44.750940 8.751326 uu 01 31383032334d303031323431            
07/04/23 11:37:33 0037 1                  44.750940 8.751326 uu 01 31383032334d303039313633            
07/04/23 11:38:18 0038 1                  44.750715 8.751460 uu 01 31383032334d303139313836            
07/04/23 11:38:33 0039 1                  44.750715 8.751460 uu 01 31383032334d303031323432            
07/04/23 11:38:38 0040 1                  44.750690 8.751430 uu 01 31383032334d303031333238            
07/04/23 11:38:46 0041 1                  44.750690 8.751430 uu 01 31383032334d303071333338            
07/04/23 11:41:12 0042 1                  44.751403 8.749553 uu 01 31383032334d303137373139            
07/04/23 11:41:28 0043 1                  44.751403 8.749553 uu 01 31383032334d303137363838            
07/04/23 11:42:13 0044 1                  44.751370 8.749713 uu 01 31383032334d303137363834            
07/04/23 11:45:34 0045 1                  44.751490 8.750295 uu 01 31383032334d303133383335            
07/04/23 11:46:10 0046 1                  44.751506 8.750268 uu 01 323032343055303030343937            
