07/04/23 05:10:00 0000 s 01133ver01 44.753083 8.812152 uu 01
07/04/23 05:19:30 0000 s 01133ver01 44.753080 8.812135 uu 01
07/04/23 05:51:37 0001 1                  0 0 uu 01 323032323036323330303230            
07/04/23 06:08:03 0000 s 01133ver01 44.753118 8.812142 uu 01
07/04/23 06:15:36 0002 1                  44.758858 8.797293 uu 01 323030323545303035353537            
07/04/23 06:15:48 0003 1                  44.759055 8.797160 uu 01 323030323545303035363232            
07/04/23 06:16:00 0004 1                  44.759065 8.797128 uu 01 323030323545303035363339            
07/04/23 06:16:06 0005 1                  44.759065 8.797128 uu 01 323030323545303036333634            
07/04/23 06:16:18 0006 1                  44.759063 8.797123 uu 01 3232303032334d3031303531            
07/04/23 06:16:42 0007 1                  44.759086 8.797030 uu 01 323030323545303035353938            
07/04/23 06:16:46 0008 1                  44.759086 8.797030 uu 01 323030323545303036333230            
07/04/23 06:16:59 0009 1                  44.759026 8.797015 uu 01 323030323545303036323034            
07/04/23 06:17:04 0010 1                  44.759031 8.797015 uu 01 323030323545303035353438            
07/04/23 06:17:16 0011 1                  44.759073 8.797026 uu 01 323030323545303036333137            
07/04/23 06:21:37 0012 1                  44.766111 8.788486 uu 01 3231303032334d3030393935            
07/04/23 06:22:45 0013 1                  44.767190 8.785990 uu 01 323030323545303030393232            
07/04/23 06:22:51 0014 1                  44.767346 8.785976 uu 01 3231303032334d3030313230            
07/04/23 06:22:57 0015 1                  44.767346 8.785976 uu 01 3231303032334d3030303830            
07/04/23 06:23:03 0016 1                  44.767346 8.785976 uu 01 3231303032334d3030323531            
07/04/23 06:23:09 0017 1                  44.767346 8.785976 uu 01 3232303032334d3031353938            
07/04/23 06:23:16 0018 1                  44.767421 8.785990 uu 01 3231303032334d3030323536            
07/04/23 06:23:23 0019 1                  44.767183 8.786036 uu 01 3231303032334d3032373937            
07/04/23 06:23:31 0020 1                  44.767183 8.786036 uu 01 3231303032334d3030313131            
07/04/23 06:23:38 0021 1                  44.767145 8.786086 uu 01 3231303032334d3030323539            
07/04/23 06:23:46 0022 1                  44.767140 8.786113 uu 01 3231303032334d3030323535            
07/04/23 06:23:53 0023 1                  44.767135 8.786113 uu 01 3231303032334d3030303731            
07/04/23 06:24:04 0024 1                  44.767135 8.786113 uu 01 3231303032334d3030303737            
07/04/23 06:24:13 0025 1                  44.767135 8.786113 uu 01 3231303032334d3030323532            
07/04/23 06:24:23 0026 1                  44.767135 8.786030 uu 01 3231303032334d3035343136            
07/04/23 06:25:15 0027 1                  44.767603 8.786648 uu 01 3231303234304a3034353534            
07/04/23 06:27:48 0028 1                  44.764320 8.786791 uu 01 3231303032334d3035373736            
07/04/23 06:28:24 0029 1                  44.763108 8.786241 uu 01 3231303132304a3035323230            
07/04/23 06:28:38 0030 1                  44.762501 8.786495 uu 01 3231303234304a3034343835            
07/04/23 06:30:20 0031 1                  44.762231 8.786313 uu 01 3231303132304a3035323232            
07/04/23 06:30:58 0032 1                  44.762275 8.786283 uu 01 3231303032334d3032353635            
07/04/23 06:32:02 0033 1                  44.762091 8.785830 uu 01 3231303032334d3032373231            
07/04/23 06:32:58 0034 1                  44.762106 8.785838 uu 01 3231303032334d3035323539            
07/04/23 06:33:45 0035 1                  44.762686 8.785230 uu 01 3231303234304a3034333234            
07/04/23 06:35:17 0036 1                  44.762728 8.784958 uu 01 3231303132304a3035323231            
07/04/23 06:36:02 0037 1                  44.762691 8.784963 uu 01 3231303234304a3034333233            
07/04/23 06:36:12 0038 1                  44.762805 8.784930 uu 01 3231303234304a3034333232            
07/04/23 06:41:02 0039 1                  44.767046 8.783065 uu 01 3231303032334d3030313136            
07/04/23 06:41:07 0040 1                  44.767046 8.783065 uu 01 3231303032334d3030303734            
07/04/23 06:41:22 0041 1                  44.767073 8.783105 uu 01 3231303032334d3030313138            
07/04/23 06:41:31 0042 1                  44.767088 8.783113 uu 01 323030323545303037373630            
07/04/23 06:41:38 0043 1                  44.767088 8.783113 uu 01 3231303032334d3031323733            
07/04/23 06:41:51 0044 1                  44.767088 8.783090 uu 01 3231303032334d3030363430            
07/04/23 06:44:30 0045 1                  44.764613 8.787846 uu 01 313931323050303037383432            
07/04/23 06:44:41 0046 1                  44.763438 8.788626 uu 01 3231303032334d3031313532            
07/04/23 06:44:46 0047 1                  44.763395 8.788706 uu 01 3231303032334d3031303339            
07/04/23 06:44:50 0048 1                  44.763396 8.789003 uu 01 31383032334d303037363131            
07/04/23 06:44:55 0049 1                  44.763396 8.789003 uu 01 3231303032334d3030383531            
07/04/23 06:44:59 0050 1                  44.763396 8.789003 uu 01 3231303032334d3031313434            
07/04/23 06:45:20 0051 1                  44.763381 8.788985 uu 01 3231303032334d3033303832            
07/04/23 06:45:28 0052 1                  44.763381 8.788985 uu 01 3231303234304a3034343239            
07/04/23 06:47:09 0053 1                  44.763323 8.788925 uu 01 3231303234304a3034343135            
07/04/23 06:49:13 0054 1                  44.760946 8.792493 uu 01 323031323055303030323031            
07/04/23 06:49:53 0055 1                  44.760946 8.792493 uu 01 3231303032334d3032363938            
07/04/23 06:50:04 0056 1                  44.760946 8.792493 uu 01 323030323545303036323539            
07/04/23 06:50:10 0057 1                  44.760946 8.792493 uu 01 323030323545303035353337            
07/04/23 06:50:19 0058 1                  44.760105 8.793001 uu 01 323030323545303036323630            
07/04/23 06:50:23 0059 1                  44.760105 8.793001 uu 01 3231303032334d3031363238            
07/04/23 06:50:27 0060 1                  44.760105 8.793001 uu 01 323030323545303036323538            
07/04/23 06:52:20 0061 1                  44.759086 8.796825 uu 01 323030323545303036333330            
07/04/23 06:52:26 0062 1                  44.759086 8.796825 uu 01 323030323545303036333632            
07/04/23 06:52:42 0063 1                  44.759086 8.796825 uu 01 323030323545303035353939            
07/04/23 06:52:47 0064 1                  44.759086 8.796825 uu 01 323030323545303036333835            
07/04/23 06:53:01 0065 1                  44.758995 8.796736 uu 01 323030323545303036323930            
07/04/23 06:53:24 0066 1                  44.758956 8.796823 uu 01 323030323545303036333336            
07/04/23 06:53:27 0067 1                  44.758956 8.796823 uu 01 3231303032334d3031323737            
07/04/23 06:53:37 0068 1                  44.758998 8.796815 uu 01 3231303032334d3033323838            
07/04/23 06:53:45 0069 1                  44.759018 8.796845 uu 01 323030323545303035363639            
07/04/23 06:53:52 0070 1                  44.759028 8.796816 uu 01 323030323545303035353637            
07/04/23 06:54:04 0071 1                  44.759018 8.796826 uu 01 31383032334d303037303233            
07/04/23 06:54:09 0072 1                  44.759018 8.796826 uu 01 323030323545303035363731            
07/04/23 06:54:14 0073 1                  44.759018 8.796826 uu 01 323030323545303035363637            
07/04/23 06:54:20 0074 1                  44.759018 8.796826 uu 01 3231303032334d3032313135            
07/04/23 06:54:29 0075 1                  44.759018 8.796826 uu 01 3231303032334d3031373033            
07/04/23 06:54:35 0076 1                  44.759018 8.796826 uu 01 323030323545303035363730            
07/04/23 06:54:41 0077 1                  44.759018 8.796826 uu 01 323030323545303036373333            
07/04/23 06:59:19 0078 1                  44.761740 8.797026 uu 01 323030323545303033393638            
07/04/23 06:59:24 0079 1                  44.761526 8.797256 uu 01 323030323545303034363439            
07/04/23 06:59:33 0080 1                  44.761551 8.797255 uu 01 323030323545303031333330            
07/04/23 06:59:45 0081 1                  44.761551 8.797255 uu 01 3231303032334d3034303739            
07/04/23 06:59:48 0082 1                  44.761518 8.797268 uu 01 323030323545303039343736            
07/04/23 06:59:55 0083 1                  44.761530 8.797213 uu 01 323030323545303032363038            
07/04/23 07:00:01 0084 1                  44.761553 8.797206 uu 01 323030323545303039333538            
07/04/23 07:00:14 0085 1                  44.761553 8.797206 uu 01 3231303032334d3031353539            
07/04/23 07:00:24 0086 1                  44.761553 8.797206 uu 01 323030323545303039343738            
07/04/23 07:00:29 0087 1                  44.761553 8.797206 uu 01 3232303032334d3030333136            
07/04/23 07:00:43 0088 1                  44.761553 8.797206 uu 01 323030323545303031353839            
07/04/23 07:00:44 0089 1                  44.761553 8.797206 uu 01 323030323545303039343439            
07/04/23 07:01:00 0090 1                  44.761571 8.797343 uu 01 3231303032334d3033343938            
07/04/23 07:01:05 0091 1                  44.761571 8.797343 uu 01 3231303032334d3035353839            
07/04/23 07:01:16 0092 1                  44.761573 8.797006 uu 01 323030323545303039333630            
07/04/23 07:01:38 0093 1                  44.761573 8.797006 uu 01 323030323545303031333434            
07/04/23 07:01:46 0094 1                  44.761573 8.797006 uu 01 3231303032334d3033323931            
07/04/23 07:02:02 0095 1                  44.761573 8.797006 uu 01 323030323545303031333531            
