14/10/23 05:15:54 0000 s 01884ver01 44.882510 8.859902 00 00
14/10/23 05:29:13 0000 s 01884ver01 44.882558 8.859838 00 00
14/10/23 05:48:38 0001 1                  44.971282 8.882355 00 00 300ED89F33500086844FC3AB            
14/10/23 05:51:02 0002 1                  44.977418 8.882518 00 00 323030323545303036343230            
14/10/23 05:51:47 0003 1                  44.977515 8.882407 00 00 323030323545303036353837            
14/10/23 05:51:59 0004 1                  44.977492 8.882388 00 00 3232303032334D3030383731            
14/10/23 05:52:35 0005 1                  44.977560 8.882307 00 00 323030323545303034353234            
14/10/23 05:52:46 0006 1                  44.977565 8.882273 00 00 3231303032334D3032303134            
14/10/23 05:53:27 0007 1                  44.977907 8.882205 00 00 323030323545303036313434            
14/10/23 05:53:34 0008 1                  44.977918 8.882203 00 00 3231303032334D3030393835            
14/10/23 05:54:27 0009 1                  44.978367 8.881808 00 00 323030323545303039343335            
14/10/23 05:54:33 0010 1                  44.978358 8.881807 00 00 323030323545303036313231            
14/10/23 05:55:19 0011 1                  44.979100 8.881460 00 00 323030323545303032323139            
14/10/23 05:56:01 0012 1                  44.979445 8.881312 00 00 323030323545303035383635            
14/10/23 05:56:05 0013 1                  44.979447 8.881320 00 00 323030323545303036313937            
14/10/23 05:57:04 0014 1                  44.979775 8.881455 00 00 31383032334D303136333634            
14/10/23 05:57:09 0015 1                  44.979818 8.881440 00 00 323030323545303032343834            
14/10/23 05:57:14 0016 1                  44.979842 8.881432 00 00 31383032334D303032393136            
14/10/23 05:58:03 0017 1                  44.979712 8.881847 00 00 323030323545303037303732            
14/10/23 05:59:00 0018 1                  44.979927 8.882205 00 00 323030323545303036383133            
14/10/23 06:00:18 0019 1                  44.980055 8.882225 00 00 323032343055303030353439            
14/10/23 06:02:14 0020 1                  44.980415 8.881810 00 00 323030323545303030323537            
14/10/23 06:03:11 0021 1                  44.980468 8.881083 00 00 323030323545303036313935            
