14/10/23 05:32:25 0000 s 01486ver01 44.882552 8.859767 00 00
14/10/23 05:50:46 0001 1                  44.971500 8.881685 00 00 31383032334D303035393936            
14/10/23 05:50:53 0002 1                  44.971497 8.881690 00 00 323030323545303039333231            
14/10/23 05:51:54 0003 1                  44.971100 8.881460 00 00 323030323545303038363033            
14/10/23 05:52:55 0004 1                  44.972008 8.881065 00 00 3231303032334D3030343333            
14/10/23 05:53:38 0005 1                  44.973098 8.881530 00 00 3232303032334D3031333930            
14/10/23 05:53:57 0006 1                  44.973272 8.881572 00 00 323030323545303030383839            
14/10/23 05:54:07 0007 1                  44.973278 8.881563 00 00 323030323545303030383838            
14/10/23 05:54:16 0008 1                  44.973332 8.881577 00 00 323030323545303030393230            
14/10/23 05:54:21 0009 1                  44.973330 8.881580 00 00 323030323545303030393136            
14/10/23 05:54:29 0010 1                  44.973377 8.881602 00 00 323030323545303030383538            
14/10/23 05:54:34 0011 1                  44.973382 8.881617 00 00 323030323545303030393139            
14/10/23 05:54:44 0012 1                  44.973467 8.881640 00 00 323030323545303030393138            
14/10/23 05:54:48 0013 1                  44.973468 8.881645 00 00 323030323545303030383539            
14/10/23 05:54:59 0014 1                  44.973538 8.881643 00 00 3231303032334D3034323831            
14/10/23 05:55:03 0015 1                  44.973555 8.881652 00 00 323030323545303030383634            
14/10/23 05:55:24 0016 1                  44.973682 8.881665 00 00 323030323545303035383833            
14/10/23 05:55:37 0017 1                  44.973810 8.881713 00 00 323030323545303037393735            
14/10/23 05:55:41 0018 1                  44.973807 8.881713 00 00 323030323545303036303634            
14/10/23 05:56:04 0019 1                  44.973983 8.881772 00 00 323030323545303030343432            
14/10/23 05:56:10 0020 1                  44.973987 8.881795 00 00 323030323545303035393531            
14/10/23 05:56:28 0021 1                  44.974157 8.881817 00 00 323030323545303035393036            
14/10/23 05:56:47 0022 1                  44.974388 8.881867 00 00 323030323545303035393037            
14/10/23 05:57:17 0023 1                  44.974947 8.881982 00 00 323030323545303030363135            
14/10/23 05:57:26 0024 1                  44.974953 8.881963 00 00 323030323545303035383834            
14/10/23 05:57:36 0025 1                  44.975005 8.881945 00 00 323030323545303035373634            
14/10/23 05:58:17 0026 1                  44.975843 8.882227 00 00 323030323545303035393937            
14/10/23 05:58:33 0027 1                  44.975828 8.882237 00 00 323030323545303036303230            
14/10/23 06:00:01 0028 1                  44.975338 8.881468 00 00 323030323545303038303738            
14/10/23 06:00:06 0029 1                  44.975338 8.881468 00 00 323030323545303037333936            
14/10/23 06:00:11 0030 1                  44.975335 8.881477 00 00 323030323545303038303636            
14/10/23 06:00:19 0031 1                  44.975345 8.881480 00 00 323030323545303038303438            
14/10/23 06:00:27 0032 1                  44.975352 8.881482 00 00 323030323545303038303637            
14/10/23 06:00:33 0033 1                  44.975345 8.881485 00 00 323030323545303030343133            
14/10/23 06:01:23 0034 1                  44.976135 8.882252 00 00 323030323545303036303139            
14/10/23 06:01:40 0035 1                  44.976360 8.882290 00 00 323030323545303038323133            
14/10/23 06:02:17 0036 1                  44.976055 8.883170 00 00 323030323545303036313734            
14/10/23 06:02:42 0037 1                  44.975698 8.883752 00 00 323030323545303036313534            
14/10/23 06:03:09 0038 1                  44.975683 8.884823 00 00 323030323545303036313433            
14/10/23 06:03:31 0039 1                  44.975907 8.885062 00 00 323030323545303035373835            
14/10/23 06:03:53 0040 1                  44.976372 8.885227 00 00 323030323545303033303433            
14/10/23 06:03:58 0041 1                  44.976377 8.885237 00 00 323030323545303035383332            
14/10/23 06:04:03 0042 1                  44.976398 8.885242 00 00 323030323545303035383035            
14/10/23 06:04:08 0043 1                  44.976400 8.885242 00 00 323030323545303035383036            
14/10/23 06:05:33 0044 1                  44.976750 8.885342 00 00 323030323545303035383239            
14/10/23 06:05:47 0045 1                  44.976842 8.885368 00 00 323030323545303035373730            
14/10/23 06:06:21 0046 1                  44.977715 8.885610 00 00 323030323545303035393535            
14/10/23 06:06:41 0047 1                  44.977693 8.885958 00 00 323030323545303036363537            
14/10/23 06:07:10 0048 1                  44.978077 8.886317 00 00 323030323545303036363539            
14/10/23 06:07:18 0049 1                  44.978083 8.886390 00 00 323030323545303036363630            
14/10/23 06:07:49 0050 1                  44.978120 8.886523 00 00 323030323545303032393636            
14/10/23 06:07:53 0051 1                  44.978130 8.886537 00 00 323030323545303032393633            
