20/10/23 05:19:17 0000 s 01505ver01 44.792857 8.739428 00 00
20/10/23 05:19:19 0000 s 01505ver01 44.792857 8.739428 00 00
20/10/23 05:40:27 0001 9                  44.766327 8.832388 00 00 
20/10/23 05:41:03 0002 9                  44.767093 8.836542 00 00 
20/10/23 05:41:05 0003 9                  44.767130 8.836753 00 00 
20/10/23 05:41:36 0004 9                  44.765215 8.838782 00 00 
20/10/23 05:41:37 0005 9                  44.765215 8.838782 00 00 
20/10/23 05:41:48 0006 9                  44.763988 8.839033 00 00 
20/10/23 05:41:49 0007 9                  44.763988 8.839033 00 00 
20/10/23 05:42:16 0008 9                  44.760677 8.839773 00 00 
20/10/23 05:42:18 0009 9                  44.760677 8.839773 00 00 
20/10/23 05:42:20 0010 9                  44.760473 8.839820 00 00 
20/10/23 05:42:21 0011 9                  44.760237 8.839857 00 00 
20/10/23 05:44:40 0012 9                  44.756055 8.854360 00 00 
20/10/23 05:44:41 0013 9                  44.756055 8.854360 00 00 
20/10/23 05:49:41 0001 1                  44.763710 8.862947 00 00 313931323053303030363938            
20/10/23 05:53:44 0002 1                  44.763490 8.863158 00 00 313831323045303037333132            
20/10/23 05:59:38 0014 9                  44.759952 8.864583 00 00 313831323045303037333132            
20/10/23 05:59:39 0015 9                  44.759900 8.864612 00 00 313831323045303037333132            
20/10/23 06:03:37 0016 9                  44.758250 8.867447 00 00 313831323045303037333132            
20/10/23 06:03:38 0017 9                  44.758248 8.867445 00 00 313831323045303037333132            
20/10/23 06:05:53 0018 9                  44.757937 8.867972 00 00 313831323045303037333132            
20/10/23 06:05:54 0019 9                  44.758030 8.867938 00 00 313831323045303037333132            
20/10/23 06:05:55 0020 9                  44.758030 8.867938 00 00 313831323045303037333132            
20/10/23 06:05:57 0021 9                  44.758093 8.867890 00 00 313831323045303037333132            
20/10/23 06:07:24 0022 9                  44.762857 8.863905 00 00 313831323045303037333132            
20/10/23 06:07:25 0023 9                  44.763013 8.863977 00 00 313831323045303037333132            
20/10/23 06:07:29 0024 9                  44.763330 8.864213 00 00 313831323045303037333132            
20/10/23 06:07:30 0025 9                  44.763330 8.864213 00 00 313831323045303037333132            
20/10/23 06:08:07 0003 1                  44.763942 8.864672 00 00 313831323045303038323337            
20/10/23 06:10:51 0026 9                  44.764375 8.863243 00 00 313831323045303038323337            
20/10/23 06:10:52 0027 9                  44.764375 8.863243 00 00 313831323045303038323337            
20/10/23 06:24:34 0004 1                  44.766098 8.864882 00 00 3232303132304A3030313337            
20/10/23 06:25:07 0005 1                  44.766097 8.864862 00 00 313831323045303038313334            
20/10/23 06:25:07 0006 1                  44.766097 8.864862 00 00 313831323045303038313734            
20/10/23 06:28:50 0028 9                  44.766183 8.864942 00 00 313831323045303038313734            
20/10/23 06:28:51 0029 9                  44.766227 8.864962 00 00 313831323045303038313734            
20/10/23 06:34:26 0007 1                  44.765472 8.864847 00 00 313831323045303037383832            
20/10/23 06:42:18 0008 1                  44.765352 8.864348 00 00 3231303132304A3036353837            
20/10/23 06:47:02 0009 1                  44.765113 8.864242 00 00 313831323045303037383235            
20/10/23 07:01:28 0010 1                  44.765057 8.862417 00 00 313831323045303037333731            
20/10/23 07:05:17 0011 1                  44.765403 8.862267 00 00 313831323045303037373630            
20/10/23 07:06:41 0012 1                  44.765433 8.862258 00 00 313831323045303037383535            
20/10/23 07:11:40 0013 1                  44.763945 8.860772 00 00 3232303132304A3030343234            
20/10/23 07:13:08 0030 9                  44.762830 8.859325 00 00 3232303132304A3030343234            
20/10/23 07:16:14 0031 9                  44.762707 8.859465 00 00 3232303132304A3030343234            
20/10/23 07:16:14 0000 s 01505ver01 44.762707 8.859465 00 00
20/10/23 07:20:48 0032 9                  44.762970 8.860248 00 00 3232303132304A3030343234            
20/10/23 07:20:49 0033 9                  44.763112 8.860303 00 00 3232303132304A3030343234            
20/10/23 07:28:17 0014 1                  44.770757 8.861302 00 00 313931323045303030333337            
20/10/23 07:31:36 0034 9                  44.768535 8.863433 00 00 313931323045303030333337            
20/10/23 07:31:37 0035 9                  44.768535 8.863433 00 00 313931323045303030333337            
20/10/23 07:35:36 0015 1                  44.764965 8.867303 00 00 313831323045303037383634            
20/10/23 07:43:37 0036 9                  44.765380 8.872728 00 00 313831323045303037383634            
20/10/23 07:43:46 0037 9                  44.765478 8.873565 00 00 313831323045303037383634            
20/10/23 07:43:49 0038 9                  44.765335 8.873905 00 00 313831323045303037383634            
20/10/23 07:43:50 0039 9                  44.765335 8.873905 00 00 313831323045303037383634            
20/10/23 07:43:52 0040 9                  44.765308 8.874123 00 00 313831323045303037383634            
20/10/23 07:43:53 0041 9                  44.765348 8.874428 00 00 313831323045303037383634            
20/10/23 07:43:55 0042 9                  44.765427 8.874737 00 00 313831323045303037383634            
20/10/23 07:44:20 0043 9                  44.766027 8.876163 00 00 313831323045303037383634            
20/10/23 07:44:22 0044 9                  44.766092 8.876132 00 00 313831323045303037383634            
20/10/23 07:44:49 0045 9                  44.766115 8.876127 00 00 313831323045303037383634            
20/10/23 07:45:25 0016 1                  44.766140 8.876120 00 00 313831323045303037363839            
20/10/23 07:48:05 0046 9                  44.765187 8.876957 00 00 313831323045303037363839            
20/10/23 07:48:06 0047 9                  44.765187 8.876957 00 00 313831323045303037363839            
20/10/23 07:48:07 0048 9                  44.765098 8.877187 00 00 313831323045303037363839            
20/10/23 07:50:16 0049 9                  44.764698 8.884963 00 00 313831323045303037363839            
20/10/23 07:50:17 0050 9                  44.764698 8.884963 00 00 313831323045303037363839            
20/10/23 07:50:19 0051 9                  44.764648 8.885178 00 00 313831323045303037363839            
20/10/23 07:54:54 0052 9                  44.764587 8.885565 00 00 313831323045303037363839            
20/10/23 07:54:55 0053 9                  44.764587 8.885565 00 00 313831323045303037363839            
20/10/23 07:55:04 0054 9                  44.764730 8.883768 00 00 313831323045303037363839            
20/10/23 07:55:05 0055 9                  44.764730 8.883768 00 00 313831323045303037363839            
20/10/23 07:55:09 0056 9                  44.764693 8.882883 00 00 313831323045303037363839            
20/10/23 07:55:10 0057 9                  44.764658 8.882433 00 00 313831323045303037363839            
20/10/23 07:55:15 0058 9                  44.764612 8.881553 00 00 313831323045303037363839            
20/10/23 07:55:16 0059 9                  44.764605 8.881095 00 00 313831323045303037363839            
20/10/23 07:55:18 0060 9                  44.764625 8.880638 00 00 313831323045303037363839            
20/10/23 08:01:00 0017 1                  44.764382 8.867592 00 00 313831323045303038313835            
20/10/23 08:02:03 0061 9                  44.764372 8.867628 00 00 313831323045303038313835            
20/10/23 08:04:49 0018 1                  44.764918 8.866702 00 00 313931323045303030303536            
20/10/23 08:05:29 0062 9                  44.764925 8.866102 00 00 313931323045303030303536            
20/10/23 08:06:37 0063 9                  44.764562 8.865707 00 00 313931323045303030303536            
20/10/23 08:06:38 0064 9                  44.764562 8.865707 00 00 313931323045303030303536            
20/10/23 08:07:28 0065 9                  44.764817 8.866073 00 00 313931323045303030303536            
20/10/23 08:07:29 0066 9                  44.764802 8.866162 00 00 313931323045303030303536            
20/10/23 08:07:58 0067 9                  44.764908 8.865702 00 00 313931323045303030303536            
20/10/23 08:07:59 0068 9                  44.764908 8.865702 00 00 313931323045303030303536            
20/10/23 08:11:03 0069 9                  44.764932 8.864023 00 00 313931323045303030303536            
20/10/23 08:20:56 0019 1                  44.763083 8.861817 00 00 323031313030533030313731            
20/10/23 08:25:05 0070 9                  44.764768 8.863048 00 00 323031313030533030313731            
20/10/23 08:25:06 0071 9                  44.764768 8.863048 00 00 323031313030533030313731            
20/10/23 08:29:36 0020 1                  44.767577 8.864238 00 00 3039606283B62E40C6ED4BEC            
20/10/23 08:33:46 0072 9                  44.768767 8.865352 00 00 3039606283B62E40C6ED4BEC            
20/10/23 08:33:47 0073 9                  44.768910 8.865397 00 00 3039606283B62E40C6ED4BEC            
20/10/23 08:34:16 0074 9                  44.768752 8.867830 00 00 3039606283B62E40C6ED4BEC            
20/10/23 08:34:17 0075 9                  44.768682 8.868152 00 00 3039606283B62E40C6ED4BEC            
20/10/23 08:34:21 0076 9                  44.768777 8.868797 00 00 3039606283B62E40C6ED4BEC            
20/10/23 08:34:30 0077 9                  44.769462 8.870115 00 00 3039606283B62E40C6ED4BEC            
20/10/23 08:36:48 0078 9                  44.768915 8.876075 00 00 3039606283B62E40C6ED4BEC            
20/10/23 08:36:49 0079 9                  44.768933 8.876253 00 00 3039606283B62E40C6ED4BEC            
20/10/23 08:49:44 0080 9                  44.769425 8.880292 00 00 3039606283B62E40C6ED4BEC            
20/10/23 08:52:29 0081 9                  44.771623 8.865922 00 00 3039606283B62E40C6ED4BEC            
20/10/23 08:52:32 0082 9                  44.772327 8.865893 00 00 3039606283B62E40C6ED4BEC            
20/10/23 08:56:39 0083 9                  44.791820 8.864758 00 00 3039606283B62E40C6ED4BEC            
20/10/23 08:56:42 0084 9                  44.791758 8.864753 00 00 3039606283B62E40C6ED4BEC            
20/10/23 08:56:44 0085 9                  44.791662 8.864752 00 00 3039606283B62E40C6ED4BEC            
20/10/23 08:56:45 0086 9                  44.791533 8.864768 00 00 3039606283B62E40C6ED4BEC            
20/10/23 08:56:47 0087 9                  44.791372 8.864782 00 00 3039606283B62E40C6ED4BEC            
20/10/23 08:56:48 0088 9                  44.791372 8.864782 00 00 3039606283B62E40C6ED4BEC            
20/10/23 09:08:28 0089 9                  44.765043 8.854757 00 00 3039606283B62E40C6ED4BEC            
20/10/23 09:11:02 0021 1                  44.766252 8.854180 00 00 31383234304A303030313331            
20/10/23 09:11:11 0022 1                  44.766248 8.854178 00 00 31383234304A303030313332            
20/10/23 09:27:38 0090 9                  44.766190 8.854548 00 00 31383234304A303030313332            
20/10/23 09:30:28 0091 9                  44.766192 8.854542 00 00 31383234304A303030313332            
20/10/23 09:30:28 0000 s 01505ver01 44.766192 8.854542 00 00
20/10/23 09:30:29 0092 9                  44.766192 8.854542 00 00 31383234304A303030313332            
20/10/23 09:30:30 0093 9                  44.766192 8.854542 00 00 31383234304A303030313332            
20/10/23 09:30:30 0000 s 01505ver01 44.766192 8.854542 00 00
20/10/23 09:35:13 0094 9                  44.763867 8.856458 00 00 31383234304A303030313332            
20/10/23 09:35:14 0095 9                  44.763875 8.856718 00 00 31383234304A303030313332            
20/10/23 09:35:32 0096 9                  44.764522 8.858527 00 00 31383234304A303030313332            
20/10/23 09:35:33 0097 9                  44.764622 8.858742 00 00 31383234304A303030313332            
20/10/23 09:40:09 0098 9                  44.745138 8.847015 00 00 31383234304A303030313332            
20/10/23 09:40:10 0099 9                  44.744833 8.846923 00 00 31383234304A303030313332            
20/10/23 09:47:50 0100 9                  44.752642 8.807270 00 00 31383234304A303030313332            
20/10/23 09:47:53 0101 9                  44.752540 8.807463 00 00 31383234304A303030313332            
20/10/23 09:47:54 0102 9                  44.752437 8.807665 00 00 31383234304A303030313332            
20/10/23 09:47:58 0103 9                  44.752243 8.808068 00 00 31383234304A303030313332            
20/10/23 09:47:59 0104 9                  44.752243 8.808068 00 00 31383234304A303030313332            
20/10/23 09:48:00 0105 9                  44.752212 8.808263 00 00 31383234304A303030313332            
20/10/23 09:48:52 0106 9                  44.753140 8.812862 00 00 31383234304A303030313332            
20/10/23 09:48:54 0107 9                  44.753368 8.813023 00 00 31383234304A303030313332            
20/10/23 09:48:57 0108 9                  44.753790 8.813307 00 00 31383234304A303030313332            
20/10/23 09:48:58 0109 9                  44.753790 8.813307 00 00 31383234304A303030313332            
20/10/23 09:49:03 0110 9                  44.754223 8.813590 00 00 31383234304A303030313332            
20/10/23 09:49:04 0111 9                  44.754223 8.813590 00 00 31383234304A303030313332            
20/10/23 09:49:05 0112 9                  44.754367 8.813675 00 00 31383234304A303030313332            
20/10/23 09:49:09 0113 9                  44.754627 8.813838 00 00 31383234304A303030313332            
20/10/23 09:58:57 0114 9                  44.764822 8.806575 00 00 31383234304A303030313332            
20/10/23 09:58:58 0115 9                  44.765080 8.806545 00 00 31383234304A303030313332            
20/10/23 09:59:28 0116 9                  44.768067 8.804833 00 00 31383234304A303030313332            
20/10/23 09:59:29 0117 9                  44.768067 8.804833 00 00 31383234304A303030313332            
20/10/23 10:04:40 0118 9                  44.766073 8.781708 00 00 31383234304A303030313332            
20/10/23 10:04:41 0119 9                  44.766073 8.781708 00 00 31383234304A303030313332            
20/10/23 10:05:16 0120 9                  44.768602 8.778085 00 00 31383234304A303030313332            
20/10/23 10:05:17 0121 9                  44.768720 8.777710 00 00 31383234304A303030313332            
20/10/23 10:05:30 0122 9                  44.769490 8.775488 00 00 31383234304A303030313332            
20/10/23 10:05:31 0123 9                  44.769673 8.775198 00 00 31383234304A303030313332            
20/10/23 10:06:58 0124 9                  44.775300 8.760600 00 00 31383234304A303030313332            
