21/10/23 05:36:00 0000 s 01490ver01 44.882482 8.860512 00 00
21/10/23 05:42:50 0001 1                  44.891400 8.864953 00 00 25705569A6866752B2C71CF3            
21/10/23 05:46:04 0002 1                  44.891098 8.866550 00 00 3231313130304A3030333434            
21/10/23 05:47:12 0003 1                  44.891088 8.866558 00 00 3231313530304A3030333433            
21/10/23 05:47:42 0004 1                  44.891103 8.866573 00 00 3231313130304A3030333637            
21/10/23 05:48:26 0005 1                  44.891120 8.866540 00 00 3231313130304A3030333636            
21/10/23 05:49:09 0006 1                  44.891082 8.866547 00 00 3231313130304A3030333638            
21/10/23 05:50:34 0007 1                  44.891133 8.866603 00 00 3231313130304A3030383939            
21/10/23 06:11:46 0008 1                  44.894345 8.860853 00 00 3231313130304A3031373936            
21/10/23 06:11:46 0009 1                  44.894345 8.860853 00 00 30340C05A41FEF08768D4005            
21/10/23 06:12:22 0010 1                  44.894340 8.860782 00 00 3231313130304A3031393438            
21/10/23 06:14:32 0011 1                  44.893975 8.861092 00 00 3231313130304A3032303131            
21/10/23 06:17:44 0012 1                  44.893697 8.859483 00 00 3231313130304A3031393732            
21/10/23 06:18:48 0013 1                  44.893648 8.859350 00 00 3231313130304A303139373300000000    
21/10/23 06:22:07 0014 1                  44.893407 8.860963 00 00 3231313130304A3030333136            
21/10/23 06:22:36 0015 1                  44.893412 8.860988 00 00 303ACA498323E19AC688CD10            
21/10/23 06:22:41 0016 1                  44.893412 8.860988 00 00 3231313130304A3030333332            
21/10/23 06:24:03 0017 1                  44.893402 8.860888 00 00 3231313130304A3032313039            
21/10/23 06:43:45 0018 1                  44.897238 8.862375 00 00 3138325438454E5435303135            
21/10/23 06:48:39 0019 1                  44.898582 8.863890 00 00 3035EB5C6454E00014035145            
21/10/23 06:48:39 0020 1                  44.898582 8.863890 00 00 3035EB7F18169707CE00597C            
21/10/23 06:48:40 0021 1                  44.898582 8.863890 00 00 3035EBB32001DDC7FE00006C            
21/10/23 06:59:29 0022 1                  44.900697 8.866467 00 00 25705569A686CD8431C33CB3            
21/10/23 07:01:27 0023 1                  44.900748 8.867570 00 00 30340BDF1440A2BE3B1B1C01            
21/10/23 07:05:31 0024 1                  44.900562 8.870325 00 00 3231313130304A3030333137            
21/10/23 07:19:38 0025 1                  44.900430 8.866168 00 00 25705569A687077281C70DF3            
21/10/23 07:20:05 0026 1                  44.900167 8.864647 00 00 E200001A910F0120175055C0            
21/10/23 07:27:40 0027 1                  44.896300 8.865995 00 00 303ACB03406A6B5AC688DDA9            
21/10/23 07:29:06 0028 1                  44.896448 8.866163 00 00 25705569A686CF0431C37D70            
21/10/23 07:56:39 0029 1                  44.910640 8.870025 00 00 3034F7E6B032B7CAB41E041A            
21/10/23 08:17:28 0030 1                  44.902352 8.868640 00 00 3231313130304A3030333538            
21/10/23 08:17:59 0031 1                  44.902367 8.868642 00 00 3230313130304A3031323937            
21/10/23 08:18:35 0032 1                  44.902373 8.868662 00 00 3231313130304A3030393833            
21/10/23 08:19:11 0033 1                  44.902342 8.868623 00 00 3231313130304A3030393138            
21/10/23 08:19:40 0034 1                  44.902303 8.868603 00 00 3231313130304A3030393831            
21/10/23 08:29:19 0035 1                  44.883088 8.857458 00 00 313932343053303030373431            
21/10/23 09:22:22 0036 1                  44.960138 8.932065 00 00 3139313130304A3032303331            
21/10/23 09:22:24 0037 1                  44.960135 8.932060 00 00 30396061C0171400000BCFEE            
21/10/23 09:23:10 0038 1                  44.960120 8.932052 00 00 3139313130304A3030303638            
21/10/23 09:23:11 0039 1                  44.960120 8.932052 00 00 30340C00000FA5CD0BAE2006            
21/10/23 09:23:50 0040 1                  44.960108 8.932070 00 00 313931313030533030313131            
21/10/23 09:24:24 0041 1                  44.960128 8.932075 00 00 313931313030433030303436            
21/10/23 09:25:23 0042 1                  44.960218 8.931873 00 00 313931313030433030303435            
21/10/23 09:26:09 0043 1                  44.960228 8.931885 00 00 3139313130304A3032303330            
21/10/23 09:27:06 0044 1                  44.960215 8.931868 00 00 3139313130304A3030303633            
21/10/23 09:27:51 0045 1                  44.960210 8.931877 00 00 3139313130304A3030303234            
21/10/23 09:54:54 0046 1                  44.882725 8.859713 00 00 323031313030533030313530            
21/10/23 10:25:32 0000 s 01490ver01 44.882285 8.859712 00 00
21/10/23 13:19:47 0000 s 01490ver01 44.882508 8.859735 00 00
