21/10/23 05:18:34 0000 s 01887ver01 44.882798 8.860082 00 00
21/10/23 05:41:18 0001 1                  44.891113 8.861050 00 00 3034F8222849F6C4E200D1B6            
21/10/23 05:48:58 0002 1                  44.895790 8.861977 00 00 303515BCDC3F1848000001CF            
21/10/23 05:48:58 0003 1                  44.895790 8.861977 00 00 303614441000AC0BA85BFBFF            
21/10/23 05:49:02 0004 1                  44.895783 8.861978 00 00 3034362F600E53000007C2DD            
21/10/23 05:49:58 0005 1                  44.895815 8.862023 00 00 3039611941911E49502FADF0            
21/10/23 05:49:58 0006 1                  44.895815 8.862023 00 00 303ACA4981EAC9DC4615F340            
21/10/23 05:49:59 0007 1                  44.895815 8.862023 00 00 30340BF8D04EEBD3CE2AD004            
21/10/23 05:50:01 0008 1                  44.895825 8.862023 00 00 30340BF8E41622026A19C806            
21/10/23 05:58:57 0009 1                  44.898622 8.863717 00 00 3035EB8ADC358A000400046B            
21/10/23 05:59:00 0010 1                  44.898622 8.863713 00 00 082901490CE86F801A971748            
21/10/23 06:01:29 0011 1                  44.898838 8.864833 00 00 303ACA49834EE0D9D8B6387E            
21/10/23 06:01:29 0012 1                  44.898838 8.864833 00 00 3035EA594419558002001528            
21/10/23 06:02:08 0013 1                  44.898865 8.864853 00 00 3035EB8ADC366640040011E9            
21/10/23 06:08:48 0014 1                  44.897703 8.862382 00 00 3034F837282723C2EE000031            
21/10/23 06:47:32 0015 1                  44.894008 8.863383 00 00 303ACA4981CC6ADAC688F92A            
21/10/23 06:47:32 0016 1                  44.894008 8.863383 00 00 303549A74C36254CCE41720F            
21/10/23 06:47:32 0017 1                  44.894008 8.863390 00 00 303ACA4982F1FD19D8B63538            
21/10/23 06:47:35 0018 1                  44.894008 8.863390 00 00 30340BE63431F7BD99845004            
21/10/23 07:10:17 0019 1                  44.897212 8.870350 00 00 3039ECAB02B85AC12A069995            
21/10/23 08:00:18 0000 s 01887ver01 44.905677 8.869102 00 00
21/10/23 08:45:31 0020 1                  44.900545 8.867492 00 00 3034F822605DFBCAB41E5DAF            
21/10/23 09:05:21 0021 1                  44.895978 8.864903 00 00 30340BEAD4309E574876F230            
21/10/23 09:05:26 0022 1                  44.895973 8.864903 00 00 30340BEAD430BE574876F16B            
21/10/23 09:14:01 0023 1                  44.895578 8.861888 00 00 3231313130304A3032343435            
21/10/23 09:27:53 0024 1                  44.894047 8.863392 00 00 303ACA4983906D1AC688D96E            
21/10/23 09:31:45 0025 1                  44.895617 8.865748 00 00 30395DFA81164881DEDCAD7D            
21/10/23 09:31:51 0026 1                  44.895635 8.865743 00 00 49444E434400000000071905            
21/10/23 09:51:18 0027 1                  44.902270 8.870397 00 00 534D50022600010000162C37            
